rank,trial_number,solver,shrinkage,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,2,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
2,3,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
3,5,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
4,7,eigen,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
5,8,eigen,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
6,11,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
7,12,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
8,16,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
9,17,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
10,18,eigen,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
