rank,trial_number,solver,shrinkage,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,2,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
2,3,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
3,5,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
4,7,eigen,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
5,8,eigen,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
6,11,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
7,12,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
8,16,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
9,17,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
10,18,eigen,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
11,21,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
12,22,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
13,23,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
14,26,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
15,27,lsqr,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
16,29,eigen,0.3,6,0.6236252898835507,0.1324358181236293,0.5585981322199869,0.7251441596918901
17,6,lsqr,0.1,6,0.6235528660298782,0.13247721006683738,0.5726548388950599,0.7252617114089843
18,14,lsqr,0.1,6,0.6235528660298782,0.13247721006683738,0.5726548388950599,0.7252617114089843
19,24,lsqr,0.1,6,0.6235528660298782,0.13247721006683738,0.5726548388950599,0.7252617114089843
20,10,lsqr,0.5,6,0.6229880387285538,0.13482344526609702,0.5510046514643586,0.7242584884252672
21,13,lsqr,0.5,6,0.6229880387285538,0.13482344526609702,0.5510046514643586,0.7242584884252672
22,20,lsqr,0.5,6,0.6229880387285538,0.13482344526609702,0.5510046514643586,0.7242584884252672
23,0,eigen,auto,6,0.6190219442268102,0.13652470275319234,0.5713081555702382,0.7238604209668118
24,1,lsqr,auto,6,0.6190219442268102,0.13652470275319234,0.5713081555702382,0.7238604209668118
25,25,lsqr,auto,6,0.6190219442268102,0.13652470275319234,0.5713081555702382,0.7238604209668118
26,4,svd,unused,6,0.6188161829099378,0.13640244800347492,0.571184922839625,0.723651254015495
27,9,svd,unused,6,0.6188161829099378,0.13640244800347492,0.571184922839625,0.723651254015495
28,15,svd,unused,6,0.6188161829099378,0.13640244800347492,0.571184922839625,0.723651254015495
29,19,svd,unused,6,0.6188161829099378,0.13640244800347492,0.571184922839625,0.723651254015495
30,28,svd,unused,6,0.6188161829099378,0.13640244800347492,0.571184922839625,0.723651254015495
