trial_number,solver,shrinkage,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
8,eigen,0.3,6,83,83,0.5526315789473685,0.19047619047619047,0.8781163434903048,38
8,eigen,0.3,6,84,84,0.6818181818181818,0.6666666666666666,0.7681159420289855,44
8,eigen,0.3,6,85,85,0.5454545454545454,0.6774193548387096,0.9565217391304348,44
8,eigen,0.3,6,86,86,0.7954545454545454,0.7692307692307693,0.9130434782608695,44
8,eigen,0.3,6,87,87,0.5555555555555556,0.696969696969697,0.5790513833992095,45
8,eigen,0.3,6,88,88,0.509090909090909,0.12903225806451613,0.6058201058201058,55
8,eigen,0.3,6,89,89,0.6444444444444445,0.5789473684210527,0.75,45
8,eigen,0.3,6,90,90,0.5555555555555556,0.5,0.5533596837944663,45
8,eigen,0.3,6,91,91,0.5,0.6666666666666666,0.7933884297520661,44
8,eigen,0.3,6,92,92,0.5714285714285714,0.3684210526315789,0.6769230769230768,56
8,eigen,0.3,6,93,93,0.8666666666666667,0.8571428571428571,0.9229249011857708,45
8,eigen,0.3,6,94,94,0.9772727272727273,0.9787234042553191,0.9979296066252588,44
8,eigen,0.3,6,95,95,0.35714285714285715,0.5263157894736842,0.546875,28
8,eigen,0.3,6,96,96,0.47619047619047616,0.6451612903225806,0.5351473922902494,42
8,eigen,0.3,6,97,97,0.5,0.0,0.615702479338843,44
8,eigen,0.3,6,98,98,0.5333333333333333,0.676923076923077,0.541501976284585,45
8,eigen,0.3,6,99,99,0.4883720930232558,0.42105263157894735,0.5562770562770563,43
8,eigen,0.3,6,100,100,0.5555555555555556,0.6521739130434783,0.5648148148148149,36
8,eigen,0.3,6,101,101,0.4888888888888889,0.0,0.6620553359683794,45
8,eigen,0.3,6,102,102,0.7555555555555555,0.7843137254901961,0.8794466403162056,45
8,eigen,0.3,6,103,103,0.7441860465116279,0.6666666666666666,0.803030303030303,43
8,eigen,0.3,6,104,104,0.5348837209302325,0.6551724137931034,0.5216450216450217,43
8,eigen,0.3,6,105,105,0.5777777777777777,0.3448275862068966,0.6047430830039525,45
8,eigen,0.3,6,106,106,0.6,0.5714285714285714,0.6686507936507936,45
8,eigen,0.3,6,107,107,0.5555555555555556,0.5454545454545454,0.5912698412698412,45
8,eigen,0.3,6,108,108,0.8666666666666667,0.8636363636363636,0.9051383399209486,45
9,svd,unused,6,1,1,0.6888888888888889,0.7083333333333334,0.841897233201581,45
9,svd,unused,6,2,2,0.7111111111111111,0.5806451612903226,0.8695652173913043,45
9,svd,unused,6,3,3,0.4666666666666667,0.4782608695652174,0.42292490118577075,45
9,svd,unused,6,4,4,0.4888888888888889,0.6567164179104478,0.8142292490118577,45
9,svd,unused,6,5,5,0.4888888888888889,0.6567164179104478,0.34920634920634924,45
9,svd,unused,6,6,6,0.5333333333333333,0.0,0.496031746031746,45
9,svd,unused,6,7,7,0.6888888888888889,0.7586206896551724,0.9881422924901186,45
9,svd,unused,6,8,8,0.6222222222222222,0.6382978723404256,0.6818181818181819,45
9,svd,unused,6,9,9,0.6,0.55,0.5436507936507936,45
9,svd,unused,6,10,10,0.6444444444444445,0.6521739130434783,0.6805555555555556,45
9,svd,unused,6,11,11,0.5111111111111111,0.6666666666666666,0.43478260869565216,45
9,svd,unused,6,12,12,0.6222222222222222,0.5853658536585366,0.7063492063492064,45
9,svd,unused,6,13,13,0.8,0.8108108108108109,0.8954248366013072,35
9,svd,unused,6,14,14,0.6666666666666666,0.7457627118644068,0.7964426877470356,45
9,svd,unused,6,15,15,0.5777777777777777,0.6984126984126984,0.9486166007905139,45
9,svd,unused,6,16,16,0.5333333333333333,0.6865671641791045,0.7233201581027667,45
9,svd,unused,6,17,17,0.5238095238095238,0.0,0.6022727272727272,42
9,svd,unused,6,18,18,0.5111111111111111,0.6764705882352942,0.40118577075098816,45
9,svd,unused,6,19,19,0.7111111111111111,0.7719298245614035,0.8399209486166008,45
9,svd,unused,6,20,20,0.5333333333333333,0.4878048780487805,0.5790513833992095,45
9,svd,unused,6,21,21,0.5555555555555556,0.6428571428571429,0.7281746031746031,45
9,svd,unused,6,22,22,0.5111111111111111,0.6764705882352942,0.7233201581027668,45
9,svd,unused,6,23,23,0.6590909090909091,0.7368421052631579,0.8512396694214875,44
9,svd,unused,6,24,24,0.5,0.3076923076923077,0.6233766233766234,18
9,svd,unused,6,25,25,0.6888888888888889,0.72,0.7707509881422925,45
9,svd,unused,6,26,26,0.6222222222222222,0.711864406779661,0.7996031746031746,45
9,svd,unused,6,27,27,0.4666666666666667,0.625,0.5909090909090909,45
9,svd,unused,6,28,28,0.5111111111111111,0.47619047619047616,0.5494071146245059,45
9,svd,unused,6,29,29,0.8222222222222222,0.8461538461538461,1.0,45
9,svd,unused,6,30,30,0.6,0.35714285714285715,0.6726190476190476,45
9,svd,unused,6,31,31,0.8888888888888888,0.8936170212765957,0.9644268774703557,45
9,svd,unused,6,32,32,0.7045454545454546,0.7796610169491526,0.9503105590062112,44
9,svd,unused,6,33,33,0.7333333333333333,0.6666666666666666,0.8517786561264822,45
9,svd,unused,6,34,34,0.8666666666666667,0.8888888888888888,0.9841269841269841,45
9,svd,unused,6,35,35,0.6888888888888889,0.5882352941176471,0.8300395256916997,45
9,svd,unused,6,36,36,0.38636363636363635,0.47058823529411764,0.40082644628099173,44
9,svd,unused,6,37,37,0.5111111111111111,0.0,0.5770750988142292,45
9,svd,unused,6,38,38,0.5333333333333333,0.43243243243243246,0.5948616600790514,45
9,svd,unused,6,39,39,0.5454545454545454,0.4444444444444444,0.5134575569358178,44
9,svd,unused,6,40,40,0.5333333333333333,0.5714285714285714,0.5376984126984127,45
9,svd,unused,6,41,41,0.7333333333333333,0.7142857142857143,0.7738095238095238,45
9,svd,unused,6,42,42,0.9111111111111111,0.9130434782608695,0.974308300395257,45
9,svd,unused,6,43,43,0.8,0.7567567567567568,0.9268774703557312,45
9,svd,unused,6,44,44,0.6896551724137931,0.64,0.8428571428571429,29
9,svd,unused,6,45,45,0.5555555555555556,0.2857142857142857,0.8102766798418972,45
9,svd,unused,6,46,46,0.6222222222222222,0.6382978723404256,0.725296442687747,45
9,svd,unused,6,47,47,0.4888888888888889,0.6461538461538462,0.6170634920634921,45
9,svd,unused,6,48,48,0.7647058823529411,0.75,0.9714285714285714,17
9,svd,unused,6,49,49,0.8666666666666667,0.8571428571428571,0.9624505928853755,45
9,svd,unused,6,50,50,0.4888888888888889,0.20689655172413793,0.6106719367588933,45
9,svd,unused,6,51,51,0.5777777777777777,0.17391304347826086,0.5337301587301587,45
9,svd,unused,6,52,52,0.7560975609756098,0.6666666666666666,0.8229665071770335,41
9,svd,unused,6,53,53,0.5581395348837209,0.5365853658536586,0.5627705627705628,43
9,svd,unused,6,54,54,0.6153846153846154,0.6666666666666666,0.7880434782608695,39
9,svd,unused,6,55,55,0.8888888888888888,0.8888888888888888,0.9308300395256917,45
9,svd,unused,6,56,56,0.8409090909090909,0.851063829787234,0.9111570247933884,44
9,svd,unused,6,57,57,0.6,0.6538461538461539,0.7142857142857143,45
9,svd,unused,6,58,58,0.6,0.5,0.6785714285714285,45
9,svd,unused,6,59,59,0.5333333333333333,0.08695652173913043,0.4464285714285714,45
9,svd,unused,6,60,60,0.7727272727272727,0.782608695652174,0.9194214876033059,44
9,svd,unused,6,61,61,0.7674418604651163,0.7368421052631579,0.8398268398268398,43
9,svd,unused,6,62,62,0.9555555555555556,0.9523809523809523,0.9881422924901186,45
9,svd,unused,6,63,63,0.4883720930232558,0.0,0.5909090909090909,43
9,svd,unused,6,64,64,0.5555555555555556,0.6875,0.7747035573122529,45
9,svd,unused,6,65,65,0.6888888888888889,0.7407407407407407,0.7916666666666666,45
9,svd,unused,6,66,66,0.4888888888888889,0.5964912280701754,0.5,45
9,svd,unused,6,67,67,0.4888888888888889,0.08,0.608695652173913,45
9,svd,unused,6,68,68,0.5555555555555556,0.23076923076923078,0.7312252964426877,45
9,svd,unused,6,69,69,0.6222222222222222,0.48484848484848486,0.6567460317460316,45
9,svd,unused,6,70,70,0.7111111111111111,0.6666666666666666,0.8596837944664031,45
9,svd,unused,6,71,71,0.7555555555555555,0.6857142857142857,0.9407114624505929,45
9,svd,unused,6,72,72,0.9333333333333333,0.9361702127659575,0.9802371541501976,45
9,svd,unused,6,73,73,0.4888888888888889,0.6229508196721312,0.7114624505928854,45
9,svd,unused,6,74,74,0.4888888888888889,0.5818181818181818,0.5575396825396826,45
9,svd,unused,6,75,75,0.8292682926829268,0.8108108108108109,0.9476190476190476,41
9,svd,unused,6,76,76,0.5777777777777777,0.24,0.6699604743083004,45
9,svd,unused,6,77,77,0.4444444444444444,0.5454545454545454,0.5873015873015873,45
9,svd,unused,6,78,78,0.4444444444444444,0.5901639344262295,0.5454545454545454,45
9,svd,unused,6,79,79,0.65,0.5,0.725,40
