parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,0.5555555555555556,0.5833333333333334,0.5592885375494071,45,8.665929254028015,0.004476437985431403,0.09947639967625341,0.20655059814453125,54146,0.0234375,171.98828125,0.6273802261460911,0.6914641753290639,0.6920946836471558,2,12
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,0.6,0.5909090909090909,0.6007905138339922,45,9.30847706401255,0.004426011990290135,0.09835582200644745,0.20655059814453125,54146,0.0625,171.98828125,0.6194177651495645,0.6909326143337019,0.691766357421875,3,13
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,0.4444444444444444,0.3902439024390244,0.46047430830039526,45,8.679660059977323,0.004474900022614747,0.09944222272477217,0.20655059814453125,54146,0.0,171.98828125,0.6092790078484651,0.6922350480700984,0.69135981798172,2,12
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,0.4888888888888889,0.6567164179104478,0.6600790513833992,45,7.838524860038888,0.004325718968175352,0.09612708818167448,0.20655059814453125,54146,0.0625,171.98828125,0.6433064797610948,0.6937563053586266,0.6921484589576721,1,11
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,0.4,0.34146341463414637,0.4007936507936508,45,9.3955711509916,0.004371743998490274,0.0971498666331172,0.20655059814453125,54146,0.0,171.98828125,0.6337511571067752,0.6911893044457291,0.6888672749201457,3,13
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,6,6,0.4888888888888889,0.46511627906976744,0.46031746031746035,45,9.315037013031542,0.004446892999112606,0.09881984442472458,0.20655059814453125,54146,0.0,171.98828125,0.6277178288860754,0.6918648463307004,0.6920681158701579,3,13
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,7,7,0.6222222222222222,0.5853658536585366,0.658102766798419,45,8.66283053101506,0.004484607023186982,0.09965793384859958,0.20655059814453125,54146,0.0625,171.98828125,0.6240602736220215,0.6923322149298408,0.6919473528861999,2,12
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,8,8,0.4222222222222222,0.35,0.4169960474308301,45,10.85675503098173,0.004435718001332134,0.0985715111407141,0.20655059814453125,54146,0.0,171.98828125,0.5647975037043745,0.6863754391670227,0.6904994567235311,5,15
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,9,9,0.4,0.37209302325581395,0.4087301587301587,45,10.127765782002825,0.00446372403530404,0.09919386745120089,0.20655059814453125,54146,0.0625,171.98828125,0.6127816574140028,0.6874647176626957,0.691816492875417,4,14
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,10,10,0.4666666666666667,0.5862068965517242,0.34920634920634913,45,7.83365268696798,0.004467285005375743,0.09927300011946096,0.20655059814453125,54146,0.0625,171.98828125,0.6449415733416876,0.6940674966934955,0.6929762959480286,1,11
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,11,11,0.4888888888888889,0.08,0.43873517786561267,45,8.686783434997778,0.0034348160261288285,0.07632924502508508,0.20655059814453125,54146,0.0,171.98828125,0.6414419940926812,0.6932104794364987,0.6931416630744934,2,12
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,12,12,0.4444444444444444,0.5098039215686274,0.4384920634920635,45,10.727462134964298,0.004375443037133664,0.0972320674918592,0.20655059814453125,54146,0.0625,171.98828125,0.5799108350818808,0.688285436594125,0.689914325873057,5,15
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,13,13,0.4857142857142857,0.1818181818181818,0.434640522875817,35,10.852829499985091,0.004521202994510531,0.1291772284145866,0.20655059814453125,54146,0.1796875,171.98828125,0.5928642521753456,0.6863021082950361,0.6914060433705648,5,15
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,14,14,0.4444444444444444,0.3902439024390244,0.5375494071146245,45,10.04278100701049,0.0044634430087171495,0.09918762241593666,0.20655059814453125,54146,0.0859375,171.98828125,0.5978466906782353,0.689848749926596,0.6903374036153157,4,14
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,15,15,0.4444444444444444,0.4444444444444445,0.49011857707509876,45,7.9238543279934675,0.004505836986936629,0.10012971082081397,0.20655059814453125,54146,0.0,171.98828125,0.6442173299464312,0.6942896237879088,0.6922946214675904,1,11
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,16,16,0.4666666666666667,0.52,0.48221343873517786,45,10.851943130022846,0.00438221701188013,0.09738260026400287,0.20655059814453125,54146,0.0625,171.98828125,0.5780002041296526,0.6888229449590048,0.6914864540100097,5,15
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,17,17,0.47619047619047616,0.5217391304347826,0.44772727272727275,42,11.579255124961492,0.004537403990980238,0.10803342835667233,0.20655059814453125,54146,0.0,171.98828125,0.5725249499082565,0.6843203992554636,0.6847630739212036,6,16
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,18,18,0.4888888888888889,0.5490196078431373,0.48221343873517786,45,11.492269980954006,0.00436405697837472,0.09697904396388266,0.20655059814453125,54146,0.0625,171.98828125,0.5699853122685895,0.6848508625319509,0.6903012911478679,6,16
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,19,19,0.5111111111111111,0.6666666666666666,0.5138339920948616,45,7.930593816039618,0.004448705003596842,0.09886011119104093,0.20655059814453125,54146,0.0,171.98828125,0.6485051131158164,0.6933975648699384,0.6919427434603374,1,11
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,20,20,0.5333333333333333,0.43243243243243246,0.5,45,9.390457222005352,0.003425594011787325,0.07612431137305167,0.20655059814453125,54146,0.0,171.98828125,0.6258539205247705,0.6920287256891077,0.6925999005635579,3,13
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,21,21,0.4888888888888889,0.34285714285714286,0.4126984126984128,45,8.559040077961981,0.004405262996442616,0.09789473325428036,0.20655059814453125,54146,0.0,171.98828125,0.6363818550651724,0.6930618850570737,0.6929311275482177,2,12
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,22,22,0.5777777777777777,0.5957446808510638,0.5948616600790514,45,10.85260731697781,0.004466933023650199,0.09926517830333775,0.20655059814453125,54146,0.0625,171.98828125,0.5858831717209383,0.6884350952776995,0.6893242319424947,5,15
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,23,23,0.5,0.6333333333333333,0.5475206611570248,44,10.832942679000553,0.004530419013462961,0.10296406848779456,0.20655059814453125,54146,0.0625,171.98828125,0.5954359532757239,0.6891571378166025,0.6891582568486532,5,15
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,24,24,0.3888888888888889,0.3529411764705882,0.4285714285714286,18,10.166719002998434,0.002074366027954966,0.11524255710860921,0.20655059814453125,54146,0.21875,171.98828125,0.6143156433463993,0.6895188922272589,0.688476808865865,4,14
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,25,25,0.5555555555555556,0.6296296296296297,0.5671936758893281,45,11.479472620994784,0.004399743978865445,0.0977720884192321,0.20655059814453125,54146,0.05859375,171.98828125,0.5817425018458655,0.6863791333003477,0.6863050778706868,6,16
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,26,26,0.5333333333333333,0.27586206896551724,0.488095238095238,45,10.019811564008705,0.0035990100004710257,0.07997800001046725,0.20655059814453125,54146,0.0625,171.98828125,0.6033311314655073,0.6890127929774198,0.6907666444778442,4,14
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,27,27,0.4,0.37209302325581395,0.424901185770751,45,10.123673193971626,0.003412183024920523,0.0758262894426783,0.20655059814453125,54146,0.0,171.98828125,0.6282489146247054,0.6897404857657172,0.6931083758672079,4,14
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,28,28,0.5333333333333333,0.5333333333333332,0.5276679841897233,45,9.406428819987923,0.0037147370167076588,0.08254971148239243,0.20655059814453125,54146,0.0625,171.98828125,0.6148291914300485,0.6912900114601309,0.6933639685312907,3,13
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,29,29,0.5555555555555556,0.5238095238095238,0.6403162055335968,45,10.049166531010997,0.0035947480355389416,0.07988328967864314,0.20655059814453125,54146,0.0,171.98828125,0.610160874597954,0.6892791318170952,0.6896236697832744,4,14
weight_decay,0.0,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,30,30,0.4888888888888889,0.4888888888888889,0.5158730158730158,45,10.932150466018356,0.0033819410018622875,0.07515424448582861,0.20655059814453125,54146,0.0,171.98828125,0.5881920025655718,0.6876471841877158,0.690740172068278,5,15
