parameter_name,parameter_value,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc
class_weight,,lwf,riemann,1.0,lbfgs,,1,1,0.7111111111111111,0.6285714285714286,0.8320158102766799
class_weight,,lwf,riemann,1.0,lbfgs,,2,2,0.7777777777777778,0.7058823529411765,0.8932806324110671
class_weight,,lwf,riemann,1.0,lbfgs,,3,3,0.4666666666666667,0.4782608695652174,0.4011857707509881
class_weight,,lwf,riemann,1.0,lbfgs,,4,4,0.5555555555555556,0.6774193548387096,0.8359683794466404
class_weight,,lwf,riemann,1.0,lbfgs,,5,5,0.4222222222222222,0.5666666666666667,0.40277777777777785
class_weight,,lwf,riemann,1.0,lbfgs,,6,6,0.5555555555555556,0.23076923076923078,0.501984126984127
class_weight,,lwf,riemann,1.0,lbfgs,,7,7,0.9111111111111111,0.9,1.0
class_weight,,lwf,riemann,1.0,lbfgs,,8,8,0.6666666666666666,0.6666666666666666,0.7430830039525692
class_weight,,lwf,riemann,1.0,lbfgs,,9,9,0.6222222222222222,0.5641025641025641,0.5337301587301588
class_weight,,lwf,riemann,1.0,lbfgs,,10,10,0.5555555555555556,0.6666666666666666,0.6845238095238095
class_weight,,lwf,riemann,1.0,lbfgs,,11,11,0.5111111111111111,0.0,0.4782608695652174
class_weight,,lwf,riemann,1.0,lbfgs,,12,12,0.8,0.7906976744186046,0.8412698412698413
class_weight,,lwf,riemann,1.0,lbfgs,,13,13,0.8,0.7741935483870968,0.8725490196078431
class_weight,,lwf,riemann,1.0,lbfgs,,14,14,0.6222222222222222,0.5853658536585366,0.7371541501976284
class_weight,,lwf,riemann,1.0,lbfgs,,15,15,0.6222222222222222,0.7213114754098361,0.932806324110672
class_weight,,lwf,riemann,1.0,lbfgs,,16,16,0.5555555555555556,0.6875,0.7924901185770751
class_weight,,lwf,riemann,1.0,lbfgs,,17,17,0.5476190476190477,0.17391304347826086,0.6068181818181818
class_weight,,lwf,riemann,1.0,lbfgs,,18,18,0.5111111111111111,0.65625,0.39920948616600793
class_weight,,lwf,riemann,1.0,lbfgs,,19,19,0.5555555555555556,0.16666666666666666,0.6699604743083004
class_weight,,lwf,riemann,1.0,lbfgs,,20,20,0.5555555555555556,0.5238095238095238,0.6185770750988142
class_weight,,lwf,riemann,1.0,lbfgs,,21,21,0.6444444444444445,0.6190476190476191,0.6746031746031745
class_weight,,lwf,riemann,1.0,lbfgs,,22,22,0.6444444444444445,0.6190476190476191,0.6818181818181818
class_weight,,lwf,riemann,1.0,lbfgs,,23,23,0.7272727272727273,0.7692307692307693,0.8884297520661156
