trial_number,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
0,gini,10,5,5,balanced,6,1,1,0.6666666666666666,0.6938775510204082,0.741106719367589,45
0,gini,10,5,5,balanced,6,2,2,0.6,0.35714285714285715,0.8270750988142294,45
0,gini,10,5,5,balanced,6,3,3,0.4444444444444444,0.32432432432432434,0.5128458498023716,45
0,gini,10,5,5,balanced,6,4,4,0.6222222222222222,0.6382978723404256,0.6551383399209486,45
0,gini,10,5,5,balanced,6,5,5,0.4888888888888889,0.5964912280701754,0.4275793650793651,45
0,gini,10,5,5,balanced,6,6,6,0.5333333333333333,0.2222222222222222,0.42757936507936506,45
0,gini,10,5,5,balanced,6,7,7,0.8,0.8,0.7747035573122529,45
0,gini,10,5,5,balanced,6,8,8,0.6222222222222222,0.6530612244897959,0.7114624505928855,45
0,gini,10,5,5,balanced,6,9,9,0.5555555555555556,0.3333333333333333,0.5218253968253969,45
0,gini,10,5,5,balanced,6,10,10,0.6,0.5263157894736842,0.6031746031746033,45
0,gini,10,5,5,balanced,6,11,11,0.6,0.4,0.5622529644268774,45
0,gini,10,5,5,balanced,6,12,12,0.4888888888888889,0.14814814814814814,0.5158730158730158,45
0,gini,10,5,5,balanced,6,13,13,0.6285714285714286,0.5517241379310345,0.6388888888888888,35
0,gini,10,5,5,balanced,6,14,14,0.4666666666666667,0.29411764705882354,0.5326086956521738,45
0,gini,10,5,5,balanced,6,15,15,0.6444444444444445,0.7333333333333333,0.8784584980237155,45
0,gini,10,5,5,balanced,6,16,16,0.4888888888888889,0.14814814814814814,0.5009881422924901,45
0,gini,10,5,5,balanced,6,17,17,0.47619047619047616,0.21428571428571427,0.4295454545454545,42
0,gini,10,5,5,balanced,6,18,18,0.5111111111111111,0.65625,0.5375494071146245,45
0,gini,10,5,5,balanced,6,19,19,0.6,0.64,0.6422924901185771,45
0,gini,10,5,5,balanced,6,20,20,0.4666666666666667,0.3684210526315789,0.4407114624505929,45
0,gini,10,5,5,balanced,6,21,21,0.6222222222222222,0.41379310344827586,0.5992063492063492,45
0,gini,10,5,5,balanced,6,22,22,0.5777777777777777,0.4864864864864865,0.5652173913043479,45
0,gini,10,5,5,balanced,6,23,23,0.6818181818181818,0.6666666666666666,0.6756198347107438,44
0,gini,10,5,5,balanced,6,24,24,0.5,0.4,0.49350649350649345,18
0,gini,10,5,5,balanced,6,25,25,0.5333333333333333,0.36363636363636365,0.5177865612648221,45
0,gini,10,5,5,balanced,6,26,26,0.5777777777777777,0.6885245901639344,0.5813492063492063,45
0,gini,10,5,5,balanced,6,27,27,0.4888888888888889,0.6101694915254238,0.5276679841897234,45
0,gini,10,5,5,balanced,6,28,28,0.5333333333333333,0.4878048780487805,0.49999999999999994,45
0,gini,10,5,5,balanced,6,29,29,0.6,0.6086956521739131,0.6847826086956522,45
0,gini,10,5,5,balanced,6,30,30,0.5333333333333333,0.5714285714285714,0.5684523809523809,45
0,gini,10,5,5,balanced,6,31,31,0.8,0.7906976744186046,0.8448616600790514,45
0,gini,10,5,5,balanced,6,32,32,0.7954545454545454,0.7906976744186046,0.8198757763975154,44
0,gini,10,5,5,balanced,6,33,33,0.6444444444444445,0.6521739130434783,0.6887351778656127,45
0,gini,10,5,5,balanced,6,34,34,0.5555555555555556,0.5,0.6507936507936508,45
0,gini,10,5,5,balanced,6,35,35,0.5111111111111111,0.15384615384615385,0.5968379446640316,45
0,gini,10,5,5,balanced,6,36,36,0.36363636363636365,0.36363636363636365,0.32541322314049587,44
0,gini,10,5,5,balanced,6,37,37,0.5111111111111111,0.0,0.5,45
0,gini,10,5,5,balanced,6,38,38,0.6,0.6785714285714286,0.6057312252964426,45
0,gini,10,5,5,balanced,6,39,39,0.38636363636363635,0.425531914893617,0.391304347826087,44
0,gini,10,5,5,balanced,6,40,40,0.4444444444444444,0.07407407407407407,0.47718253968253965,45
0,gini,10,5,5,balanced,6,41,41,0.4666666666666667,0.5714285714285714,0.48214285714285715,45
0,gini,10,5,5,balanced,6,42,42,0.7333333333333333,0.7391304347826086,0.8112648221343874,45
0,gini,10,5,5,balanced,6,43,43,0.6666666666666666,0.5714285714285714,0.6403162055335969,45
0,gini,10,5,5,balanced,6,44,44,0.5517241379310345,0.38095238095238093,0.6333333333333333,29
0,gini,10,5,5,balanced,6,45,45,0.5333333333333333,0.27586206896551724,0.5316205533596838,45
0,gini,10,5,5,balanced,6,46,46,0.5111111111111111,0.21428571428571427,0.4772727272727273,45
0,gini,10,5,5,balanced,6,47,47,0.5555555555555556,0.6296296296296297,0.5376984126984127,45
0,gini,10,5,5,balanced,6,48,48,0.7058823529411765,0.7058823529411765,0.6142857142857142,17
0,gini,10,5,5,balanced,6,49,49,0.6666666666666666,0.5945945945945946,0.7144268774703557,45
0,gini,10,5,5,balanced,6,50,50,0.5111111111111111,0.0,0.5,45
0,gini,10,5,5,balanced,6,51,51,0.5555555555555556,0.09090909090909091,0.5238095238095238,45
0,gini,10,5,5,balanced,6,52,52,0.6585365853658537,0.5333333333333333,0.6758373205741627,41
0,gini,10,5,5,balanced,6,53,53,0.5116279069767442,0.43243243243243246,0.5454545454545454,43
0,gini,10,5,5,balanced,6,54,54,0.48717948717948717,0.5652173913043478,0.6440217391304348,39
0,gini,10,5,5,balanced,6,55,55,0.5777777777777777,0.6984126984126984,0.5869565217391304,45
0,gini,10,5,5,balanced,6,56,56,0.7272727272727273,0.7272727272727273,0.7634297520661156,44
0,gini,10,5,5,balanced,6,57,57,0.6666666666666666,0.6511627906976745,0.753968253968254,45
0,gini,10,5,5,balanced,6,58,58,0.6222222222222222,0.41379310344827586,0.6140873015873016,45
0,gini,10,5,5,balanced,6,59,59,0.4222222222222222,0.13333333333333333,0.373015873015873,45
0,gini,10,5,5,balanced,6,60,60,0.6818181818181818,0.631578947368421,0.8254132231404958,44
0,gini,10,5,5,balanced,6,61,61,0.6744186046511628,0.631578947368421,0.6634199134199135,43
0,gini,10,5,5,balanced,6,62,62,0.6666666666666666,0.6341463414634146,0.7934782608695652,45
0,gini,10,5,5,balanced,6,63,63,0.5116279069767442,0.5531914893617021,0.4924242424242425,43
0,gini,10,5,5,balanced,6,64,64,0.6222222222222222,0.6382978723404256,0.6215415019762845,45
0,gini,10,5,5,balanced,6,65,65,0.5555555555555556,0.6153846153846154,0.5555555555555555,45
0,gini,10,5,5,balanced,6,66,66,0.4666666666666667,0.5384615384615384,0.49110671936758893,45
0,gini,10,5,5,balanced,6,67,67,0.5333333333333333,0.36363636363636365,0.6235177865612649,45
