parameter_name,parameter_value,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,53,53,0.5116279069767442,0.36363636363636365,0.5714285714285715
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,54,54,0.6153846153846154,0.6666666666666666,0.8070652173913043
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,55,55,0.6888888888888889,0.5333333333333333,0.9565217391304348
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,56,56,0.8409090909090909,0.8292682926829268,0.9421487603305786
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,57,57,0.6666666666666666,0.6511627906976745,0.6825396825396826
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,58,58,0.4888888888888889,0.5490196078431373,0.5257936507936508
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,59,59,0.4444444444444444,0.07407407407407407,0.4107142857142857
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,60,60,0.7954545454545454,0.8,0.8987603305785125
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,61,61,0.7906976744186046,0.7692307692307693,0.8874458874458874
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,62,62,0.8222222222222222,0.8095238095238095,0.9407114624505929
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,63,63,0.5813953488372093,0.35714285714285715,0.5735930735930737
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,64,64,0.7111111111111111,0.7346938775510204,0.7727272727272728
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,65,65,0.6888888888888889,0.65,0.7698412698412699
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,66,66,0.4444444444444444,0.46808510638297873,0.47233201581027673
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,67,67,0.5333333333333333,0.27586206896551724,0.6304347826086957
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,68,68,0.4666666666666667,0.0,0.6363636363636364
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,69,69,0.5111111111111111,0.47619047619047616,0.6091269841269842
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,70,70,0.6666666666666666,0.5945945945945946,0.7332015810276679
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,71,71,0.6,0.35714285714285715,0.8794466403162055
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,72,72,0.8222222222222222,0.8181818181818182,0.9110671936758894
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,73,73,0.6888888888888889,0.6111111111111112,0.7391304347826086
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,74,74,0.5333333333333333,0.36363636363636365,0.496031746031746
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,75,75,0.6829268292682927,0.7111111111111111,0.8071428571428572
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,76,76,0.5333333333333333,0.6440677966101694,0.6976284584980237
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,77,77,0.5333333333333333,0.6037735849056604,0.5277777777777778
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,78,78,0.5111111111111111,0.5925925925925926,0.6106719367588933
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,79,79,0.625,0.4827586206896552,0.6224999999999999
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,80,80,0.4888888888888889,0.0,0.6679841897233202
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,81,81,0.5333333333333333,0.16,0.7312252964426877
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,82,82,0.5555555555555556,0.6774193548387096,0.6956521739130435
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,83,83,0.5526315789473685,0.19047619047619047,0.6814404432132964
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,84,84,0.6818181818181818,0.6818181818181818,0.7204968944099378
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,85,85,0.5909090909090909,0.7,0.9047619047619047
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,86,86,0.6136363636363636,0.5142857142857142,0.8240165631469979
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,87,87,0.5555555555555556,0.6428571428571429,0.5810276679841897
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,88,88,0.4727272727272727,0.12121212121212122,0.5092592592592593
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,89,89,0.5555555555555556,0.6551724137931034,0.8333333333333334
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,90,90,0.5333333333333333,0.4878048780487805,0.45454545454545453
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,91,91,0.5909090909090909,0.6896551724137931,0.7148760330578512
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,92,92,0.5892857142857143,0.46511627906976744,0.6525641025641026
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,93,93,0.7777777777777778,0.75,0.8557312252964426
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,94,94,0.8409090909090909,0.8679245283018868,0.9772256728778469
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,95,95,0.39285714285714285,0.5641025641025641,0.5364583333333333
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,96,96,0.5,0.6557377049180327,0.5056689342403629
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,97,97,0.5,0.0,0.5578512396694215
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,98,98,0.5555555555555556,0.6551724137931034,0.5988142292490118
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,99,99,0.5116279069767442,0.36363636363636365,0.5346320346320347
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,100,100,0.5277777777777778,0.6046511627906976,0.5586419753086419
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,101,101,0.4888888888888889,0.0,0.5691699604743082
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,102,102,0.6666666666666666,0.5454545454545454,0.7648221343873517
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,103,103,0.627906976744186,0.6,0.7099567099567099
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,104,104,0.4883720930232558,0.5217391304347826,0.487012987012987
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,105,105,0.5333333333333333,0.36363636363636365,0.49011857707509876
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,106,106,0.6666666666666666,0.6511627906976745,0.7261904761904762
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,107,107,0.5333333333333333,0.5333333333333333,0.5773809523809523
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,108,108,0.8222222222222222,0.7894736842105263,0.8557312252964426
n_estimators,200,200,gini,10,10,5,sqrt,balanced,6,1,1,0.6,0.6785714285714286,0.7509881422924901
n_estimators,200,200,gini,10,10,5,sqrt,balanced,6,2,2,0.6888888888888889,0.5333333333333333,0.9150197628458498
n_estimators,200,200,gini,10,10,5,sqrt,balanced,6,3,3,0.5111111111111111,0.5769230769230769,0.5039525691699605
n_estimators,200,200,gini,10,10,5,sqrt,balanced,6,4,4,0.6888888888888889,0.75,0.7272727272727273
