parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,1,0.697731643463626,0.6746122479438782,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6712719883882639,0.6505794564882914,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6523941105062311,0.6187120954195658,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6426736378308499,0.5982650299866994,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6229704622969483,0.6551191210746765,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6264202746026444,0.5957488973935445,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6069202068628687,0.5913394649823507,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,8,0.5990109852317608,0.5991226037343343,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,9,0.585906038681666,0.6990105777978897,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,10,0.5856306638681528,0.5921999494234721,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,11,0.5640016058177659,0.6196711877981822,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,12,0.5493418226639429,0.5997438192367553,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,13,0.5371924110434272,0.6278089781602224,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,14,0.49050213780367014,0.6456267317136128,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,15,0.4729000615576903,0.6616148591041565,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,16,0.4429907957938584,0.692484579483668,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,17,0.44257945239995466,0.723279760281245,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,1,0.6826901828700845,0.6402634700139364,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,2,0.6551891156669819,0.6202805757522583,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,3,0.6476246213371103,0.6025932391484579,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,4,0.6284065905845526,0.6187797109285991,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,5,0.6186163452538577,0.5938319305578867,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,6,0.6122158912546707,0.5863444030284881,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,7,0.6009361443646026,0.5891245762507121,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,8,0.5987042716958306,0.6366567512353262,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,9,0.590688066500606,0.6160774270693461,0.001
dim_feedforward,64,64,4,2,64,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,10,0.5769630787950574,0.6071858664353689,0.001
