trial_number,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,80,80,0.4888888888888889,0.0,0.6422924901185771,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,81,81,0.5111111111111111,0.08333333333333333,0.7984189723320159,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,82,82,0.5555555555555556,0.6774193548387096,0.6778656126482213,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,83,83,0.5526315789473685,0.19047619047619047,0.7562326869806094,38
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,84,84,0.6818181818181818,0.6666666666666666,0.7453416149068323,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,85,85,0.5681818181818182,0.6885245901639344,0.9006211180124224,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,86,86,0.6363636363636364,0.5294117647058824,0.8157349896480331,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,87,87,0.5111111111111111,0.6206896551724138,0.5830039525691699,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,88,88,0.4727272727272727,0.12121212121212122,0.511904761904762,55
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,89,89,0.6444444444444445,0.7142857142857143,0.736111111111111,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,90,90,0.5333333333333333,0.5333333333333333,0.47826086956521746,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,91,91,0.6136363636363636,0.7213114754098361,0.7665289256198347,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,92,92,0.5892857142857143,0.43902439024390244,0.7076923076923077,56
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,93,93,0.8,0.7692307692307693,0.8399209486166008,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,94,94,0.8409090909090909,0.8679245283018868,0.9958592132505176,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,95,95,0.32142857142857145,0.4864864864864865,0.5104166666666667,28
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,96,96,0.5238095238095238,0.6774193548387096,0.4580498866213151,42
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,97,97,0.5,0.0,0.5599173553719008,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,98,98,0.5555555555555556,0.6666666666666666,0.5928853754940712,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,99,99,0.5116279069767442,0.4,0.5108225108225108,43
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,100,100,0.5,0.5714285714285714,0.5740740740740741,36
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,101,101,0.4888888888888889,0.0,0.6106719367588933,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,102,102,0.6888888888888889,0.5882352941176471,0.8003952569169961,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,103,103,0.6046511627906976,0.5641025641025641,0.7077922077922078,43
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,104,104,0.5348837209302325,0.6,0.5043290043290043,43
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,105,105,0.5111111111111111,0.3125,0.49604743083003955,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,106,106,0.6666666666666666,0.6341463414634146,0.7023809523809523,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,107,107,0.5333333333333333,0.5531914893617021,0.5496031746031746,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,108,108,0.8,0.7692307692307693,0.875494071146245,45
