trial_number,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
0,300,log_loss,10,20,4,sqrt,balanced,6,41,41,0.7333333333333333,0.7142857142857143,0.7301587301587301,45
0,300,log_loss,10,20,4,sqrt,balanced,6,42,42,0.8666666666666667,0.85,0.9565217391304347,45
0,300,log_loss,10,20,4,sqrt,balanced,6,43,43,0.7111111111111111,0.6060606060606061,0.8043478260869565,45
0,300,log_loss,10,20,4,sqrt,balanced,6,44,44,0.7586206896551724,0.7407407407407407,0.7142857142857144,29
0,300,log_loss,10,20,4,sqrt,balanced,6,45,45,0.6,0.3076923076923077,0.7252964426877471,45
0,300,log_loss,10,20,4,sqrt,balanced,6,46,46,0.5333333333333333,0.5116279069767442,0.5533596837944664,45
0,300,log_loss,10,20,4,sqrt,balanced,6,47,47,0.5333333333333333,0.5333333333333333,0.5376984126984127,45
0,300,log_loss,10,20,4,sqrt,balanced,6,48,48,0.7058823529411765,0.6666666666666666,0.8428571428571427,17
0,300,log_loss,10,20,4,sqrt,balanced,6,49,49,0.7777777777777778,0.75,0.891304347826087,45
0,300,log_loss,10,20,4,sqrt,balanced,6,50,50,0.5111111111111111,0.0,0.6857707509881422,45
0,300,log_loss,10,20,4,sqrt,balanced,6,51,51,0.5333333333333333,0.0,0.4593253968253968,45
0,300,log_loss,10,20,4,sqrt,balanced,6,52,52,0.7560975609756098,0.6666666666666666,0.8588516746411483,41
0,300,log_loss,10,20,4,sqrt,balanced,6,53,53,0.5581395348837209,0.42424242424242425,0.5930735930735931,43
0,300,log_loss,10,20,4,sqrt,balanced,6,54,54,0.6410256410256411,0.6956521739130435,0.8233695652173914,39
0,300,log_loss,10,20,4,sqrt,balanced,6,55,55,0.6444444444444445,0.42857142857142855,0.958498023715415,45
0,300,log_loss,10,20,4,sqrt,balanced,6,56,56,0.8181818181818182,0.8095238095238095,0.9297520661157025,44
0,300,log_loss,10,20,4,sqrt,balanced,6,57,57,0.6888888888888889,0.6666666666666666,0.6984126984126985,45
0,300,log_loss,10,20,4,sqrt,balanced,6,58,58,0.5555555555555556,0.6,0.6011904761904762,45
0,300,log_loss,10,20,4,sqrt,balanced,6,59,59,0.4444444444444444,0.07407407407407407,0.43452380952380953,45
0,300,log_loss,10,20,4,sqrt,balanced,6,60,60,0.7954545454545454,0.8,0.9152892561983471,44
0,300,log_loss,10,20,4,sqrt,balanced,6,61,61,0.7441860465116279,0.7027027027027027,0.8701298701298701,43
0,300,log_loss,10,20,4,sqrt,balanced,6,62,62,0.8666666666666667,0.8571428571428571,0.9604743083003954,45
0,300,log_loss,10,20,4,sqrt,balanced,6,63,63,0.6046511627906976,0.41379310344827586,0.551948051948052,43
0,300,log_loss,10,20,4,sqrt,balanced,6,64,64,0.7111111111111111,0.7346938775510204,0.7529644268774703,45
0,300,log_loss,10,20,4,sqrt,balanced,6,65,65,0.7333333333333333,0.6842105263157895,0.7916666666666667,45
0,300,log_loss,10,20,4,sqrt,balanced,6,66,66,0.4,0.4489795918367347,0.49209486166007904,45
0,300,log_loss,10,20,4,sqrt,balanced,6,67,67,0.5333333333333333,0.27586206896551724,0.6106719367588933,45
0,300,log_loss,10,20,4,sqrt,balanced,6,68,68,0.4888888888888889,0.0,0.58300395256917,45
0,300,log_loss,10,20,4,sqrt,balanced,6,69,69,0.5333333333333333,0.5116279069767442,0.5972222222222222,45
0,300,log_loss,10,20,4,sqrt,balanced,6,70,70,0.7333333333333333,0.7142857142857143,0.7430830039525692,45
0,300,log_loss,10,20,4,sqrt,balanced,6,71,71,0.5777777777777777,0.2962962962962963,0.9308300395256918,45
0,300,log_loss,10,20,4,sqrt,balanced,6,72,72,0.8,0.7804878048780488,0.9308300395256917,45
0,300,log_loss,10,20,4,sqrt,balanced,6,73,73,0.6444444444444445,0.5,0.7845849802371543,45
0,300,log_loss,10,20,4,sqrt,balanced,6,74,74,0.5555555555555556,0.375,0.47023809523809523,45
0,300,log_loss,10,20,4,sqrt,balanced,6,75,75,0.7804878048780488,0.7692307692307693,0.8523809523809524,41
0,300,log_loss,10,20,4,sqrt,balanced,6,76,76,0.5777777777777777,0.6984126984126984,0.6541501976284585,45
0,300,log_loss,10,20,4,sqrt,balanced,6,77,77,0.5111111111111111,0.5769230769230769,0.5297619047619048,45
0,300,log_loss,10,20,4,sqrt,balanced,6,78,78,0.5555555555555556,0.6296296296296297,0.6284584980237155,45
0,300,log_loss,10,20,4,sqrt,balanced,6,79,79,0.625,0.4827586206896552,0.63,40
0,300,log_loss,10,20,4,sqrt,balanced,6,80,80,0.4888888888888889,0.0,0.642292490118577,45
0,300,log_loss,10,20,4,sqrt,balanced,6,81,81,0.5555555555555556,0.23076923076923078,0.7687747035573123,45
0,300,log_loss,10,20,4,sqrt,balanced,6,82,82,0.5555555555555556,0.6774193548387096,0.6976284584980238,45
0,300,log_loss,10,20,4,sqrt,balanced,6,83,83,0.5526315789473685,0.19047619047619047,0.7423822714681441,38
0,300,log_loss,10,20,4,sqrt,balanced,6,84,84,0.6363636363636364,0.6363636363636364,0.7432712215320911,44
0,300,log_loss,10,20,4,sqrt,balanced,6,85,85,0.5454545454545454,0.6774193548387096,0.8964803312629399,44
0,300,log_loss,10,20,4,sqrt,balanced,6,86,86,0.6818181818181818,0.6111111111111112,0.8178053830227743,44
0,300,log_loss,10,20,4,sqrt,balanced,6,87,87,0.4888888888888889,0.6101694915254238,0.5790513833992095,45
0,300,log_loss,10,20,4,sqrt,balanced,6,88,88,0.4727272727272727,0.12121212121212122,0.4814814814814815,55
0,300,log_loss,10,20,4,sqrt,balanced,6,89,89,0.6222222222222222,0.7017543859649122,0.7182539682539683,45
0,300,log_loss,10,20,4,sqrt,balanced,6,90,90,0.4888888888888889,0.4888888888888889,0.4762845849802371,45
0,300,log_loss,10,20,4,sqrt,balanced,6,91,91,0.5909090909090909,0.7096774193548387,0.7582644628099173,44
0,300,log_loss,10,20,4,sqrt,balanced,6,92,92,0.6071428571428571,0.47619047619047616,0.6923076923076923,56
0,300,log_loss,10,20,4,sqrt,balanced,6,93,93,0.8,0.7692307692307693,0.849802371541502,45
0,300,log_loss,10,20,4,sqrt,balanced,6,94,94,0.8409090909090909,0.8679245283018868,0.9875776397515528,44
0,300,log_loss,10,20,4,sqrt,balanced,6,95,95,0.32142857142857145,0.4864864864864865,0.5,28
0,300,log_loss,10,20,4,sqrt,balanced,6,96,96,0.5238095238095238,0.6774193548387096,0.4625850340136054,42
0,300,log_loss,10,20,4,sqrt,balanced,6,97,97,0.5,0.0,0.5743801652892562,44
0,300,log_loss,10,20,4,sqrt,balanced,6,98,98,0.5777777777777777,0.6885245901639344,0.6047430830039525,45
0,300,log_loss,10,20,4,sqrt,balanced,6,99,99,0.5348837209302325,0.4117647058823529,0.5216450216450217,43
0,300,log_loss,10,20,4,sqrt,balanced,6,100,100,0.5555555555555556,0.6190476190476191,0.5709876543209877,36
0,300,log_loss,10,20,4,sqrt,balanced,6,101,101,0.4888888888888889,0.0,0.5830039525691699,45
0,300,log_loss,10,20,4,sqrt,balanced,6,102,102,0.6888888888888889,0.5882352941176471,0.7786561264822134,45
