parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb
learning_rate,0.0001,8,2,64,0.5,0.0001,32,20,0.0,0.551687270401431,0.08836113677554781,0.40514484587919203,0.620315819201073,11.770536295953729,0.002746098740746877,0.0629286201584417,0.014316558837890625,1858.0,3.616898148148148e-05,41.77880859375
learning_rate,0.001,8,2,64,0.5,0.001,32,20,0.0,0.5805819378987055,0.12945354231007694,0.4634842155408713,0.7193734964290498,10.238462500999875,0.002239842546377649,0.051405351172600006,0.014316558837890625,1858.0,0.0,41.77880859375
learning_rate,0.01,8,2,64,0.5,0.01,32,20,0.0,0.5966115100684907,0.12440505060245725,0.5170803059549739,0.7444837706891426,10.146122246157356,0.0022002504724191064,0.05054133523929142,0.014316558837890625,1858.0,0.0,41.77880859375
