parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6958376729127133,0.6747470537821452,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6683275907328634,0.6424754778544108,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6620905525756605,0.6307500084241231,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6478796158776139,0.6209201137224833,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6341057049505638,0.6116613507270813,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6319878031358575,0.6151732285817464,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6306588157559886,0.6232292632261912,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6243419593030756,0.6010404308636983,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6180260813597477,0.5853040258089701,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6177849724437251,0.6029650906721751,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6134321581233632,0.645580647389094,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,12,0.6123504369999423,0.5845747848351797,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,13,0.603191652758555,0.5922845502694448,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,14,0.6072526023243413,0.5957486351331075,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,15,0.5977689775102066,0.5902271052201589,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,16,0.5892247331864906,0.5948409159978231,0.001
num_layers,1,64,4,1,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,17,0.581185398679791,0.6155880133310954,0.001
