parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,1,1,0.6888888888888889,0.6666666666666666,0.7430830039525692,45,25.01113922195509,0.007885297993198037,0.17522884429328972,0.25977325439453125,68098,251.77734375,82.21826171875,0.4391150343667418,0.616357451156065,0.5816307902336121,7,17
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,2,2,0.7777777777777778,0.7222222222222223,0.841897233201581,45,25.004303777008317,0.005159389053005725,0.11465309006679389,0.25977325439453125,68098,0.01171875,82.21826171875,0.4059370644815521,0.6067161417279406,0.5681205819050471,7,17
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,3,3,0.4222222222222222,0.35000000000000003,0.34782608695652173,45,21.918898631993216,0.00506426504580304,0.11253922324006756,0.25977325439453125,68098,0.0,82.21826171875,0.45152049809127703,0.6189356149376118,0.5832101970911026,5,15
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,4,4,0.5555555555555556,0.6666666666666666,0.5197628458498024,45,33.27088328002719,0.005346353980712593,0.11880786623805761,0.25977325439453125,68098,0.06640625,82.21826171875,0.333241570641786,0.5538226253859444,0.5561252564191819,13,23
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,5,5,0.4666666666666667,0.625,0.4841269841269842,45,22.39731233700877,0.00565540004754439,0.12567555661209756,0.25977325439453125,68098,0.0,82.21826171875,0.4039484438674078,0.6184621671986671,0.6207070509592693,5,15
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,6,6,0.4888888888888889,0.41025641025641024,0.5218253968253967,45,22.973894658032805,0.005442105000838637,0.12093566668530305,0.25977325439453125,68098,0.0,82.21826171875,0.4264044708682104,0.6230296477845413,0.594882012406985,5,15
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,7,7,0.7777777777777778,0.7058823529411764,0.982213438735178,45,23.856992210960016,0.005107913981191814,0.11350919958204031,0.25977325439453125,68098,0.0,82.21826171875,0.44464809994280563,0.6222352373056086,0.5820740302403767,6,16
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,8,8,0.6222222222222222,0.5641025641025642,0.6462450592885376,45,30.224615445011295,0.004811646998859942,0.10692548886355427,0.25977325439453125,68098,0.0,82.21826171875,0.3352796302492174,0.5900854830959451,0.6096847037474314,11,21
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,9,9,0.6888888888888889,0.6818181818181819,0.6805555555555556,45,20.357476335018873,0.005265336018055677,0.11700746706790394,0.25977325439453125,68098,0.00390625,82.21826171875,0.46478428847436215,0.6200810550736837,0.5990442832310995,4,14
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,10,10,0.5777777777777777,0.6122448979591837,0.6547619047619049,45,29.50996596098412,0.005050293984822929,0.1122287552182873,0.25977325439453125,68098,0.0,82.21826171875,0.3716227607695322,0.5924920855592866,0.5991633931795756,10,20
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,11,11,0.4666666666666667,0.14285714285714288,0.432806324110672,45,27.085120343021117,0.0051728649996221066,0.11495255554715793,0.25977325439453125,68098,0.0,82.21826171875,0.448357573593524,0.606908450221834,0.5706216608484586,8,18
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,12,12,0.6222222222222222,0.5853658536585366,0.7162698412698413,45,24.28269168798579,0.0048724079970270395,0.10827573326726754,0.25977325439453125,68098,0.0,82.21826171875,0.4046972833942098,0.6111697160245801,0.6213086942831675,6,16
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,13,13,0.8857142857142857,0.8823529411764706,0.9705882352941176,35,26.832122089981567,0.004874921985901892,0.13928348531148263,0.25977325439453125,68098,0.15625,82.21826171875,0.3538499436708111,0.5901083840113698,0.59239648381869,8,18
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,14,14,0.6666666666666666,0.7540983606557378,0.7964426877470355,45,23.887539035000373,0.004842165973968804,0.10760368831041786,0.25977325439453125,68098,0.00390625,82.21826171875,0.4092612382123679,0.610026389927012,0.6042639225721359,6,16
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,15,15,0.6666666666666666,0.7457627118644068,0.9505928853754941,45,31.785603524011094,0.004982756043318659,0.11072791207374798,0.25977325439453125,68098,0.0,82.21826171875,0.325147188859974,0.582134341785663,0.5663510849078496,11,21
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,16,16,0.6888888888888889,0.7586206896551724,0.8399209486166007,45,26.08879511395935,0.005193257005885243,0.1154057112418943,0.25977325439453125,68098,0.00390625,82.21826171875,0.3581289598017138,0.5890574391803814,0.591615820924441,7,17
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,17,17,0.5714285714285714,0.4,0.5522727272727272,42,27.079675686953124,0.0053730279905721545,0.12792923787076557,0.25977325439453125,68098,10.16796875,82.21826171875,0.37250963914574997,0.5948643385799546,0.6103358040253322,8,18
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,18,18,0.6,0.6086956521739131,0.6106719367588933,45,30.61093508999329,0.005064191005658358,0.11253757790351908,0.25977325439453125,68098,0.0078125,82.21826171875,0.3346302976739724,0.5825988041810664,0.6159049183130264,10,20
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,19,19,0.7777777777777778,0.8148148148148148,0.8280632411067195,45,22.289082673029043,0.0051211100071668625,0.11380244460370804,0.25977325439453125,68098,0.0,82.21826171875,0.48239131526801976,0.6272503146653846,0.580026951432228,5,15
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,20,20,0.5777777777777777,0.4864864864864865,0.6106719367588933,45,20.19139847200131,0.005197306978516281,0.11549571063369513,0.25977325439453125,68098,0.0,82.21826171875,0.4442201196694102,0.6279451535455174,0.5729177912076314,4,14
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,21,21,0.5333333333333333,0.6666666666666666,0.751984126984127,45,25.370912151003722,0.005096665991004556,0.1132592442445457,0.25977325439453125,68098,0.00390625,82.21826171875,0.38497397215760704,0.6082575454911352,0.5933478285868963,7,17
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,22,22,0.6222222222222222,0.6382978723404256,0.650197628458498,45,28.679041234019678,0.005592467961832881,0.12427706581850848,0.25977325439453125,68098,0.0,82.21826171875,0.34864014367300294,0.5809729222789011,0.613809530933698,9,19
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,23,23,0.6818181818181818,0.7407407407407406,0.859504132231405,44,22.957901036017574,0.005563345039263368,0.12643965998325837,0.25977325439453125,68098,0.0,82.21826171875,0.41447455877926864,0.6134710571385155,0.5903436323006948,5,15
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,24,24,0.6666666666666666,0.625,0.7012987012987013,18,21.36081051401561,0.003616956004407257,0.20094200024484762,0.25977325439453125,68098,0.0078125,82.21826171875,0.4438198096347305,0.6247669335806145,0.6216595967610677,4,14
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,25,25,0.5777777777777777,0.3870967741935483,0.5810276679841897,45,28.508423661987763,0.005541370017454028,0.12314155594342284,0.25977325439453125,68098,0.0,82.21826171875,0.371080475530017,0.5902736636848958,0.6059714863697688,9,19
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,26,26,0.8,0.8163265306122449,0.9087301587301586,45,22.272706357995048,0.005172814999241382,0.11495144442758626,0.25977325439453125,68098,0.0,82.21826171875,0.41993967690168676,0.6308903158164296,0.602978453040123,5,15
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,27,27,0.5111111111111111,0.6071428571428571,0.6324110671936759,45,23.392440660041757,0.005401406029704958,0.12003124510455462,0.25977325439453125,68098,0.00390625,82.21826171875,0.42144388815975914,0.6207997783055323,0.6061283230781556,6,16
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,28,28,0.5555555555555556,0.5,0.5770750988142292,45,26.131769130995963,0.0042807969730347395,0.09512882162299421,0.25977325439453125,68098,0.0,82.21826171875,0.40918449111311156,0.6050832041542793,0.6034540385007858,8,18
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,29,29,0.7555555555555555,0.8,0.9505928853754941,45,26.7794633450103,0.005878980038687587,0.13064400085972414,0.25977325439453125,68098,0.0,82.21826171875,0.39784082192431836,0.6012612540458998,0.5720482885837554,8,18
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,30,30,0.5777777777777777,0.2962962962962963,0.613095238095238,45,30.316189010976814,0.0050557570066303015,0.11235015570289558,0.25977325439453125,68098,0.0,82.21826171875,0.35154128896192904,0.5729995823178454,0.5925989468892415,11,21
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,31,31,0.8444444444444444,0.8444444444444444,0.9090909090909091,45,31.68510006397264,0.004789728962350637,0.1064384213855697,0.25977325439453125,68098,0.0,82.21826171875,0.2899816796863487,0.55270172207981,0.6018059988816579,12,22
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,32,32,0.75,0.8,0.8985507246376812,44,18.82384245900903,0.005837559991050512,0.1326718179784207,0.25977325439453125,68098,0.0,82.21826171875,0.4700703064525082,0.6382144051586267,0.6038430740435918,3,13
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,33,33,0.7777777777777778,0.761904761904762,0.8339920948616601,45,30.321429536968935,0.005233220988884568,0.1162937997529904,0.25977325439453125,68098,0.0,82.21826171875,0.3765988437735083,0.5970966634641582,0.5879126305381457,11,21
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,34,34,0.9333333333333333,0.9387755102040817,0.9801587301587301,45,23.241526313009672,0.0052237220224924386,0.11608271161094308,0.25977325439453125,68098,0.0,82.21826171875,0.4027526402994707,0.6173616648853505,0.6256968259811402,6,16
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,35,35,0.8,0.7906976744186046,0.8596837944664032,45,19.533330925973132,0.005103524017613381,0.11341164483585292,0.25977325439453125,68098,0.0,82.21826171875,0.4791120493026741,0.6396581833126881,0.6054078330596288,3,13
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,36,36,0.4772727272727273,0.43902439024390244,0.49586776859504134,44,28.725071918976028,0.004990938992705196,0.11343043165239082,0.25977325439453125,68098,0.0,82.21826171875,0.4509864582648295,0.6063737073778653,0.6047047138214111,9,19
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,37,37,0.5111111111111111,0.0,0.5276679841897234,45,24.228103954985272,0.005039828014560044,0.1119961781013343,0.25977325439453125,68098,0.0,82.21826171875,0.3866613805860621,0.6025085879822648,0.5897658248742421,6,16
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,38,38,0.5555555555555556,0.5238095238095238,0.6936758893280632,45,31.066801355977077,0.005098632944282144,0.11330295431738098,0.25977325439453125,68098,0.00390625,82.21826171875,0.3065808684540339,0.5784405127677628,0.5829022645950317,11,21
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,39,39,0.5454545454545454,0.41176470588235287,0.608695652173913,44,25.33707118203165,0.005013705987948924,0.11394786336247556,0.25977325439453125,68098,0.0,82.21826171875,0.3716278332267877,0.6082607856721479,0.598212668299675,7,17
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,40,40,0.4222222222222222,0.43478260869565216,0.39682539682539686,45,22.722499786003027,0.005472702963743359,0.12161562141651908,0.25977325439453125,68098,0.0,82.21826171875,0.43318937429910376,0.6224457007397264,0.620630336801211,5,15
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,41,41,0.6222222222222222,0.4137931034482759,0.7043650793650793,45,33.174073184025474,0.00509967899415642,0.11332619987014267,0.25977325439453125,68098,0.0,82.21826171875,0.26837864281616736,0.5392117819858595,0.5746426304181417,12,22
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,42,42,0.8888888888888888,0.878048780487805,0.9446640316205533,45,22.266668969008606,0.0051191640086472034,0.11375920019216008,0.25977325439453125,68098,0.0,82.21826171875,0.4133292590144016,0.6239327833679692,0.6089311371246974,5,15
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,43,43,0.7555555555555555,0.6666666666666666,0.924901185770751,45,21.66456654801732,0.005236217984929681,0.11636039966510402,0.25977325439453125,68098,0.00390625,82.21826171875,0.43287753803875056,0.6203763951820113,0.6109696706136067,5,15
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,44,44,0.7586206896551724,0.7200000000000001,0.861904761904762,29,24.729118521034252,0.003701732959598303,0.12764596412407941,0.25977325439453125,68098,0.01171875,82.21826171875,0.3972225416677468,0.6102403711640474,0.5963965644439061,7,17
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,45,45,0.5333333333333333,0.22222222222222218,0.7648221343873517,45,30.465875295980368,0.0052222489612177014,0.11604997691594891,0.25977325439453125,68098,0.0,82.21826171875,0.35862836016504934,0.5817758401310489,0.5852715030312539,11,21
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,46,46,0.6,0.64,0.6857707509881423,45,25.279926456976682,0.005101702001411468,0.1133711555869215,0.25977325439453125,68098,0.0,82.21826171875,0.3754915553127405,0.6088531140818796,0.5983447571595509,7,17
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,47,47,0.5555555555555556,0.5652173913043478,0.5595238095238095,45,29.376470918999985,0.004922418971545994,0.10938708825657766,0.25977325439453125,68098,0.0078125,82.21826171875,0.31512205107243796,0.5688919491867602,0.5991838922103246,10,20
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,48,48,0.7058823529411765,0.6666666666666666,1.0,17,22.907905996020418,0.0034809630014933646,0.20476252949960969,0.25977325439453125,68098,0.0078125,82.21826171875,0.4556045284811056,0.6304329237847958,0.6276235898335775,5,15
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,49,49,0.7777777777777778,0.8148148148148148,0.9565217391304348,45,26.637155650998466,0.004815839987713844,0.10701866639364097,0.25977325439453125,68098,0.00390625,82.21826171875,0.39814915284231134,0.6062989203195608,0.5996021389961242,8,18
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,50,50,0.5555555555555556,0.16666666666666669,0.7055335968379447,45,27.29394120996585,0.005525636952370405,0.1227919322748979,0.25977325439453125,68098,0.00390625,82.21826171875,0.3571408738881463,0.5917213725726415,0.5917490472396215,8,18
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,51,51,0.6,0.3076923076923077,0.7182539682539683,45,29.532774630002677,0.0050704809837043285,0.11267735519342953,0.25977325439453125,68098,0.0,82.21826171875,0.31276876258419495,0.5621892312407041,0.602052167057991,10,20
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,52,52,0.7317073170731707,0.6451612903225806,0.7894736842105263,41,27.990712570026517,0.005317300034221262,0.12969024473710394,0.25977325439453125,68098,0.0,82.21826171875,0.3809823039195952,0.6039445733256412,0.6024208337068557,9,19
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,53,53,0.5116279069767442,0.5531914893617023,0.5238095238095238,43,30.930258493986912,0.004813393985386938,0.11193939500899856,0.25977325439453125,68098,0.0,82.21826171875,0.3087326450832896,0.5609399987944179,0.5948550035556157,11,21
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,54,54,0.6923076923076923,0.7000000000000001,0.7635869565217391,39,28.981354686024133,0.0053405570215545595,0.13693735952703998,0.25977325439453125,68098,0.0078125,82.21826171875,0.3306895920047254,0.5782733332704414,0.6025969058275222,10,20
batch_size,16,64,4,2,128,0.1,0.001,16,75,0.0,0.1,10,5,0.5,True,42,55,55,0.6666666666666666,0.5161290322580644,0.8201581027667985,45,20.304867227969225,0.004952237999532372,0.1100497333229416,0.25977325439453125,68098,0.0,82.21826171875,0.4835825183998949,0.6324525761060389,0.6206676642100016,4,14
