parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb
kernel_length,32,8,2,16,32,0.25,0.001,32,20,0.0,0.5444976126205284,0.09396971145306396,0.445187753001992,0.6912324152083358,9.895892798388862,0.0022058526664531434,0.050937197861782,0.013706207275390625,1602.0,0.014178240740740741,27.07861328125
kernel_length,64,8,2,16,64,0.25,0.001,32,20,0.0,0.5498133875037164,0.10423516548920231,0.38126220393667365,0.6913340824516432,10.777028047472076,0.002310849203813295,0.05303462227901759,0.014682769775390625,1858.0,0.010814525462962963,27.29248046875
kernel_length,128,8,2,16,128,0.25,0.001,32,20,0.0,0.5556173756880406,0.10311574445721944,0.399093103411164,0.6817346917976211,12.642044022064308,0.0027039748149238424,0.062296137547721196,0.016635894775390625,2370.0,0.015299479166666666,27.50927734375
