parameter_name,parameter_value,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,46,46,0.5555555555555556,0.4444444444444444,0.709486166007905
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,47,47,0.5333333333333333,0.43243243243243246,0.5535714285714286
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,48,48,0.5882352941176471,0.46153846153846156,0.9142857142857143
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,49,49,0.7111111111111111,0.7719298245614035,0.9703557312252964
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,50,50,0.5555555555555556,0.5,0.4762845849802372
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,51,51,0.4666666666666667,0.0,0.5059523809523809
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,52,52,0.8048780487804879,0.7647058823529411,0.8373205741626794
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,53,53,0.4883720930232558,0.47619047619047616,0.4956709956709957
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,54,54,0.6666666666666666,0.6829268292682927,0.8043478260869565
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,55,55,0.8888888888888888,0.8837209302325582,0.9446640316205535
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,56,56,0.75,0.7659574468085106,0.8099173553719008
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,57,57,0.6444444444444445,0.6190476190476191,0.6666666666666666
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,58,58,0.6222222222222222,0.6222222222222222,0.6587301587301587
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,59,59,0.5777777777777777,0.17391304347826086,0.4781746031746032
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,60,60,0.7954545454545454,0.7906976744186046,0.896694214876033
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,61,61,0.7674418604651163,0.75,0.8831168831168832
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,62,62,0.5111111111111111,0.0,0.9387351778656127
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,63,63,0.5116279069767442,0.676923076923077,0.4047619047619047
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,64,64,0.6444444444444445,0.6666666666666666,0.66600790513834
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,65,65,0.7111111111111111,0.6486486486486487,0.7123015873015872
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,66,66,0.4666666666666667,0.5384615384615384,0.4743083003952569
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,67,67,0.5333333333333333,0.5531914893617021,0.5355731225296442
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,68,68,0.6444444444444445,0.6363636363636364,0.7411067193675889
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,69,69,0.5333333333333333,0.43243243243243246,0.5873015873015873
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,70,70,0.6444444444444445,0.5555555555555556,0.7944664031620553
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,71,71,0.7555555555555555,0.7027027027027027,0.8893280632411067
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,72,72,0.8888888888888888,0.8979591836734694,0.9861660079051383
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,73,73,0.6222222222222222,0.6046511627906976,0.6719367588932806
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,74,74,0.5555555555555556,0.6428571428571429,0.6547619047619047
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,75,75,0.8536585365853658,0.8421052631578947,0.9047619047619047
