trial_number,fold,subject,epoch,train_loss,val_loss,learning_rate,hidden_size,num_layers,dropout_rate,bidirectional,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
0,1,1,1,0.6937672288128824,0.6932404359181722,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,1,1,2,0.6937664602742051,0.6926033814748128,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,1,1,3,0.6929142452550657,0.6920839508374532,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,1,1,4,0.6919513218330614,0.6913334965705872,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,1,1,5,0.6910834032477755,0.6915642539660136,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,1,1,6,0.6882470227552183,0.6967013597488403,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,1,1,7,0.6872464273915146,0.6974205215771992,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,1,1,8,0.6853989877484061,0.7005278666814169,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,1,1,9,0.680989862391443,0.7079232056935628,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,2,2,1,0.6939952662496855,0.6933965484301249,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,2,2,2,0.6932157476743063,0.6928986152013142,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,2,2,3,0.6929430342984922,0.6930121620496114,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,2,2,4,0.6922342682426627,0.6913380146026611,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,2,2,5,0.6913978023962541,0.693980626265208,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,2,2,6,0.6888920922170986,0.6929735541343689,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,2,2,7,0.6873090276212404,0.6967253843943279,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
0,2,2,8,0.6846641071818091,0.6996778964996337,0.0006547741244628184,32,3,0.1,False,32,100,0.0001,0.1,5,3,0.7,False,42
