trial_number,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,1,1,0.5333333333333333,0.39999999999999997,0.5118577075098814,45,7.579770909971558,0.004837894986849278,0.10750877748553953,0.23975372314453125,62850,0.0,216.54248046875,0.6785321628505533,0.691397799686952,0.6914199352264404,4,9
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,2,2,0.5111111111111111,0.3888888888888889,0.533596837944664,45,5.895254169008695,0.004857451014686376,0.10794335588191947,0.23975372314453125,62850,0.0078125,216.54248046875,0.6809756421681606,0.6931365850296888,0.6927337447802225,2,7
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,3,3,0.37777777777777777,0.4814814814814815,0.45849802371541504,45,5.900017432984896,0.004845438001211733,0.10767640002692738,0.23975372314453125,62850,0.02734375,216.54248046875,0.6841373041723714,0.6931652106118925,0.6926655252774556,2,7
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,4,4,0.5555555555555556,0.6153846153846153,0.6264822134387352,45,5.8746997020207345,0.004715043993201107,0.10477875540446904,0.23975372314453125,62850,0.0,216.54248046875,0.6865220413063512,0.693157226750345,0.6922204971313477,2,7
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,5,5,0.5111111111111111,0.6333333333333333,0.42460317460317465,45,10.984305227000732,0.004793337022420019,0.10651860049822263,0.23975372314453125,62850,0.0,216.54248046875,0.6638303977070432,0.6853969751885443,0.6896735032399496,8,13
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,6,6,0.5333333333333333,0.08695652173913042,0.6011904761904762,45,8.449965896026697,0.005012987996451557,0.11139973325447904,0.23975372314453125,62850,0.0,216.54248046875,0.6732381934469397,0.6899018793395071,0.6916730006535848,5,10
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,7,7,0.6,0.5909090909090909,0.6679841897233202,45,6.70894058002159,0.00481903797481209,0.10708973277360201,0.23975372314453125,62850,0.02734375,216.54248046875,0.6850781612323992,0.6929314714489561,0.6926567236582438,3,8
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,8,8,0.4444444444444444,0.19354838709677416,0.47430830039525684,45,10.136007894994691,0.004777832014951855,0.10617404477670789,0.23975372314453125,62850,0.25390625,216.54248046875,0.6637090525843881,0.6868379730166811,0.6910905798276266,7,12
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,9,9,0.4444444444444444,0.4680851063829788,0.44246031746031744,45,8.432539088011254,0.004860663029830903,0.10801473399624228,0.23975372314453125,62850,0.02734375,216.54248046875,0.6725543452934786,0.6890551407228817,0.6916987498601278,5,10
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,10,10,0.4222222222222222,0.48000000000000004,0.31746031746031744,45,7.605312229017727,0.0048888789606280625,0.1086417546806236,0.23975372314453125,62850,0.0,216.54248046875,0.6749849075620825,0.6907978744217844,0.6911884188652039,4,9
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,11,11,0.5111111111111111,0.576923076923077,0.4150197628458498,45,5.876687990035862,0.004710366018116474,0.10467480040258832,0.23975372314453125,62850,0.0,216.54248046875,0.6846614863836404,0.6928685668743018,0.6919880906740824,2,7
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,12,12,0.4444444444444444,0.4444444444444445,0.498015873015873,45,8.421543923032004,0.004725731036160141,0.10501624524800314,0.23975372314453125,62850,0.25390625,216.54248046875,0.6756961210207506,0.6898527867866285,0.6908275206883748,5,10
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,13,13,0.45714285714285713,0.42424242424242425,0.4640522875816993,35,10.956403399002738,0.004829793993849307,0.13799411410998022,0.23975372314453125,62850,0.0,216.54248046875,0.6626443194620537,0.6847090445684664,0.6913313587506612,8,13
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,14,14,0.5555555555555556,0.47368421052631576,0.5494071146245059,45,10.943796387000475,0.004863736976403743,0.10808304392008318,0.23975372314453125,62850,0.00390625,216.54248046875,0.6735962570616694,0.6880697291908842,0.6893720110257466,8,13
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,15,15,0.4444444444444444,0.4186046511627907,0.43478260869565216,45,5.049429003964178,0.004917025973554701,0.10926724385677113,0.23975372314453125,62850,0.0,216.54248046875,0.6858213051702037,0.693966214855512,0.692937974135081,1,6
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,16,16,0.5111111111111111,0.576923076923077,0.5790513833992095,45,9.282866602996364,0.004950130998622626,0.1100029110805028,0.23975372314453125,62850,0.0,216.54248046875,0.6729793331839822,0.6891023182507717,0.690660301844279,6,11
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,17,17,0.5,0.5714285714285714,0.41363636363636364,42,11.841723981953692,0.004918772028759122,0.11711361973236005,0.23975372314453125,62850,0.1953125,216.54248046875,0.6626549927574216,0.6836672967130487,0.6844385107358296,9,14
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,18,18,0.4888888888888889,0.0,0.4505928853754941,45,10.108995778020471,0.0047084110556170344,0.10463135679148966,0.23975372314453125,62850,0.0,216.54248046875,0.6730361626003728,0.6888105950572274,0.6893298625946045,7,12
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,19,19,0.4888888888888889,0.3783783783783784,0.5138339920948617,45,6.732357404951472,0.004863318055868149,0.10807373457484774,0.23975372314453125,62850,0.02734375,216.54248046875,0.6804888767726494,0.69254208965735,0.6909075339635213,3,8
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,20,20,0.5111111111111111,0.0,0.5098814229249011,45,7.565307595010381,0.004701287019997835,0.1044730448888408,0.23975372314453125,62850,0.0,216.54248046875,0.6805356339071736,0.6919729596737659,0.6928921699523926,4,9
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,21,21,0.5333333333333333,0.16,0.48611111111111105,45,5.0403770570410416,0.004755763045977801,0.10568362324395113,0.23975372314453125,62850,0.02734375,216.54248046875,0.688805517373663,0.693701146678491,0.6934349616368611,1,6
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,22,22,0.5555555555555556,0.6428571428571429,0.5059288537549407,45,9.294428749009967,0.004903128021396697,0.10895840047548215,0.23975372314453125,62850,0.0,216.54248046875,0.6684499098496004,0.6882368217815052,0.6867350141207377,6,11
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,23,23,0.5909090909090909,0.6086956521739131,0.5888429752066116,44,10.929114695987664,0.004909832030534744,0.11158709160306238,0.23975372314453125,62850,0.0,216.54248046875,0.6709773703054949,0.6885207471522418,0.6902830600738525,8,13
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,24,24,0.4444444444444444,0.28571428571428575,0.38961038961038963,18,7.629482880991418,0.0024513539974577725,0.13618633319209847,0.23975372314453125,62850,0.23828125,216.54248046875,0.6777598037755579,0.6914044815794866,0.6907636523246765,4,9
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,25,25,0.5777777777777777,0.6545454545454547,0.541501976284585,45,9.267868801951408,0.004764213983435184,0.1058714218541152,0.23975372314453125,62850,0.02734375,216.54248046875,0.6757139554529479,0.6893927486556949,0.6892247279485066,6,11
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,26,26,0.4666666666666667,0.5862068965517242,0.511904761904762,45,6.71799151605228,0.004734251007903367,0.10520557795340817,0.23975372314453125,62850,0.0,216.54248046875,0.6834323388157468,0.6927696845748208,0.6924572706222534,3,8
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,27,27,0.4888888888888889,0.6567164179104478,0.41699604743083,45,5.041759076004382,0.004915628989692777,0.1092361997709506,0.23975372314453125,62850,0.0,216.54248046875,0.6829549895994591,0.6933995891701091,0.6929547111193339,1,6
