rank,trial_number,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
11,10,16,3,0.1,True,0.0010539411997460453,32,100,0.0001,0.1,5,3,0.7,False,42,0.5087107490003151,0.07330736331169481,0.4643779160386855,0.5170657445757603,7.723412893917326,0.004859287503576424,0.111857486997487,0.06519317626953125,17090.0,0.09436487268518519,144.6376953125,0.6783632451420932,0.6917294009968087,4.351851851851852,9.351851851851851
12,15,16,3,0.1,True,0.0008669405753028561,32,100,0.0001,0.1,5,3,0.7,False,42,0.5085706911939303,0.06261192978773021,0.468941413990513,0.5142794348207368,8.182928380234106,0.004857313486152432,0.11175353270415919,0.06519317626953125,17090.0,0.07288049768518519,144.6376953125,0.6781230349789263,0.6914690656794442,4.898148148148148,9.898148148148149
13,19,32,3,0.1,True,0.0012904675718232001,32,100,0.0001,0.1,5,3,0.7,False,42,0.5071092990576829,0.07028177617148494,0.49370790788946056,0.513590514724361,8.017225061479689,0.00478041321103875,0.10999144745520094,0.23975372314453125,62850.0,0.08275462962962964,216.54248046875,0.6752887717653415,0.6913672482525862,4.518518518518518,9.518518518518519
14,3,32,1,0.5,True,0.0019931864431266518,32,100,0.0001,0.1,5,3,0.7,False,42,0.5069593826949975,0.07326358239378458,0.45059525734274797,0.5109024855152791,3.2154505985661808,0.002434002936718537,0.05601994723342999,0.04834747314453125,12674.0,0.1400824652777778,135.18310546875,0.6799950700338724,0.6927620339908717,3.7222222222222223,8.722222222222221
15,1,32,1,0.5,True,0.0007230411333428739,32,100,0.0001,0.1,5,3,0.7,False,42,0.50614610137417,0.07995943652225705,0.434434630570752,0.5003414351679624,3.954822767705924,0.0024236068700836905,0.05580614257178027,0.04834747314453125,12674.0,0.19921875,135.18310546875,0.6822233223920783,0.6921060447339659,5.777777777777778,10.777777777777779
16,25,32,3,0.1,True,0.0009421662532196049,32,100,0.0001,0.1,5,3,0.7,False,42,0.5053888631290874,0.06389807619448475,0.4654311466548706,0.5154234658190793,8.058677099686637,0.004780839599940616,0.11000378321343865,0.23975372314453125,62850.0,0.06430844907407407,216.54248046875,0.6751998174625083,0.6912470009591843,4.564814814814815,9.564814814814815
17,14,32,3,0.1,True,0.001006083003488343,32,100,0.0001,0.1,5,3,0.7,False,42,0.5052721083640338,0.06998513604215717,0.4684779131110935,0.5154351639306013,8.283168798290987,0.004778061346129376,0.10991701074840661,0.23975372314453125,62850.0,0.07978877314814815,216.54248046875,0.6743588099360701,0.6914125634564293,4.833333333333333,9.833333333333334
18,7,16,1,0.5,False,0.0006294913806653843,32,100,0.0001,0.1,5,3,0.7,False,42,0.5051590113955476,0.06977133697390185,0.42739135782886134,0.5084771106251359,2.9223313357587255,0.0018025773628054325,0.041499194529143114,0.00818634033203125,2146.0,0.015480324074074073,62.1396484375,0.6887697217600562,0.6927264068229697,7.157407407407407,12.157407407407407
19,27,32,3,0.1,False,0.0010750953960379308,32,100,0.0001,0.1,5,3,0.7,False,42,0.5048811314914144,0.07137605950860168,0.4596243996307834,0.5219632335334399,5.473603496555437,0.002971281147674071,0.06835567367338087,0.08863067626953125,23234.0,0.05953414351851852,111.49365234375,0.6759239910377209,0.6911222812570172,5.157407407407407,10.157407407407407
20,0,32,3,0.1,False,0.0006547741244628184,32,100,0.0001,0.1,5,3,0.7,False,42,0.5046942969588761,0.0704694312852075,0.4506794482941288,0.5154057565915665,5.746062321331852,0.0029857516314627398,0.06870094247758457,0.08863067626953125,23234.0,2.482204861111111,111.49365234375,0.6765927750930276,0.6909430405607928,5.675925925925926,10.675925925925926
21,20,16,3,0.1,True,0.0008656215523304249,32,100,0.0001,0.1,5,3,0.7,False,42,0.5034220363626646,0.06927826706215413,0.4864354575934222,0.5101598527426325,8.189633780371407,0.00485899020255871,0.11180638269226131,0.06519317626953125,17090.0,0.0830078125,144.6376953125,0.6787505458397248,0.6915196805456538,4.907407407407407,9.907407407407407
22,29,32,3,0.1,False,0.0014077255869947639,32,100,0.0001,0.1,5,3,0.7,False,42,0.5026683282123722,0.05987937248022302,0.4621288926368836,0.5184617642163437,5.3241889158779045,0.002976061376911174,0.06848719591769609,0.08863067626953125,23234.0,0.07414641203703703,111.49365234375,0.6762332677738139,0.6911559169675099,4.888888888888889,9.88888888888889
23,2,32,1,0.1,False,0.0016654031129519004,32,100,0.0001,0.1,5,3,0.7,False,42,0.5020433820651674,0.07445570997246446,0.44689580384655125,0.5072668640549284,1.7908112961773037,0.0017720587590398889,0.04078779101260786,0.02417755126953125,6338.0,0.11646412037037036,92.056640625,0.6719690822643463,0.6926840244987865,2.5925925925925926,7.592592592592593
24,12,16,3,0.5,True,0.0005101993576450564,32,100,0.0001,0.1,5,3,0.7,False,42,0.5019386668671258,0.06581648048713679,0.4264072959631248,0.514153964984188,10.682523890221663,0.004879431029958478,0.11230092524929682,0.06519317626953125,17090.0,0.07139756944444445,144.6376953125,0.6874017576079587,0.69185556559651,7.87962962962963,12.87962962962963
25,11,16,3,0.5,True,0.0009888911621806222,32,100,0.0001,0.1,5,3,0.7,False,42,0.5008819038019575,0.06155403494207717,0.48339621121001275,0.507314691592957,9.56196524121764,0.004873586313031545,0.11215760093492946,0.06519317626953125,17090.0,0.09302662037037036,144.6376953125,0.6837015015430402,0.6916055034708094,6.527777777777778,11.527777777777779
26,16,32,3,0.1,True,0.0012064160120801018,32,100,0.0001,0.1,5,3,0.7,False,42,0.499957603333623,0.0629601724536854,0.4535040197445288,0.5118901295536586,8.019886572573645,0.004775743535396436,0.10985792219897099,0.23975372314453125,62850.0,0.06929976851851852,216.54248046875,0.6754091958884431,0.6915434264474446,4.527777777777778,9.527777777777779
27,17,16,3,0.1,True,0.0012567412417792661,32,100,0.0001,0.1,5,3,0.7,False,42,0.4989405278171641,0.06845120826836434,0.4654632699859084,0.5053857052043157,7.644405463100863,0.004852681015984638,0.11172088249792429,0.06519317626953125,17090.0,0.06854021990740741,144.6376953125,0.6778208094212766,0.6919809503319821,4.2592592592592595,9.25925925925926
28,8,16,1,0.1,False,0.000667852899064315,32,100,0.0001,0.1,5,3,0.7,False,42,0.4975949863921373,0.08276400957158697,0.44083788718774664,0.4997722469762472,2.4867261706455825,0.0018068734945565531,0.041572469937715115,0.00818634033203125,2146.0,0.03074363425925926,62.1396484375,0.6838980106556389,0.6927307407061258,5.555555555555555,10.555555555555555
29,4,16,1,0.5,True,0.0016802666954548154,32,100,0.0001,0.1,5,3,0.7,False,42,0.49623390272021045,0.07247382575082688,0.44231772122336493,0.5063878039087935,3.123633260966421,0.002485156424679897,0.05721746192642893,0.01636505126953125,4290.0,0.11997251157407407,88.0244140625,0.6851402336240158,0.6926938464612136,3.9814814814814814,8.981481481481481
30,22,32,1,0.5,True,0.0005809754408710999,32,100,0.0001,0.1,5,3,0.7,False,42,0.49412576715778445,0.0824675371069639,0.4016375859476681,0.5045626388365353,4.352792943141173,0.002436030230321059,0.056066457116635784,0.04834747314453125,12674.0,0.08543113425925926,135.18310546875,0.6831560874986056,0.6923431899444558,6.842592592592593,11.842592592592593
