parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2,kernel_length,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
epochs,50,2,2,2,0.6786311900976932,0.6581690986951192,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,3,0.6530802895625433,0.6277891953786214,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,4,0.6383980426824454,0.6118975122769673,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,5,0.6307031602570505,0.6225806554158528,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,6,0.6215868867707975,0.5901304523150126,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,7,0.6205103555412004,0.5944151779015859,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,8,0.6171209446408532,0.5929111659526825,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,9,0.613777667509787,0.584698615471522,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,10,0.6058175961176554,0.5901930073897044,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,11,0.602741418462811,0.5781222760677338,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,12,0.5934969170978575,0.5756173074245453,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,13,0.6034678534576388,0.5792601148287455,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,14,0.6039952592867793,0.578167724609375,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,15,0.593458712552533,0.5690840045611064,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,16,0.5947113064202395,0.5735434293746948,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,17,0.5968706476869006,0.5771629850069682,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,18,0.590736829421737,0.5749826788902282,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,19,0.5815458006479524,0.6106625437736511,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,20,0.5857131363767566,0.571973850329717,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,21,0.5826866340005037,0.5745919446150461,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,22,0.5811745565045964,0.5711327215035756,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,23,0.5787003365429965,0.5755076726277669,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,24,0.57883173656283,0.5691290279229482,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,25,0.5744179046966813,0.5769400318463643,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,1,0.6992806060747667,0.6845584909121195,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,2,0.6528432667255402,0.6373062650362651,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,3,0.6325639165712126,0.6097351630528768,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,4,0.6252939486593911,0.5982774655024211,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,5,0.6240570391669418,0.5896879673004151,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,6,0.6176362105391242,0.5803996245066325,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,7,0.61355215423938,0.5831768929958343,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,8,0.6065103763883765,0.5846922079722087,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,9,0.5997784126437071,0.579616242647171,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,10,0.5969329327344894,0.5703454653422038,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,11,0.5989219634370371,0.5716380218664805,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,12,0.5957753387364474,0.5765677392482758,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,13,0.591853413392197,0.567945373058319,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,14,0.5902863402258266,0.5716977953910828,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,15,0.5913975241057801,0.5681774477163951,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,16,0.5913333628665317,0.5743444323539734,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,17,0.5794480524279855,0.5696304460366567,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,18,0.5844900578711972,0.5712331493695577,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,19,0.5842181760253329,0.561790386835734,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,20,0.5826178409836509,0.5683459480603535,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,21,0.5846857945575858,0.5765398502349853,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,22,0.5819130090601516,0.5757311602433522,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,23,0.5742461852955095,0.5758155842622121,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,24,0.5724584798921238,0.5642046451568603,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,25,0.564135561160969,0.5678258379300435,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,26,0.5605820180340246,0.5656064788500468,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,27,0.5673949621392019,0.5684313933054607,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,28,0.5646613138643178,0.5692662199338278,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,29,0.560895013764049,0.5637971301873524,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,1,0.7073423885034792,0.6891585111618042,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,2,0.6774844911062357,0.6586205283800761,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,3,0.6579181818347989,0.6343096454938253,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,4,0.6424533891858477,0.6147838354110717,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,5,0.6340126919023918,0.6196353296438853,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,6,0.6257529118747422,0.6029398997624715,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,7,0.6215308331178896,0.6016264617443084,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,8,0.6113587134715283,0.5871083716551463,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,9,0.6107456706690065,0.586505122979482,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,10,0.60912733841123,0.5853683710098266,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,11,0.6064522668267741,0.5770317812760671,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,12,0.6015679694034837,0.5768769105275472,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,13,0.6004672795534134,0.5867242634296417,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,14,0.5962989323518493,0.5730987211068471,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,15,0.5979454944079573,0.5785143792629241,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,16,0.5948523337190802,0.583846926689148,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,17,0.5898762966195742,0.5878111799558003,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,18,0.5899870115699191,0.5765047490596771,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
