parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,d_model,nhead,num_layers,dim_feedforward,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
early_stopping_patience,5,1,1,1,0.6923262829130347,0.6634857376416524,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,1,1,2,0.664798277797121,0.6244974096616109,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,1,1,3,0.6434177133170041,0.5933204074700673,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,1,1,4,0.6310717332543749,0.577151374022166,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,1,1,5,0.6192308445319985,0.6083745936552684,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,1,1,6,0.6124356120373263,0.5676061491171519,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,1,1,7,0.603725376905817,0.5976123134295146,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,1,1,8,0.6015579045721979,0.5827952822049459,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,1,1,9,0.5842201752644597,0.5810866395632426,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,1,1,10,0.5755071732582469,0.5781879107157389,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,1,1,11,0.5628966056939327,0.6273441175619762,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,1,0.6905910178567424,0.6566559235254924,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,2,0.6597066291353919,0.6113096038500468,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,3,0.649825259817369,0.6184310098489125,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,4,0.6424686791318835,0.5983800133069356,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,5,0.6271781898809202,0.5923439800739289,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,6,0.6306809092109854,0.600456589460373,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,7,0.6190058672518441,0.5769741197427114,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,8,0.6105895326896147,0.5690172612667084,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,9,0.5996977510777387,0.5987803399562835,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,10,0.5996015168952219,0.5862101078033447,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,11,0.5783713773796053,0.6071899970372517,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,12,0.5676509020003405,0.6325613558292389,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,2,2,13,0.5651854362451669,0.6066416939099629,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,1,0.6932607965938973,0.6592781782150269,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,2,0.6618034081025557,0.6585540572802225,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,3,0.6383533161697965,0.605525145928065,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,4,0.6391841985962607,0.6207603772481283,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,5,0.6187741808367498,0.6465778628985087,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,6,0.6095293419379176,0.581439059972763,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,7,0.602338433265686,0.5796217044194539,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,8,0.5959057546023167,0.5795955240726471,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,9,0.5852586929545258,0.5911373019218444,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,10,0.5754820835409742,0.6030571202437083,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,11,0.5570125981713786,0.6005812307198842,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,12,0.5471329045566645,0.6145589590072632,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,3,3,13,0.5299035893245176,0.6087388336658478,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,4,4,1,0.6968276554887946,0.6604289809862772,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,4,4,2,0.6708129414103248,0.6252668420473735,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,4,4,3,0.6507434429544391,0.6035614987214406,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
early_stopping_patience,5,4,4,4,0.6247983543258725,0.6151201943556468,0.001,64,4,2,128,0.1,32,75,0.0,0.1,5,5,0.5,True,42
