trial_number,kernel,C,gamma,degree,coef0,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,1,1,0.7555555555555555,0.7441860465116279,0.8498023715415021,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,2,2,0.5777777777777777,0.24,0.8715415019762847,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,3,3,0.5333333333333333,0.36363636363636365,0.48616600790513836,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,4,4,0.5333333333333333,0.676923076923077,0.7845849802371543,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,5,5,0.4,0.5423728813559322,0.3531746031746032,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,6,6,0.5333333333333333,0.0,0.46825396825396826,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,7,7,0.6222222222222222,0.7213114754098361,0.974308300395257,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,8,8,0.6222222222222222,0.5405405405405406,0.7292490118577075,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,9,9,0.5555555555555556,0.4117647058823529,0.5496031746031745,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,10,10,0.6222222222222222,0.6046511627906976,0.6904761904761905,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,11,11,0.4666666666666667,0.3333333333333333,0.46047430830039526,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,12,12,0.5555555555555556,0.4117647058823529,0.6865079365079365,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,13,13,0.7714285714285715,0.7333333333333333,0.869281045751634,35
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,14,14,0.7111111111111111,0.6666666666666666,0.8181818181818181,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,15,15,0.6666666666666666,0.7457627118644068,0.9486166007905138,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,16,16,0.6222222222222222,0.6792452830188679,0.7707509881422925,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,17,17,0.5238095238095238,0.0,0.5704545454545454,42
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,18,18,0.4888888888888889,0.5818181818181818,0.44861660079051385,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,19,19,0.6888888888888889,0.7307692307692307,0.8260869565217391,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,20,20,0.5111111111111111,0.0,0.5612648221343873,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,21,21,0.6222222222222222,0.6222222222222222,0.7182539682539681,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,22,22,0.5777777777777777,0.7076923076923077,0.7015810276679841,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,23,23,0.7045454545454546,0.7636363636363637,0.8512396694214877,44
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,24,24,0.4444444444444444,0.16666666666666666,0.4545454545454546,18
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,25,25,0.8,0.7906976744186046,0.7984189723320159,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,26,26,0.7777777777777778,0.7916666666666666,0.7380952380952379,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,27,27,0.5555555555555556,0.6551724137931034,0.5948616600790514,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,28,28,0.5111111111111111,0.3888888888888889,0.5849802371541503,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,29,29,0.8,0.8301886792452831,0.9980237154150198,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,30,30,0.4888888888888889,0.0,0.5634920634920635,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,31,31,0.8888888888888888,0.8837209302325582,0.9723320158102766,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,32,32,0.8409090909090909,0.8679245283018868,0.9399585921325051,44
