rank,parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
1,early_stopping_patience,5,64,2,0.3,False,0.001,32,75,0.0,0.1,5,5,0.5,True,42,0.5136666680550118,0.07029233202819189,0.49784910422842726,0.5109153085306104,6.006629572357741,0.004052983297798265,0.09294102032906991,0.20655059814453125,54146.0,0.0014105902777777778,171.98828125,0.6687485039969204,0.6913324001762602,3.324074074074074,8.324074074074074
2,early_stopping_patience,10,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.5048969063616267,0.07400426171112577,0.47329626570082695,0.5108982760188739,9.908119014749968,0.004337530990057901,0.09962340542107258,0.20655059814453125,54146.0,0.0009765625,171.98828125,0.6147916559267329,0.6915098884223418,3.2777777777777777,13.277777777777779
3,early_stopping_patience,15,64,2,0.3,False,0.001,32,75,0.0,0.1,15,5,0.5,True,42,0.5027473608176506,0.06769242669629695,0.4791134629238763,0.5111403048475783,13.422995099035756,0.004207174988416092,0.09673162636219285,0.20655059814453125,54146.0,0.0008318865740740741,171.98828125,0.566605677596036,0.6916676367874499,2.962962962962963,17.962962962962962
