parameter_name,parameter_value,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7777777777777778,0.7727272727272727,0.7786561264822135,45,5.97403712477535,0.004503218922764063,0.10007153161697917,0.10422515869140625,27322,0.0078125,130.494140625,0.4066406227648258,0.573609919936368,0.5507585922876994,6,16
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.8666666666666667,0.85,0.9446640316205535,45,6.51923386240378,0.005285054910928011,0.11744566468728913,0.10422515869140625,27322,0.0,130.494140625,0.42361601690451306,0.5791395286267454,0.5542478183905284,5,15
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4222222222222222,0.23529411764705882,0.41897233201581024,45,7.413739089854062,0.001646620687097311,0.03659157082438469,0.10422515869140625,27322,0.0,130.494140625,0.4132774464334502,0.5590647161006927,0.5420017341772715,5,15
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5333333333333333,0.676923076923077,0.7035573122529645,45,6.481297402642667,0.001673160120844841,0.03718133601877424,0.10422515869140625,27322,0.0,130.494140625,0.38566474853591487,0.5376242848508286,0.5537114938100179,7,17
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.5777777777777777,0.6415094339622641,0.5178571428571429,45,6.004398551303893,0.003583196084946394,0.07962657966547543,0.10422515869140625,27322,0.0,130.494140625,0.4287290085445751,0.5760565237565474,0.5822345177332561,5,15
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4222222222222222,0.1875,0.49404761904761896,45,6.2342404359951615,0.0019500050693750381,0.04333344598611196,0.10422515869140625,27322,0.0,130.494140625,0.39633326638828625,0.5768367885188623,0.5621517062187195,5,15
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.8888888888888888,0.8888888888888888,0.9782608695652173,45,7.186709553934634,0.006013932172209024,0.13364293716020054,0.10422515869140625,27322,0.0,130.494140625,0.4336085972009283,0.5824923418236502,0.5628517349561055,4,14
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.7333333333333333,0.7692307692307693,0.8359683794466403,45,7.304816174320877,0.0016685896553099155,0.03707977011799812,0.10422515869140625,27322,0.0,130.494140625,0.42251843496253993,0.5795905646501165,0.5770838022232055,6,16
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6888888888888889,0.631578947368421,0.6686507936507937,45,7.197909273207188,0.0014699329622089863,0.03266517693797747,0.10422515869140625,27322,0.0,130.494140625,0.4222395278964982,0.5444045705777226,0.5890659173329671,6,16
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.5777777777777777,0.6274509803921569,0.7261904761904762,45,5.9466513665392995,0.004033688455820084,0.08963752124044631,0.10422515869140625,27322,0.0,130.494140625,0.4057868550898451,0.5575755098552415,0.5687695940335592,6,16
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,11,11,0.4888888888888889,0.41025641025641024,0.5790513833992095,45,6.561110140290111,0.0015020533464848995,0.03337896325521999,0.10422515869140625,27322,0.0,130.494140625,0.4183927241599921,0.5964972060738187,0.5400784413019816,5,15
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,12,12,0.7333333333333333,0.7272727272727273,0.8333333333333334,45,4.670362419914454,0.001511573325842619,0.033590518352058195,0.10422515869140625,27322,0.0,130.494140625,0.4421359776999011,0.6354406238956885,0.5724115947882334,2,12
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,13,13,0.6857142857142857,0.717948717948718,0.7777777777777778,35,4.613035689108074,0.0032844310626387596,0.09384088750396456,0.10422515869140625,27322,0.0,130.494140625,0.44502487044894334,0.6182794279672883,0.5819232960542043,3,13
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,14,14,0.6444444444444445,0.6666666666666666,0.7272727272727273,45,5.242430304177105,0.0014136936515569687,0.031415414479043745,0.10422515869140625,27322,0.0,130.494140625,0.42481464463652985,0.5769253425074347,0.5657697935899099,5,15
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,15,15,0.6666666666666666,0.7457627118644068,0.9110671936758894,45,5.440235043875873,0.001437454018741846,0.03194342263870769,0.10422515869140625,27322,0.0,130.494140625,0.423817559963826,0.6103585111823949,0.5588412900765737,4,14
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,16,16,0.7333333333333333,0.7142857142857143,0.7865612648221344,45,8.007949457038194,0.0014146841131150723,0.03143742473589049,0.10422515869140625,27322,0.0,130.494140625,0.3709049051006635,0.505091619310957,0.5970988631248474,10,20
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,17,17,0.6190476190476191,0.38461538461538464,0.6159090909090909,42,5.6215660301968455,0.005701717920601368,0.13575518858574687,0.10422515869140625,27322,0.0,130.494140625,0.42575203164508846,0.6118810481645844,0.5919739007949829,3,13
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,18,18,0.5111111111111111,0.3888888888888889,0.650197628458498,45,10.20744057558477,0.004577998071908951,0.10173329048686557,0.10422515869140625,27322,0.0,130.494140625,0.36567016239419126,0.4544949713304187,0.6002242128054301,10,20
