rank,parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
1,weight_decay,0.001,64,4,2,128,0.1,0.001,32,75,0.001,0.1,10,5,0.5,True,42,0.6430645477845789,0.11520783748878265,0.6259469180233737,0.7270883432210871,44.055114940348346,0.004743709807775708,0.1087634595888835,0.25977325439453125,68098.0,0.0033275462962962963,146.09326171875,0.5803066745585305,0.6036642073665135,23.425925925925927,33.26851851851852
2,weight_decay,0.0,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.642865360750981,0.12215262667343797,0.613793629607399,0.7153652586025436,22.746316840759526,0.004707415119305046,0.10781241864525433,0.25977325439453125,68098.0,0.003436053240740741,146.09326171875,0.4192165787000053,0.6113189969165825,7.212962962962963,17.212962962962962
3,weight_decay,0.0001,64,4,2,128,0.1,0.001,32,75,0.0001,0.1,10,5,0.5,True,42,0.6376929317257987,0.11601989182518611,0.5917072246373004,0.7242762340283311,23.674193410382333,0.004713568455405982,0.10803532313630156,0.25977325439453125,68098.0,0.011574074074074073,146.09326171875,0.4605577194783419,0.609374556938807,7.87037037037037,17.87037037037037
