parameter_name,parameter_value,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc
C,0.1,lwf,riemann,0.1,lbfgs,balanced,48,48,0.5882352941176471,0.46153846153846156,0.9
C,0.1,lwf,riemann,0.1,lbfgs,balanced,49,49,0.7333333333333333,0.7857142857142857,0.9782608695652174
C,0.1,lwf,riemann,0.1,lbfgs,balanced,50,50,0.5555555555555556,0.47368421052631576,0.5079051383399209
C,0.1,lwf,riemann,0.1,lbfgs,balanced,51,51,0.5111111111111111,0.08333333333333333,0.5158730158730158
C,0.1,lwf,riemann,0.1,lbfgs,balanced,52,52,0.7804878048780488,0.7428571428571429,0.8373205741626794
C,0.1,lwf,riemann,0.1,lbfgs,balanced,53,53,0.5348837209302325,0.5833333333333334,0.4913419913419914
C,0.1,lwf,riemann,0.1,lbfgs,balanced,54,54,0.6410256410256411,0.6666666666666666,0.8043478260869565
C,0.1,lwf,riemann,0.1,lbfgs,balanced,55,55,0.9111111111111111,0.9090909090909091,0.9466403162055336
C,0.1,lwf,riemann,0.1,lbfgs,balanced,56,56,0.8409090909090909,0.8627450980392157,0.8243801652892563
C,0.1,lwf,riemann,0.1,lbfgs,balanced,57,57,0.6444444444444445,0.6190476190476191,0.6587301587301587
C,0.1,lwf,riemann,0.1,lbfgs,balanced,58,58,0.6444444444444445,0.6363636363636364,0.6726190476190477
C,0.1,lwf,riemann,0.1,lbfgs,balanced,59,59,0.5555555555555556,0.09090909090909091,0.48214285714285715
C,0.1,lwf,riemann,0.1,lbfgs,balanced,60,60,0.7954545454545454,0.7906976744186046,0.8946280991735537
C,0.1,lwf,riemann,0.1,lbfgs,balanced,61,61,0.7441860465116279,0.717948717948718,0.8874458874458875
C,0.1,lwf,riemann,0.1,lbfgs,balanced,62,62,0.5111111111111111,0.0,0.9426877470355732
C,0.1,lwf,riemann,0.1,lbfgs,balanced,63,63,0.5116279069767442,0.676923076923077,0.42207792207792205
C,0.1,lwf,riemann,0.1,lbfgs,balanced,64,64,0.6222222222222222,0.6530612244897959,0.7015810276679842
C,0.1,lwf,riemann,0.1,lbfgs,balanced,65,65,0.6888888888888889,0.631578947368421,0.7103174603174602
C,0.1,lwf,riemann,0.1,lbfgs,balanced,66,66,0.4444444444444444,0.4897959183673469,0.4624505928853755
C,0.1,lwf,riemann,0.1,lbfgs,balanced,67,67,0.5333333333333333,0.5531914893617021,0.5355731225296443
C,0.1,lwf,riemann,0.1,lbfgs,balanced,68,68,0.6666666666666666,0.6666666666666666,0.7411067193675889
C,0.1,lwf,riemann,0.1,lbfgs,balanced,69,69,0.5111111111111111,0.42105263157894735,0.6011904761904762
C,0.1,lwf,riemann,0.1,lbfgs,balanced,70,70,0.6222222222222222,0.48484848484848486,0.7944664031620554
C,0.1,lwf,riemann,0.1,lbfgs,balanced,71,71,0.7555555555555555,0.7027027027027027,0.891304347826087
C,0.1,lwf,riemann,0.1,lbfgs,balanced,72,72,0.9333333333333333,0.9387755102040817,0.9881422924901185
C,0.1,lwf,riemann,0.1,lbfgs,balanced,73,73,0.5777777777777777,0.6274509803921569,0.6719367588932806
C,0.1,lwf,riemann,0.1,lbfgs,balanced,74,74,0.5555555555555556,0.6428571428571429,0.6587301587301587
C,0.1,lwf,riemann,0.1,lbfgs,balanced,75,75,0.8780487804878049,0.8717948717948718,0.9119047619047619
C,0.1,lwf,riemann,0.1,lbfgs,balanced,76,76,0.4888888888888889,0.6567164179104478,0.5533596837944664
C,0.1,lwf,riemann,0.1,lbfgs,balanced,77,77,0.4888888888888889,0.6229508196721312,0.5357142857142857
C,0.1,lwf,riemann,0.1,lbfgs,balanced,78,78,0.4666666666666667,0.5862068965517241,0.541501976284585
C,0.1,lwf,riemann,0.1,lbfgs,balanced,79,79,0.625,0.6511627906976745,0.645
C,0.1,lwf,riemann,0.1,lbfgs,balanced,80,80,0.5555555555555556,0.4444444444444444,0.6521739130434783
C,0.1,lwf,riemann,0.1,lbfgs,balanced,81,81,0.4888888888888889,0.0,0.7924901185770751
C,0.1,lwf,riemann,0.1,lbfgs,balanced,82,82,0.6888888888888889,0.7407407407407407,0.7747035573122529
C,0.1,lwf,riemann,0.1,lbfgs,balanced,83,83,0.8947368421052632,0.8823529411764706,0.96398891966759
C,0.1,lwf,riemann,0.1,lbfgs,balanced,84,84,0.5681818181818182,0.6122448979591837,0.7184265010351967
C,0.1,lwf,riemann,0.1,lbfgs,balanced,85,85,0.8636363636363636,0.8695652173913043,0.9420289855072465
C,0.1,lwf,riemann,0.1,lbfgs,balanced,86,86,0.8181818181818182,0.8461538461538461,0.89648033126294
C,0.1,lwf,riemann,0.1,lbfgs,balanced,87,87,0.4888888888888889,0.5818181818181818,0.46047430830039526
C,0.1,lwf,riemann,0.1,lbfgs,balanced,88,88,0.5636363636363636,0.3684210526315789,0.5912698412698412
C,0.1,lwf,riemann,0.1,lbfgs,balanced,89,89,0.6222222222222222,0.6222222222222222,0.6626984126984127
C,0.1,lwf,riemann,0.1,lbfgs,balanced,90,90,0.5555555555555556,0.4444444444444444,0.5711462450592886
C,0.1,lwf,riemann,0.1,lbfgs,balanced,91,91,0.5454545454545454,0.6875,0.7913223140495868
C,0.1,lwf,riemann,0.1,lbfgs,balanced,92,92,0.6607142857142857,0.7246376811594203,0.7794871794871795
C,0.1,lwf,riemann,0.1,lbfgs,balanced,93,93,0.8,0.7906976744186046,0.8992094861660079
C,0.1,lwf,riemann,0.1,lbfgs,balanced,94,94,0.75,0.8070175438596491,0.9792960662525879
C,0.1,lwf,riemann,0.1,lbfgs,balanced,95,95,0.6071428571428571,0.5925925925925926,0.6510416666666667
C,0.1,lwf,riemann,0.1,lbfgs,balanced,96,96,0.5,0.46153846153846156,0.5873015873015872
C,0.1,lwf,riemann,0.1,lbfgs,balanced,97,97,0.5454545454545454,0.3333333333333333,0.5805785123966942
C,0.1,lwf,riemann,0.1,lbfgs,balanced,98,98,0.4666666666666667,0.6363636363636364,0.5711462450592886
C,0.1,lwf,riemann,0.1,lbfgs,balanced,99,99,0.4883720930232558,0.15384615384615385,0.6212121212121212
C,0.1,lwf,riemann,0.1,lbfgs,balanced,100,100,0.5277777777777778,0.5405405405405406,0.5555555555555556
C,0.1,lwf,riemann,0.1,lbfgs,balanced,101,101,0.4888888888888889,0.20689655172413793,0.5118577075098815
C,0.1,lwf,riemann,0.1,lbfgs,balanced,102,102,0.8,0.7804878048780488,0.8952569169960475
C,0.1,lwf,riemann,0.1,lbfgs,balanced,103,103,0.6511627906976745,0.7058823529411765,0.7705627705627706
C,0.1,lwf,riemann,0.1,lbfgs,balanced,104,104,0.3953488372093023,0.5357142857142857,0.3917748917748917
C,0.1,lwf,riemann,0.1,lbfgs,balanced,105,105,0.6444444444444445,0.6666666666666666,0.6482213438735178
C,0.1,lwf,riemann,0.1,lbfgs,balanced,106,106,0.6666666666666666,0.6666666666666666,0.7023809523809523
C,0.1,lwf,riemann,0.1,lbfgs,balanced,107,107,0.6666666666666666,0.6511627906976745,0.6904761904761905
C,0.1,lwf,riemann,0.1,lbfgs,balanced,108,108,0.7777777777777778,0.7916666666666666,0.8814229249011857
C,1.0,lwf,riemann,1.0,lbfgs,balanced,1,1,0.7111111111111111,0.6285714285714286,0.8320158102766799
C,1.0,lwf,riemann,1.0,lbfgs,balanced,2,2,0.7777777777777778,0.7058823529411765,0.8932806324110671
C,1.0,lwf,riemann,1.0,lbfgs,balanced,3,3,0.4666666666666667,0.4782608695652174,0.4011857707509881
C,1.0,lwf,riemann,1.0,lbfgs,balanced,4,4,0.5111111111111111,0.65625,0.8359683794466404
C,1.0,lwf,riemann,1.0,lbfgs,balanced,5,5,0.4222222222222222,0.5666666666666667,0.40277777777777785
C,1.0,lwf,riemann,1.0,lbfgs,balanced,6,6,0.5555555555555556,0.23076923076923078,0.501984126984127
C,1.0,lwf,riemann,1.0,lbfgs,balanced,7,7,0.9333333333333333,0.926829268292683,1.0
C,1.0,lwf,riemann,1.0,lbfgs,balanced,8,8,0.6666666666666666,0.6666666666666666,0.7430830039525692
