parameter_name,parameter_value,cov_estimator,ts_metric,C,solver,class_weight,mean_accuracy,std_accuracy,mean_f1,mean_auc
C,0.1,lwf,riemann,0.1,lbfgs,balanced,0.6293599433432056,0.12300088907098689,0.5899069812903532,0.714929783992674
C,1.0,lwf,riemann,1.0,lbfgs,balanced,0.627818010076126,0.11946102466389671,0.5893955164234603,0.7102503441278496
C,10.0,lwf,riemann,10.0,lbfgs,balanced,0.6272792998151935,0.12137234134040337,0.5892014296933523,0.7089945019296012
C,100.0,lwf,riemann,100.0,lbfgs,balanced,0.6266715861583841,0.1210910579396956,0.5886351902479862,0.7092317529030767
