parameter_name,parameter_value,penalty,C,solver,class_weight,l1_ratio,csp_components,fold,subject,accuracy,f1_score,roc_auc
C,0.1,l2,0.1,lbfgs,balanced,,6,1,1,0.7555555555555555,0.7843137254901961,0.8458498023715415
C,0.1,l2,0.1,lbfgs,balanced,,6,2,2,0.7111111111111111,0.5806451612903226,0.875494071146245
C,0.1,l2,0.1,lbfgs,balanced,,6,3,3,0.4666666666666667,0.4782608695652174,0.4387351778656126
C,0.1,l2,0.1,lbfgs,balanced,,6,4,4,0.4888888888888889,0.6567164179104478,0.808300395256917
C,0.1,l2,0.1,lbfgs,balanced,,6,5,5,0.4888888888888889,0.6567164179104478,0.36111111111111116
C,0.1,l2,0.1,lbfgs,balanced,,6,6,6,0.5555555555555556,0.09090909090909091,0.49603174603174605
C,0.1,l2,0.1,lbfgs,balanced,,6,7,7,0.7111111111111111,0.7719298245614035,0.9881422924901186
C,0.1,l2,0.1,lbfgs,balanced,,6,8,8,0.6444444444444445,0.6521739130434783,0.6916996047430831
C,0.1,l2,0.1,lbfgs,balanced,,6,9,9,0.5777777777777777,0.5777777777777777,0.5396825396825398
C,0.1,l2,0.1,lbfgs,balanced,,6,10,10,0.6222222222222222,0.6222222222222222,0.6825396825396826
C,0.1,l2,0.1,lbfgs,balanced,,6,11,11,0.5111111111111111,0.6666666666666666,0.44466403162055335
C,0.1,l2,0.1,lbfgs,balanced,,6,12,12,0.6222222222222222,0.5853658536585366,0.7083333333333334
C,0.1,l2,0.1,lbfgs,balanced,,6,13,13,0.8,0.8108108108108109,0.8856209150326797
C,0.1,l2,0.1,lbfgs,balanced,,6,14,14,0.6666666666666666,0.7457627118644068,0.7845849802371542
C,0.1,l2,0.1,lbfgs,balanced,,6,15,15,0.5555555555555556,0.6875,0.9505928853754941
C,0.1,l2,0.1,lbfgs,balanced,,6,16,16,0.5333333333333333,0.6865671641791045,0.7272727272727273
C,0.1,l2,0.1,lbfgs,balanced,,6,17,17,0.5238095238095238,0.0,0.5909090909090909
C,0.1,l2,0.1,lbfgs,balanced,,6,18,18,0.4888888888888889,0.6461538461538462,0.40513833992094866
C,0.1,l2,0.1,lbfgs,balanced,,6,19,19,0.7111111111111111,0.7719298245614035,0.841897233201581
C,0.1,l2,0.1,lbfgs,balanced,,6,20,20,0.5555555555555556,0.5,0.5790513833992095
C,0.1,l2,0.1,lbfgs,balanced,,6,21,21,0.5555555555555556,0.6296296296296297,0.7222222222222222
C,0.1,l2,0.1,lbfgs,balanced,,6,22,22,0.5111111111111111,0.6764705882352942,0.733201581027668
C,0.1,l2,0.1,lbfgs,balanced,,6,23,23,0.6590909090909091,0.7368421052631579,0.859504132231405
C,0.1,l2,0.1,lbfgs,balanced,,6,24,24,0.5555555555555556,0.42857142857142855,0.6363636363636364
C,0.1,l2,0.1,lbfgs,balanced,,6,25,25,0.6888888888888889,0.72,0.7628458498023716
C,0.1,l2,0.1,lbfgs,balanced,,6,26,26,0.6444444444444445,0.7241379310344828,0.7876984126984126
C,0.1,l2,0.1,lbfgs,balanced,,6,27,27,0.4444444444444444,0.6153846153846154,0.5909090909090909
C,0.1,l2,0.1,lbfgs,balanced,,6,28,28,0.5111111111111111,0.5,0.5573122529644268
C,0.1,l2,0.1,lbfgs,balanced,,6,29,29,0.8,0.8301886792452831,1.0
