parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
depth_multiplier,1,8,1,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,0.6469518578710682,0.13406371776896106,0.6281572718645139,0.7429618404460517,11.191514340138788,0.0014452462179448317,0.033370879672634794,0.00431060791015625,1130.0,7.233796296296296e-05,40.75146484375,0.6145743623803236,,,
depth_multiplier,2,8,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,0.6541080172583617,0.13044643746873988,0.6285903521570774,0.7416055001568902,10.831634975021222,0.0015174119207249195,0.03494645145878807,0.00708770751953125,1858.0,0.0,40.7939453125,0.5985795666083523,,,
depth_multiplier,4,8,4,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,0.6566580649045185,0.13625942523151133,0.632932847038957,0.7449495853614801,8.797944669564323,0.0014497945559452529,0.03336192135111374,0.01410675048828125,3698.0,0.001808449074074074,42.38232421875,0.5786572435781282,,,
