parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7555555555555555,0.7441860465116279,0.8201581027667985,45,7.66461211303249,0.0012449179776012897,0.027664843946695328,0.00708770751953125,1858,0.0,40.7939453125,0.5703444209965792,0.5713908557187427,0.5619265834490458,25,35
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.8444444444444444,0.8205128205128205,0.9367588932806324,45,8.149467963259667,0.0012250766158103943,0.02722392479578654,0.00708770751953125,1858,0.0,40.7939453125,0.5623596028396578,0.5728832677458272,0.5654989957809449,26,36
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4222222222222222,0.43478260869565216,0.3557312252964427,45,7.505698954220861,0.0013017957098782063,0.028928793552849028,0.00708770751953125,1858,0.0,40.7939453125,0.5684123594652523,0.5790295063546209,0.5662413756052653,25,35
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.4888888888888889,0.6567164179104478,0.7707509881422925,45,8.081819869112223,0.0011786282993853092,0.026191739986340206,0.00708770751953125,1858,0.0,40.7939453125,0.5585158747253995,0.5658546496521343,0.5581754386425019,28,38
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.5333333333333333,0.6181818181818182,0.5178571428571429,45,8.707447126042098,0.0011896179057657719,0.0264359534614616,0.00708770751953125,1858,0.0,40.7939453125,0.563187323736422,0.5662170136065194,0.5800035019715627,28,38
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4444444444444444,0.24242424242424243,0.5,45,5.002476056106389,0.0011772988364100456,0.02616219636466768,0.00708770751953125,1858,0.0,40.7939453125,0.5727718007383924,0.5958778458562765,0.5807076116402944,12,22
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.9555555555555556,0.9545454545454546,0.9881422924901185,45,7.271260513924062,0.001209548208862543,0.02687884908583429,0.00708770751953125,1858,0.0,40.7939453125,0.5699152041113738,0.5832094143737446,0.5585336049397787,28,38
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.7333333333333333,0.75,0.8221343873517787,45,8.988227636087686,0.001207378227263689,0.026830627272526424,0.00708770751953125,1858,0.0,40.7939453125,0.5584770727789763,0.5706100059729634,0.5804815391699473,31,41
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6,0.5263157894736842,0.611111111111111,45,8.807554872240871,0.0012422576546669006,0.02760572565926446,0.00708770751953125,1858,0.0,40.7939453125,0.5557276760086869,0.568349303169684,0.587443341811498,25,35
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6222222222222222,0.6666666666666666,0.7361111111111112,45,4.952788188122213,0.0012214877642691135,0.027144172539313633,0.00708770751953125,1858,0.0,40.7939453125,0.5833344466306947,0.6046325693076308,0.5892148594061534,9,19
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,11,11,0.5333333333333333,0.5531914893617021,0.5355731225296443,45,9.024018236901611,0.0012557883746922016,0.027906408326493368,0.00708770751953125,1858,0.0,40.7939453125,0.5640457518624536,0.5776282612121466,0.5611976285775503,26,36
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,12,12,0.7111111111111111,0.7719298245614035,0.8492063492063492,45,4.306649900972843,0.001211737748235464,0.026927505516343646,0.00708770751953125,1858,0.0,40.7939453125,0.5764820532816829,0.5973425202748992,0.5927519698937734,10,20
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,13,13,0.6,0.65,0.7647058823529411,35,3.428915994707495,0.0012005479075014591,0.03430136878575598,0.00708770751953125,1858,0.0,40.7939453125,0.5940293105262698,0.6181439206455693,0.6140789071718852,7,17
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,14,14,0.6444444444444445,0.7142857142857143,0.7865612648221344,45,6.914374964311719,0.0011994577944278717,0.026654617653952706,0.00708770751953125,1858,0.0,40.7939453125,0.5616357839017203,0.5800053423101251,0.5765982309977213,24,34
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,15,15,0.7555555555555555,0.8,0.932806324110672,45,7.069272066000849,0.0012021088041365147,0.02671352898081144,0.00708770751953125,1858,0.0,40.7939453125,0.5676910734989427,0.575937614522197,0.5791299223899842,19,29
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,16,16,0.7555555555555555,0.7843137254901961,0.7134387351778656,45,9.791602280922234,0.0012173578143119812,0.02705239587359958,0.00708770751953125,1858,0.0,40.7939453125,0.5668352894259222,0.5747064327200254,0.5833734969298044,31,41
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,17,17,0.5238095238095238,0.23076923076923078,0.6272727272727273,42,6.812934713438153,0.0012352168560028076,0.029409925142923992,0.00708770751953125,1858,0.0,40.7939453125,0.5589457258130565,0.5754835817849997,0.5988544046878814,20,30
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,18,18,0.4666666666666667,0.42857142857142855,0.4762845849802371,45,7.755539884790778,0.001196008175611496,0.02657795945803324,0.00708770751953125,1858,0.0,40.7939453125,0.5612298694975448,0.5787933830058936,0.5686462799708049,22,32
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,19,19,0.6222222222222222,0.6909090909090909,0.8201581027667983,45,7.858257072046399,0.0012188181281089783,0.02708484729131063,0.00708770751953125,1858,0.0,40.7939453125,0.5586407568418619,0.5717282191370473,0.5615207036336263,24,34
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,20,20,0.5111111111111111,0.6206896551724138,0.575098814229249,45,7.27642697095871,0.001207907684147358,0.0268423929810524,0.00708770751953125,1858,0.0,40.7939453125,0.5674551784089117,0.5804250515771635,0.5695172250270844,20,30
