rank,parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
1,lr_scheduler_factor,0.7,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.7,True,42,0.6404255894577032,0.11884327122167732,0.6166382924305465,0.7232598788763508,15.298593145231953,0.003571219937940542,0.08187455010539688,0.25977325439453125,68098.0,0.019386574074074073,146.09326171875,0.42641465644712895,0.6112576268521356,7.444444444444445,17.444444444444443
2,lr_scheduler_factor,0.5,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.635393330047923,0.12236747667821206,0.6086267504128957,0.7199214404584292,15.214222675858764,0.0035739769685918603,0.08195276953133686,0.25977325439453125,68098.0,0.00784866898148148,146.09326171875,0.41727554697433544,0.6121497292209556,7.351851851851852,17.35185185185185
3,lr_scheduler_factor,0.3,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.3,True,42,0.6339540533826538,0.10949390616880256,0.6057748264326698,0.7107366031112138,15.097690748815593,0.003631623802465145,0.08335998526925772,0.25977325439453125,68098.0,2.388888888888889,146.09326171875,0.4097350919346611,0.6108972057148262,7.203703703703703,17.203703703703702
