rank,parameter_name,parameter_value,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
1,lr_scheduler_factor,0.7,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.7,True,42,0.6528967069603397,0.13315909142568363,0.6415173758399123,0.7361266816099608,10.37010055722257,0.0018957330628634533,0.04359360115396943,0.00708770751953125,1858.0,0.005533854166666667,24.5439453125,0.5675163941538455,0.5944566780218371,20.27777777777778,30.12037037037037
2,lr_scheduler_factor,0.5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,0.6516286090327092,0.1284886303952371,0.6255283390642854,0.7388879794655316,11.230203906375984,0.001845630517992605,0.0424082223167725,0.00708770751953125,1858.0,0.007197627314814815,24.5439453125,0.5648969486968475,0.5945476727353202,22.75925925925926,32.44444444444444
3,lr_scheduler_factor,0.3,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.3,True,42,0.6491011481995687,0.12974940802374985,0.6209798835544841,0.7383759260501415,10.72941622096308,0.0020597299342086815,0.04784075225639613,0.00708770751953125,1858.0,4.743561921296297,24.5439453125,0.5673067543206757,0.5948359156832282,21.35185185185185,31.22222222222222
