parameter_name,parameter_value,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
min_samples_leaf,1,gini,5,10,1,balanced,6,0.5621860408034428,0.09338207491555685,0.40333965386156834,0.5851969491228425
min_samples_leaf,2,gini,5,10,2,balanced,6,0.5624980691327126,0.09328628718434218,0.4042391161733925,0.5868573738792229
min_samples_leaf,5,gini,5,10,5,balanced,6,0.5657964191444042,0.09372279837066252,0.40755055439161714,0.5880229965856175
min_samples_leaf,10,gini,5,10,10,balanced,6,0.5641061575444164,0.09364514345628615,0.4071206506113208,0.5853153084870223
