parameter_name,parameter_value,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
min_samples_leaf,1,gini,5,10,1,balanced,6,1,1,0.5333333333333333,0.6557377049180327,0.525691699604743
min_samples_leaf,1,gini,5,10,1,balanced,6,2,2,0.8,0.7804878048780488,0.825098814229249
min_samples_leaf,1,gini,5,10,1,balanced,6,3,3,0.4888888888888889,0.5964912280701754,0.4901185770750988
min_samples_leaf,1,gini,5,10,1,balanced,6,4,4,0.5111111111111111,0.0,0.5
min_samples_leaf,1,gini,5,10,1,balanced,6,5,5,0.4444444444444444,0.13793103448275862,0.47023809523809523
min_samples_leaf,1,gini,5,10,1,balanced,6,6,6,0.5111111111111111,0.15384615384615385,0.5
min_samples_leaf,1,gini,5,10,1,balanced,6,7,7,0.6888888888888889,0.5625,0.6837944664031622
min_samples_leaf,1,gini,5,10,1,balanced,6,8,8,0.5333333333333333,0.16,0.5434782608695652
min_samples_leaf,1,gini,5,10,1,balanced,6,9,9,0.5555555555555556,0.5238095238095238,0.5535714285714285
min_samples_leaf,1,gini,5,10,1,balanced,6,10,10,0.5333333333333333,0.5531914893617021,0.6071428571428571
min_samples_leaf,1,gini,5,10,1,balanced,6,11,11,0.5111111111111111,0.0,0.5
min_samples_leaf,1,gini,5,10,1,balanced,6,12,12,0.4888888888888889,0.08,0.5208333333333334
min_samples_leaf,1,gini,5,10,1,balanced,6,13,13,0.6857142857142857,0.6666666666666666,0.7581699346405228
min_samples_leaf,1,gini,5,10,1,balanced,6,14,14,0.5777777777777777,0.7076923076923077,0.5869565217391304
min_samples_leaf,1,gini,5,10,1,balanced,6,15,15,0.6444444444444445,0.7241379310344828,0.825098814229249
min_samples_leaf,1,gini,5,10,1,balanced,6,16,16,0.4666666666666667,0.14285714285714285,0.475296442687747
min_samples_leaf,1,gini,5,10,1,balanced,6,17,17,0.5238095238095238,0.0,0.5647727272727272
min_samples_leaf,1,gini,5,10,1,balanced,6,18,18,0.4888888888888889,0.0,0.5
min_samples_leaf,1,gini,5,10,1,balanced,6,19,19,0.5333333333333333,0.631578947368421,0.5958498023715416
min_samples_leaf,1,gini,5,10,1,balanced,6,20,20,0.5111111111111111,0.0,0.5
min_samples_leaf,1,gini,5,10,1,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6071428571428572
min_samples_leaf,1,gini,5,10,1,balanced,6,22,22,0.6222222222222222,0.7301587301587301,0.5899209486166008
min_samples_leaf,1,gini,5,10,1,balanced,6,23,23,0.5681818181818182,0.6984126984126984,0.7407024793388429
min_samples_leaf,1,gini,5,10,1,balanced,6,24,24,0.4444444444444444,0.16666666666666666,0.37012987012987014
min_samples_leaf,1,gini,5,10,1,balanced,6,25,25,0.5111111111111111,0.08333333333333333,0.5217391304347826
min_samples_leaf,1,gini,5,10,1,balanced,6,26,26,0.5333333333333333,0.0,0.5
min_samples_leaf,1,gini,5,10,1,balanced,6,27,27,0.4666666666666667,0.6129032258064516,0.5622529644268776
min_samples_leaf,1,gini,5,10,1,balanced,6,28,28,0.4444444444444444,0.358974358974359,0.4130434782608695
min_samples_leaf,1,gini,5,10,1,balanced,6,29,29,0.5555555555555556,0.47368421052631576,0.5523715415019763
min_samples_leaf,1,gini,5,10,1,balanced,6,30,30,0.5333333333333333,0.0,0.5
min_samples_leaf,1,gini,5,10,1,balanced,6,31,31,0.6222222222222222,0.7213114754098361,0.6650197628458497
