parameter_name,parameter_value,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
pool_length,50,40,25,50,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.8222222222222222,0.8181818181818182,0.8794466403162056,45,9.043041578028351,0.0012044981122016907,0.026766624715593126,0.10483551025390625,27482,0.0,130.49658203125,0.5265495953234759,0.6313667791810903,0.5470449427763621,13,23
pool_length,50,40,25,50,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.8666666666666667,0.8421052631578947,0.9624505928853755,45,9.416915629990399,0.0017360583879053593,0.03857907528678576,0.10483551025390625,27482,0.0,130.49658203125,0.5393569227872472,0.6435775944229328,0.541239853700002,12,22
pool_length,50,40,25,50,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4222222222222222,0.35,0.41106719367588934,45,7.068319781217724,0.00291263684630394,0.06472526325119866,0.10483551025390625,27482,0.0,130.49658203125,0.5536751934524738,0.6300796721920823,0.539821187655131,8,18
pool_length,50,40,25,50,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5555555555555556,0.6666666666666666,0.7015810276679842,45,8.630857924930751,0.0014291140250861645,0.03175808944635921,0.10483551025390625,27482,0.0,130.49658203125,0.525255610093926,0.6150308714220019,0.5304335057735443,11,21
pool_length,50,40,25,50,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.4888888888888889,0.5306122448979592,0.4662698412698413,45,8.076918427366763,0.003934658132493496,0.08743684738874435,0.10483551025390625,27482,0.0,130.49658203125,0.5488330566070296,0.6231736127625812,0.5581939876079559,9,19
pool_length,50,40,25,50,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4444444444444444,0.07407407407407407,0.5277777777777778,45,14.669207057915628,0.002821169327944517,0.06269265173210038,0.10483551025390625,27482,0.0,130.49658203125,0.47521627152507956,0.508523963617556,0.543977044026057,27,37
pool_length,50,40,25,50,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.9555555555555556,0.9545454545454546,0.9861660079051383,45,9.312291418202221,0.0037284521386027336,0.08285449196894963,0.10483551025390625,27482,0.0,130.49658203125,0.5021596015854315,0.5765640390190211,0.5448726256688435,14,24
pool_length,50,40,25,50,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.6666666666666666,0.7058823529411765,0.7845849802371541,45,12.001500566024333,0.0026781708002090454,0.059514906671312116,0.10483551025390625,27482,0.0,130.49658203125,0.4949140889626561,0.5481236606384768,0.5632433871428172,19,29
pool_length,50,40,25,50,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6888888888888889,0.65,0.6626984126984128,45,12.741825645789504,0.003915509209036827,0.08701131575637394,0.10483551025390625,27482,0.0,130.49658203125,0.49611345464081474,0.533920602816524,0.5605233867963155,20,30
pool_length,50,40,25,50,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6666666666666666,0.6938775510204082,0.748015873015873,45,16.03695647465065,0.001218687742948532,0.02708194984330071,0.10483551025390625,27482,0.0,130.49658203125,0.46929180147972976,0.5108587280141584,0.5469346642494202,32,42
