parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.5060057659441979,0.07771192363510857,0.5141049676610567,0.5101645646757169,5.052090665338458,0.0021379490391592736,0.04925311435003214,0.20655059814453125,54146.0,0.0,187.35498046875,0.6116956823949727,0.6914381339226241,3.425925925925926,13.425925925925926
bidirectional,True,64,2,0.3,True,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.5065752514263233,0.074039404322117,0.5069941626278109,0.5041235868412399,7.507810722006036,0.003048450651544112,0.07023830603957718,0.5380935668945312,141058.0,0.0007957175925925925,293.6337890625,0.5994681075314238,0.6918817786154924,3.0555555555555554,13.055555555555555
