parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,0.5333333333333333,0.46153846153846156,0.46245059288537554,45,3.7832657187245786,0.0017899679951369762,0.03977706655859947,0.20655059814453125,54146,0.0,187.35498046875,0.6155081350695003,0.6915976509000316,0.692747954527537,3,13
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,0.4888888888888889,0.5306122448979592,0.4644268774703557,45,3.463567272759974,0.0021385811269283295,0.04752402504285177,0.20655059814453125,54146,0.0,187.35498046875,0.6464961306615309,0.6936311599883166,0.6930282910664877,1,11
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,0.4444444444444444,0.5283018867924528,0.4051383399209486,45,3.2605478619225323,0.0021418523974716663,0.04759671994381481,0.20655059814453125,54146,0.0,187.35498046875,0.6248298845056331,0.6918182625915065,0.693161670366923,2,12
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,0.4666666666666667,0.6363636363636364,0.650197628458498,45,3.043079943396151,0.0019335350953042507,0.042967446562316686,0.20655059814453125,54146,0.0,187.35498046875,0.6427820261680719,0.693848267197609,0.6913155953089396,1,11
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,0.37777777777777777,0.3,0.380952380952381,45,4.482879061251879,0.002127062063664198,0.0472680458592044,0.20655059814453125,54146,0.0,187.35498046875,0.6071476983753118,0.6894794445146214,0.6901262919108073,4,14
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,6,6,0.5111111111111111,0.35294117647058826,0.5734126984126984,45,3.987875421065837,0.0018495861440896988,0.04110191431310442,0.20655059814453125,54146,0.0,187.35498046875,0.6090159292022387,0.6890153573317961,0.6917438586552938,4,14
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,7,7,0.6888888888888889,0.7083333333333334,0.6936758893280632,45,3.2808403843082488,0.0017891069874167442,0.03975793305370543,0.20655059814453125,54146,0.0,187.35498046875,0.614453709486759,0.6912324022163044,0.6929904580116272,3,13
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,8,8,0.4666666666666667,0.5,0.45454545454545453,45,5.299565781373531,0.001896596048027277,0.042146578845050596,0.20655059814453125,54146,0.0,187.35498046875,0.5887353171904882,0.6849591474641453,0.6904574433962504,6,16
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,9,9,0.35555555555555557,0.35555555555555557,0.3869047619047619,45,4.909097407013178,0.00232126796618104,0.051583732581800885,0.20655059814453125,54146,0.0,187.35498046875,0.6088657103704683,0.6897992631702712,0.6916704495747884,4,14
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,10,10,0.4,0.4489795918367347,0.30158730158730157,45,6.253512203227729,0.0023951358161866665,0.0532252403597037,0.20655059814453125,54146,0.0,187.35498046875,0.600147585299882,0.6894593473636743,0.6915931979815165,4,14
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,11,11,0.4444444444444444,0.1935483870967742,0.47430830039525695,45,3.5649547572247684,0.0018876958638429642,0.04194879697428809,0.20655059814453125,54146,0.0,187.35498046875,0.6491573592930129,0.6940607979442134,0.6925360321998596,1,11
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,12,12,0.4444444444444444,0.4186046511627907,0.4305555555555556,45,5.3278790740296245,0.0019255448132753372,0.042789884739451944,0.20655059814453125,54146,0.0,187.35498046875,0.5997608161785386,0.6894468023921504,0.6892309149106344,4,14
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,13,13,0.42857142857142855,0.2857142857142857,0.3790849673202614,35,5.32068230304867,0.00202396372333169,0.057827534952333996,0.20655059814453125,54146,0.0,187.35498046875,0.5873708548870954,0.6861610958973566,0.6941916346549988,6,16
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,14,14,0.4888888888888889,0.34285714285714286,0.5296442687747036,45,4.369879365898669,0.002120440825819969,0.04712090724044376,0.20655059814453125,54146,0.0,187.35498046875,0.6156697776733022,0.6901077650713198,0.6888446847597758,4,14
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,15,15,0.4666666666666667,0.5555555555555556,0.5237154150197628,45,5.8847347549162805,0.0023149577900767326,0.05144350644614961,0.20655059814453125,54146,0.0,187.35498046875,0.6265443441542712,0.6924538797501362,0.6923673073450725,2,12
bidirectional,False,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,16,16,0.5333333333333333,0.6557377049180327,0.5355731225296443,45,6.824861037079245,0.002259648870676756,0.050214419348372355,0.20655059814453125,54146,0.0,187.35498046875,0.5826699550856244,0.6883350258523767,0.6905404686927795,5,15
