parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
batch_size,16,64,2,0.3,False,0.001,16,75,0.0,0.1,10,5,0.5,True,42,1,1,0.4666666666666667,0.33333333333333326,0.4644268774703557,45,17.12222913702135,0.008733304013730958,0.1940734225273546,0.20655059814453125,54146,234.671875,97.20654296875,0.6133820849679722,0.6921654552107981,0.6899453739325205,2,12
batch_size,16,64,2,0.3,False,0.001,16,75,0.0,0.1,10,5,0.5,True,42,2,2,0.5555555555555556,0.5454545454545454,0.5276679841897232,45,18.313482274999842,0.003951877006329596,0.08781948902954657,0.20655059814453125,54146,0.015625,97.20654296875,0.6011278740353457,0.6914762251730654,0.6915038605531056,3,13
batch_size,16,64,2,0.3,False,0.001,16,75,0.0,0.1,10,5,0.5,True,42,3,3,0.5333333333333333,0.3636363636363636,0.3972332015810277,45,19.91855340701295,0.0054891909821890295,0.12198202182642288,0.20655059814453125,54146,0.00390625,97.20654296875,0.5756498824507564,0.6884786407303901,0.6902191082636515,4,14
batch_size,16,64,2,0.3,False,0.001,16,75,0.0,0.1,10,5,0.5,True,42,4,4,0.6,0.6896551724137931,0.5909090909090909,45,18.5711465110071,0.006770334002794698,0.15045186672877106,0.20655059814453125,54146,0.0,97.20654296875,0.5919334634628586,0.6922652664746621,0.6906124929587046,3,13
batch_size,16,64,2,0.3,False,0.001,16,75,0.0,0.1,10,5,0.5,True,42,5,5,0.5333333333333333,0.6557377049180328,0.4563492063492064,45,18.4548354090075,0.00543646898586303,0.12081042190806734,0.20655059814453125,54146,0.0,97.20654296875,0.6024721477874785,0.6909307606319964,0.6887298583984375,3,13
batch_size,16,64,2,0.3,False,0.001,16,75,0.0,0.1,10,5,0.5,True,42,6,6,0.4444444444444444,0.5283018867924528,0.48611111111111116,45,15.567386201990303,0.005379970010835677,0.11955488912968172,0.20655059814453125,54146,0.0625,97.20654296875,0.619804021636796,0.6946750484945203,0.6919741173585255,1,11
batch_size,16,64,2,0.3,False,0.001,16,75,0.0,0.1,10,5,0.5,True,42,7,7,0.5555555555555556,0.47368421052631576,0.6403162055335969,45,16.972336423001252,0.0054716730082873255,0.12159273351749611,0.20655059814453125,54146,0.0,97.20654296875,0.6004754636904133,0.6934001259930687,0.6909114162127177,2,12
batch_size,16,64,2,0.3,False,0.001,16,75,0.0,0.1,10,5,0.5,True,42,8,8,0.4444444444444444,0.5283018867924527,0.48023715415019763,45,19.920329923013924,0.0054456249927170575,0.12101388872704572,0.20655059814453125,54146,0.0,97.20654296875,0.6922021648729709,0.6896421000531417,0.6871418456236521,4,14
batch_size,16,64,2,0.3,False,0.001,16,75,0.0,0.1,10,5,0.5,True,42,9,9,0.4666666666666667,0.4,0.41468253968253965,45,15.563691565010231,0.005135468003572896,0.1141215111905088,0.20655059814453125,54146,0.0,97.20654296875,0.6269998728322439,0.6942098732230327,0.6931166668732961,1,11
batch_size,16,64,2,0.3,False,0.001,16,75,0.0,0.1,10,5,0.5,True,42,10,10,0.37777777777777777,0.4615384615384615,0.31746031746031744,45,18.37063267600024,0.00696981797227636,0.15488484382836357,0.20655059814453125,54146,0.0625,97.20654296875,0.5821129426983372,0.6913182277643182,0.6923629105091095,3,13
