parameter_name,parameter_value,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
min_samples_split,2,200,gini,10,2,5,sqrt,balanced,6,0.6030451529487153,0.11480507234512935,0.5313983569751426,0.6819520995302304
min_samples_split,5,200,gini,10,5,5,sqrt,balanced,6,0.6030451529487153,0.11480507234512935,0.5313983569751426,0.6819520995302304
min_samples_split,10,200,gini,10,10,5,sqrt,balanced,6,0.6030451529487153,0.11480507234512935,0.5313983569751426,0.6819520995302304
min_samples_split,20,200,gini,10,20,5,sqrt,balanced,6,0.611866635549925,0.12417506039588058,0.537810066764613,0.6857562688136142
