parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,0.5044964936666362,0.025622408134161074,0.0,0.5058468756796702,12.39257755944453,0.0032205794164097083,0.07404933186131595,0.2091379165649414,54146.0,0.0019892939814814816,166.7333984375
learning_rate,0.001,64,2,0.3,False,0.001,32,20,0.0,0.5025844189903338,0.02588526670463383,0.02999857614285475,0.5130980528029032,14.187661984778297,0.003864607120299802,0.08888690186255024,0.2091379165649414,54146.0,0.013888888888888888,166.7333984375
learning_rate,0.01,64,2,0.3,False,0.01,32,20,0.0,0.4955032285758101,0.02562235938874898,0.1810270735500724,0.49477232000462223,12.112602632851795,0.003130974676120483,0.0719050777356985,0.2091379165649414,54146.0,0.0038700810185185184,166.7333984375
