rank,parameter_name,parameter_value,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
1,lr_scheduler_patience,3,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,3,0.5,True,42,0.6590221078211259,0.1310980525340827,0.6359872092220646,0.7415415736072569,22.848150487733182,0.005308464147943865,0.1232250224569124,0.00708770751953125,1858.0,0.0,24.5439453125,0.5688518350029678,0.5943144552685596,22.37037037037037,32.129629629629626
2,lr_scheduler_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,0.6546905962726366,0.12814889697421822,0.6356525934713863,0.7416154137515961,22.242981470527916,0.005172162545258524,0.12006307502899558,0.00708770751953125,1858.0,0.0,24.5439453125,0.5661867612610442,0.593836010918941,21.64814814814815,31.35185185185185
3,lr_scheduler_patience,8,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,8,0.5,True,42,0.6546209835652941,0.1259317858145043,0.6300917922641245,0.7456773159291543,21.942085490191758,0.005297871821245213,0.12287817950688636,0.00708770751953125,1858.0,0.0,24.5439453125,0.5642974081265237,0.5941884481428582,20.685185185185187,30.685185185185187
