parameter_name,parameter_value,solver,shrinkage,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
csp_components,4,lsqr,auto,4,0.6157924248170625,0.12866552815138274,0.5641111608538979,0.7210600087598656
csp_components,6,lsqr,auto,6,0.6190219442268102,0.13652470275319234,0.5713081555702382,0.7238604209668118
csp_components,8,lsqr,auto,8,0.616083695599735,0.13345470654985012,0.5661371609645579,0.7238256580153256
csp_components,10,lsqr,auto,10,0.613017768082903,0.12955579400456685,0.5669999229032153,0.7198902224381153
