parameter_name,parameter_value,penalty,C,solver,class_weight,l1_ratio,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
l1_ratio,0.2,elasticnet,1.0,saga,balanced,0.2,6,0.6224110399959515,0.1355277857374389,0.5795126948876859,0.7246038402944568
l1_ratio,0.5,elasticnet,1.0,saga,balanced,0.5,6,0.6224110399959515,0.13542653308950758,0.5792438182508202,0.7243569010534427
l1_ratio,0.8,elasticnet,1.0,saga,balanced,0.8,6,0.6224110399959515,0.13542653308950758,0.5792438182508202,0.7244028505772298
