parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,6,0.5970716106169152,0.6009664734204611,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,7,0.5991606678475033,0.604043976465861,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,8,0.5996516773646529,0.6056645313898722,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,9,0.5891939747062597,0.6015812893708546,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,10,0.5824966096516812,0.6001055637995402,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,11,0.5751242985328039,0.6207690000534057,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,12,0.5785844770796371,0.6082233051458995,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,13,0.5761874137502728,0.662779966990153,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,14,0.5637236736489065,0.6181240717569987,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,15,0.5682147400397243,0.5950664381186167,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,16,0.5678821605714884,0.6234669168790181,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,17,0.5618314774650516,0.6070635298887889,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,18,0.5590304287545609,0.5968150556087494,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,19,0.5554569878361442,0.6100283702214558,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,20,0.546115162246155,0.6141363203525543,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,21,0.5475235023733341,0.6097068130970001,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,22,0.5462429110299457,0.6127341667811076,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,23,0.5423346265698924,0.6134132405122121,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,24,0.5358254042538729,0.608303290605545,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,25,0.5347053279930895,0.6096678972244263,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,1,0.6968764956250335,0.6867106835047404,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,2,0.6521727614330523,0.6419892350832621,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,3,0.6239776198159565,0.6117713650067648,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,4,0.6194160768028462,0.6033058643341065,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,5,0.6116629342238108,0.6264156003793081,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,6,0.6024122601657202,0.601419848203659,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,7,0.5992220595027461,0.5972108622392018,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,8,0.593093944544142,0.593865180015564,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,9,0.5912118407361435,0.5875762581825257,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,10,0.5799466265421925,0.5797068635622661,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,11,0.5806975558851705,0.5896401862303416,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,12,0.5760113520152641,0.6164091308911641,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,13,0.5732360608649977,0.5884970585505168,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,14,0.5706625122464064,0.5783763806025187,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,15,0.5649804676120932,0.5792596956094106,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,16,0.559094335545193,0.5811271727085113,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,17,0.5608378639726928,0.5858091056346894,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,18,0.5604453172647592,0.5691290001074473,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,19,0.5593864037231966,0.5697136143843333,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,20,0.5550127471938278,0.5661292751630147,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,21,0.5510758346680439,0.570343816280365,0.001,8,2,16
