parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,0.644934454021029,0.13117607816420587,0.6302692521152038,0.7357033523405946,28.993697225541432,0.004582435732892783,0.10550974648377752,0.00431060791015625,1130.0,0.010199652777777778,25.00146484375,0.5943886611694931,0.5967486688384304,32.083333333333336,40.351851851851855
D,2,8,2,16,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,0.6504725433394601,0.12825638925443897,0.6285031254399794,0.7405737264797945,24.183704824604554,0.004528539185196644,0.10413805746277989,0.00708770751953125,1858.0,0.002712673611111111,25.5146484375,0.5733948042937134,0.5943569004903606,23.787037037037038,33.49074074074074
D,4,8,4,32,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,0.6536058508926401,0.13261344047570378,0.6289550780754192,0.740646219730489,18.929250337846398,0.004482951119253239,0.10406004786629376,0.01410675048828125,3698.0,0.001338252314814815,26.55078125,0.5457516603743682,0.596933237472434,15.50925925925926,25.50925925925926
