trial_number,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,1,1,0.7111111111111111,0.6829268292682926,0.7984189723320158,45,6.378125319024548,0.007844170962926,0.17431491028724447,0.01410675048828125,3698,386.5703125,43.16455078125,0.5933921242302115,0.6166037993900704,0.5719154814879099,13,18
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,2,2,0.7111111111111111,0.6285714285714286,0.9229249011857708,45,11.025986080989242,0.0017701159813441336,0.0393359106965363,0.01410675048828125,3698,0.171875,43.16455078125,0.578662285073237,0.5764093968001279,0.5596370001633962,30,35
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,3,3,0.4222222222222222,0.43478260869565216,0.3695652173913043,45,9.228678972984198,0.003602179989684373,0.08004844421520829,0.01410675048828125,3698,0.0,43.16455078125,0.5981685794664152,0.6147339872338555,0.565451975663503,12,17
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,4,4,0.6222222222222222,0.7017543859649122,0.7924901185770752,45,11.663508723955601,0.0023002770030871034,0.051117266735268965,0.01410675048828125,3698,0.0,43.16455078125,0.5919754268093542,0.5985980729262034,0.5795052091280619,16,21
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,5,5,0.4444444444444444,0.6031746031746031,0.45634920634920634,45,14.709461228980217,0.0026059700176119804,0.05791044483582179,0.01410675048828125,3698,0.00390625,43.16455078125,0.580945620256843,0.5890321343234091,0.5852127254009247,22,27
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,6,6,0.5333333333333333,0.4,0.494047619047619,45,9.955056383972988,0.0032572360360063612,0.07238302302236359,0.01410675048828125,3698,0.00390625,43.16455078125,0.5910722085020759,0.6042041234446295,0.5927741010983785,13,18
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,7,7,0.9333333333333333,0.9302325581395349,0.9940711462450593,45,14.132113180996384,0.0029418360209092498,0.06537413379798333,0.01410675048828125,3698,0.0,43.16455078125,0.5877288699601636,0.5940784107555043,0.573542203505834,21,26
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,8,8,0.6888888888888889,0.7083333333333334,0.7984189723320159,45,12.638282715983223,0.002950425958260894,0.06556502129468653,0.01410675048828125,3698,0.00390625,43.16455078125,0.5940587089368792,0.5984497971155427,0.5877249638239542,18,23
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,9,9,0.5777777777777777,0.4242424242424242,0.6944444444444444,45,11.374311973981094,0.0024293430033139884,0.05398540007364419,0.01410675048828125,3698,0.0,43.16455078125,0.5910125975355958,0.5994338343540827,0.589783122142156,16,21
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,10,10,0.6222222222222222,0.6530612244897959,0.6746031746031745,45,12.007663758005947,0.0032999790273606777,0.07333286727468173,0.01410675048828125,3698,0.0,43.16455078125,0.5865063547636523,0.5935954555417552,0.5926994025707245,17,22
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,11,11,0.4444444444444444,0.6153846153846153,0.5671936758893281,45,10.598811313975602,0.003097232023719698,0.06882737830488218,0.01410675048828125,3698,0.0,43.16455078125,0.5878629472219583,0.6043481932896556,0.584196658929189,14,19
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,12,12,0.7555555555555555,0.7179487179487181,0.8551587301587301,45,13.219082014984451,0.0036113300011493266,0.08025177780331837,0.01410675048828125,3698,0.0,43.16455078125,0.5881969124981852,0.5900161255038145,0.5874974330266317,19,24
