trial_number,fold,subject,epoch,train_loss,val_loss,learning_rate,temporal_filters,depth_multiplier,kernel_length,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
0,1,1,1,0.7012161431890546,0.6721842368443807,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,2,0.6718169812000159,0.6314727028210958,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,3,0.6538830322749687,0.6169703523317973,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,4,0.6463787415713975,0.6027846614519755,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,5,0.6362359103831378,0.5964753031730652,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,6,0.6210405201171384,0.5821905672550202,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,7,0.6245858773137584,0.5767171422640482,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,8,0.6189309051542571,0.5882469673951467,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,9,0.6197864596139301,0.5801907420158386,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,10,0.6101887022907083,0.5728424191474915,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,11,0.613107014334563,0.5762569069862366,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,12,0.6049426315408765,0.5877477586269378,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,13,0.6166037993900704,0.5719154814879099,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,14,0.5982834908998373,0.5728460868199666,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,15,0.6018166417876879,0.578338885307312,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,16,0.6065612047007589,0.5745905498663585,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,17,0.6002397036010568,0.5729968309402466,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,18,0.5933921242302115,0.5785077452659607,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,1,0.7027290626005693,0.6752727826436361,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,2,0.682169466307669,0.6323625524838765,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,3,0.6526052482200392,0.6315075874328613,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,4,0.6444440107002403,0.6116837779680888,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,5,0.63401616387295,0.5961635112762451,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,6,0.634519358476003,0.6001155356566111,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,7,0.6254585080526092,0.5940504769484202,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,8,0.6222556703018419,0.5885559777418773,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,9,0.6281116315812776,0.5823024491469065,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,10,0.6167185442014174,0.5814249515533447,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,11,0.6169774218490629,0.5785498917102814,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,12,0.6140468820477977,0.5806381742159525,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,13,0.6132802464293711,0.5774048189322154,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,14,0.6014706487908508,0.5813397367795309,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,15,0.6113776336565162,0.5862177987893422,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,16,0.6081493742989771,0.5796284635861715,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,17,0.6037186598687461,0.5772409776846568,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,18,0.6010033844998388,0.5733036080996196,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,19,0.6073351524996035,0.5795117616653442,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,20,0.6004162028883443,0.6049821138381958,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,21,0.5934511721134186,0.5661756952603658,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,22,0.5964550985531374,0.5706593751907348,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,23,0.5933126082474535,0.5692472000916798,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,24,0.590178862891414,0.587177433570226,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,25,0.5990191844828201,0.5688670376936594,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,26,0.5851712705511035,0.565679407119751,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,27,0.5882128781893037,0.5750381350517273,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,28,0.5825863207379977,0.5663917104403178,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,29,0.5758679601730723,0.5609775086243948,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,30,0.5764093968001279,0.5596370001633962,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,31,0.5887153155424378,0.5667176842689514,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,32,0.576717739529682,0.5771573623021443,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,33,0.5831514052820929,0.5736868937810262,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,34,0.5763316626350085,0.5775213102499644,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,2,2,35,0.578662285073237,0.5728480438391368,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,1,0.701384574174881,0.6556960026423136,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,2,0.6662210411194599,0.6220457196235657,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,3,0.6510783564863782,0.610372269153595,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,4,0.6389251078168551,0.6060017089049021,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,5,0.6288173042915084,0.591879665851593,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,6,0.6213716252735166,0.5981879750887553,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,7,0.631089856227239,0.5852046012878418,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,8,0.6127685531973839,0.5775909562905629,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,9,0.6077654908100764,0.5745334565639496,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,10,0.6137058314951983,0.5798739294211069,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,11,0.6187004948204214,0.5818883121013642,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,12,0.6147339872338555,0.565451975663503,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,13,0.6098850958726623,0.5855502823988596,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,14,0.606941218854803,0.5686011731624603,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,15,0.610679633463874,0.5665744523207347,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,16,0.6040894474947092,0.5727516452471415,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,3,3,17,0.5981685794664152,0.5706236799558003,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,1,0.6980006044561212,0.6508646567662557,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,2,0.6696041070602157,0.6251452366511027,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,3,0.6567549999013091,0.6197558760643005,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,4,0.6465834632064357,0.6108983516693115,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,5,0.6328820565884764,0.5964142640431722,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,6,0.6291110423026662,0.603290605545044,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,7,0.6298240080024257,0.5954709649085999,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,8,0.6217288851286425,0.5963083247343699,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,9,0.617880820776477,0.5854182998339336,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,10,0.6167523797714349,0.6041903118292491,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,11,0.6109346792553411,0.5988289773464203,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,12,0.6078608437921061,0.5865218381086985,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,13,0.6114778809926726,0.5951155742009481,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,14,0.6048961315642704,0.5850204447905223,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,15,0.6093116341666742,0.5843967437744141,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,16,0.5985980729262034,0.5795052091280619,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,17,0.5938083263057651,0.5860061327616374,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,18,0.6032983550068104,0.59024924437205,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,19,0.5906372013868708,0.5850357790788014,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,20,0.5935898633165793,0.5819771230220795,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,4,4,21,0.5919754268093542,0.5829916437466939,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,1,0.7026909707170544,0.6667684237162272,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,2,0.6652628567182657,0.6347870588302612,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,3,0.6450687904249538,0.6200077414512635,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,4,0.6390647964947151,0.6133527716000875,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,5,0.6361906641360485,0.6096488952636718,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,6,0.6225954657702735,0.605588412284851,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,7,0.6189770800146189,0.6090435008207957,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,8,0.6141111340486642,0.6084289113680522,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,9,0.6172163556471015,0.6035408457120259,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,10,0.6148351746978182,0.602227250734965,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,11,0.6102502576329492,0.6112857500712077,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,12,0.6130375387993726,0.6046287099520365,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,13,0.6103235487685059,0.6317090471585591,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,14,0.6025615316448789,0.6031356414159139,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,15,0.5942983936631319,0.6003202974796296,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,16,0.6042919538237832,0.6038575907548268,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,17,0.594180836370497,0.5951611995697021,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,18,0.5960130355123318,0.6030241052309672,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,19,0.5934386987126234,0.5942545076211293,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,20,0.5965457434455553,0.5917439500490824,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,21,0.5945136411623522,0.5885102351506551,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,22,0.5890321343234091,0.5852127254009247,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,23,0.5839765767256418,0.5938824931780498,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,24,0.5904922853365089,0.5912276486555735,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,25,0.5839525402495356,0.5991415441036224,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,5,5,26,0.5913542558749517,0.5887041568756104,0.001693243511798617,8,4,64,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
