trial_number,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,1,1,0.7111111111111111,0.7346938775510203,0.774703557312253,45,9.231062403006945,0.004825941985473037,0.10724315523273416,0.00611114501953125,1602,0.171875,40.78955078125,0.576166140310692,0.5944140138048114,0.5646382550398509,12,17
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,2,2,0.7333333333333333,0.625,0.9505928853754941,45,8.219973389990628,0.003957190026994795,0.08793755615543988,0.00611114501953125,1602,0.0,40.78955078125,0.5753255998997977,0.5900093034812899,0.5779117325941722,10,15
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,3,3,0.4222222222222222,0.5,0.3438735177865613,45,9.288426798011642,0.0032277709688059986,0.07172824375124441,0.00611114501953125,1602,0.00390625,40.78955078125,0.5816797853419275,0.5932999474532676,0.5628955046335856,12,17
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,4,4,0.4888888888888889,0.6567164179104478,0.7154150197628459,45,5.853428328002337,0.003583541954867542,0.07963426566372314,0.00611114501953125,1602,0.0,40.78955078125,0.5971385881756291,0.6141968164028544,0.569222887357076,6,11
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,5,5,0.5111111111111111,0.5416666666666666,0.48809523809523814,45,12.978377469000407,0.0024466689792461693,0.05437042176102598,0.00611114501953125,1602,0.0,40.78955078125,0.5670221669204307,0.5754964378747073,0.5756544272104899,19,24
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,6,6,0.5111111111111111,0.45,0.5059523809523809,45,6.782283684005961,0.0026899949880316854,0.059777666400704116,0.00611114501953125,1602,0.0,40.78955078125,0.5851195761651704,0.6011946217128725,0.5795486768086752,8,13
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,7,7,0.9333333333333333,0.9302325581395349,0.9762845849802372,45,21.268259692005813,0.0029055249760858715,0.06456722169079714,0.00611114501953125,1602,0.0,40.78955078125,0.5499024924003717,0.5576680769974535,0.542521458864212,34,39
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,8,8,0.7333333333333333,0.7272727272727272,0.8003952569169961,45,9.455339175998233,0.003591921995393932,0.07982048878653182,0.00611114501953125,1602,0.0078125,40.78955078125,0.5787538594820283,0.5895842995607492,0.5760556519031524,12,17
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,9,9,0.6,0.47058823529411764,0.6091269841269841,45,8.66240899299737,0.003235173993743956,0.07189275541653235,0.00611114501953125,1602,0.0,40.78955078125,0.5838299538149978,0.595796317765207,0.5846697310606639,11,16
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,10,10,0.6444444444444445,0.6923076923076923,0.6825396825396826,45,8.535817219992168,0.002507362049072981,0.05571915664606624,0.00611114501953125,1602,0.0,40.78955078125,0.5714474230101614,0.5935003886168654,0.593346776564916,11,16
