parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.6338750569056415,0.10663832917031205,0.6121829224410986,0.7153827796161678,12.348596348543651,0.002386685689324858,0.05512386166452825,0.25977325439453125,68098.0,0.0,145.84326171875,0.45239063267449675,0.612817843258381,7.722222222222222,17.72222222222222
nhead,4,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.6290270835459665,0.11654148288829312,0.5851861180618798,0.7155839351582765,14.008925085033601,0.002459886690808667,0.056718338679658024,0.25977325439453125,68098.0,0.0003255208333333333,146.09326171875,0.41388412637290795,0.6112308949232103,7.268518518518518,17.26851851851852
nhead,8,64,8,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.6410670001045856,0.10998860138566531,0.6100447832711597,0.7198787795131675,16.88478688057512,0.002789402553052814,0.06415627063471288,0.25977325439453125,68098.0,0.000904224537037037,154.0478515625,0.3894858605718189,0.6108133515090117,6.7407407407407405,16.74074074074074
