parameter_name,parameter_value,n_neighbors,weights,metric,p,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
n_neighbors,1,1,distance,minkowski,2,6,0.5442532797721955,0.08908557869021073,0.5189575583398625,0.5453080472769875
n_neighbors,3,3,distance,minkowski,2,6,0.5539485120354686,0.09906286994084422,0.5171435376106907,0.5811529435530752
n_neighbors,5,5,distance,minkowski,2,6,0.5604323585627722,0.09429957654191921,0.5179887524545675,0.5899374105078684
n_neighbors,7,7,distance,minkowski,2,6,0.567050984104165,0.10113212442098124,0.5204275371484243,0.5983985870039334
n_neighbors,9,9,distance,minkowski,2,6,0.5724770432048812,0.10227181085820472,0.5221872393844159,0.6116039724308627
n_neighbors,11,11,distance,minkowski,2,6,0.5758347550154481,0.10556083696302758,0.523409323130064,0.6157505415210281
