trial_number,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,1,1,0.7777777777777778,0.7499999999999999,0.8517786561264823,45,2.89899916498689,0.001366034965030849,0.030356332556241088,0.03014373779296875,7902,0.06640625,77.19189453125,0.5835479283423135,0.6234913262905497,0.5361494263013203,9,14
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,2,2,0.9333333333333333,0.9268292682926829,0.9723320158102766,45,3.9777420529862866,0.0015567729715257883,0.034594954922795296,0.03014373779296875,7902,0.2578125,77.19189453125,0.5691698439645044,0.5950156247073953,0.5465460081895193,14,19
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,3,3,0.4666666666666667,0.33333333333333326,0.4209486166007905,45,7.156022606999613,0.0013949499698355794,0.03099888821856843,0.03014373779296875,7902,0.0,77.19189453125,0.5320537440253027,0.5399288986668442,0.5234583338101705,29,34
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,4,4,0.5111111111111111,0.6666666666666666,0.7351778656126482,45,2.9066348770284094,0.0015136809670366347,0.03363735482303633,0.03014373779296875,7902,0.00390625,77.19189453125,0.5948807134321241,0.6062532455632181,0.5332163770993551,9,14
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,5,5,0.5777777777777777,0.6885245901639344,0.5555555555555556,45,2.7037972360267304,0.0014011669554747641,0.03113704345499476,0.03014373779296875,7902,0.00390625,77.19189453125,0.5822898174325625,0.6159279226805224,0.5696982920169831,8,13
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,6,6,0.4222222222222222,0.07142857142857142,0.498015873015873,45,4.85790917504346,0.0013815410202369094,0.03070091156082021,0.03014373779296875,7902,0.0,77.19189453125,0.5587067759849809,0.5746060275670254,0.5530858437220255,18,23
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,7,7,0.8666666666666667,0.8636363636363636,0.9782608695652174,45,2.9667442890349776,0.0015131919644773006,0.03362648809949557,0.03014373779296875,7902,0.0,77.19189453125,0.5891341336748817,0.6004003288619446,0.5463480353355408,9,14
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,8,8,0.7333333333333333,0.7499999999999999,0.7964426877470356,45,5.195772686041892,0.0013904799707233906,0.030899554904964235,0.03014373779296875,7902,0.0,77.19189453125,0.5564850514585321,0.5581384023482149,0.5576533456643422,20,25
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,9,9,0.6222222222222222,0.4848484848484849,0.6944444444444445,45,3.3203815990127623,0.0014279859606176615,0.031733021347059145,0.03014373779296875,7902,0.0,77.19189453125,0.5626672201535918,0.5978938496925614,0.566583925485611,11,16
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,10,10,0.5555555555555556,0.6296296296296297,0.726190476190476,45,2.7679971670149826,0.0013603089610114694,0.030229088022477094,0.03014373779296875,7902,0.0,77.19189453125,0.6006106702667294,0.6062692751487097,0.5625460982322693,8,13
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,11,11,0.4444444444444444,0.2857142857142857,0.4841897233201581,45,3.39201667701127,0.0013635909999720752,0.03030202222160167,0.03014373779296875,7902,0.25390625,77.19189453125,0.5801507557431856,0.6037529436024752,0.5382720907529195,11,16
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,12,12,0.8222222222222222,0.8,0.8531746031746031,45,3.5855025839991868,0.0015825449954718351,0.03516766656604078,0.03014373779296875,7902,0.2578125,77.19189453125,0.585978032061548,0.6025282810583259,0.5664475480715434,12,17
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,13,13,0.7714285714285715,0.7999999999999999,0.8758169934640523,35,4.423539045965299,0.0013059710036031902,0.03731345724580543,0.03014373779296875,7902,0.0,77.19189453125,0.5467457297173414,0.5573507007775884,0.5764222423235575,16,21
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,14,14,0.7111111111111111,0.7450980392156864,0.857707509881423,45,2.5629441660130396,0.001377628999762237,0.030613977772494156,0.03014373779296875,7902,0.0,77.19189453125,0.5817563086748123,0.6089233008749557,0.5656532148520151,7,12
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,15,15,0.7555555555555555,0.8,0.9940711462450593,45,4.354757527995389,0.001385103038046509,0.030780067512144644,0.03014373779296875,7902,0.0,77.19189453125,0.5552807594790603,0.5859320491100802,0.543701849381129,16,21
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,16,16,0.7111111111111111,0.7450980392156864,0.8142292490118577,45,3.9606056210468523,0.0015939290169626474,0.035420644821392164,0.03014373779296875,7902,0.0,77.19189453125,0.5800907514763601,0.5773859999396584,0.5728175361951192,14,19
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,17,17,0.5238095238095238,0.09090909090909091,0.6318181818181818,42,2.8971434319973923,0.0013544420362450182,0.032248619910595674,0.03014373779296875,7902,0.0,77.19189453125,0.5741680160616384,0.6143696533911156,0.5832431356112162,9,14
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,18,18,0.4888888888888889,0.6461538461538461,0.4762845849802372,45,4.875375171017367,0.0013992809690535069,0.031095132645633485,0.03014373779296875,7902,0.0,77.19189453125,0.5457434534575,0.5607365889079643,0.5617952783902486,18,23
23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,19,19,0.6444444444444445,0.7241379310344828,0.7806324110671937,45,2.9316397829679772,0.001413388003129512,0.031408622291766934,0.03014373779296875,7902,0.0,77.19189453125,0.5925889647368229,0.6072659381862843,0.5514511545499166,9,14
