rank,trial_number,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
19,24,20,35,50,15,0.5,0.000781868772142629,32,75,0.0001,0.1,5,3,0.7,False,42,0.6634704992266576,0.12861464877924025,0.6258407150265329,0.7540289322424079,3.6115726709050016,0.001448345897693394,0.03331193619504119,0.03014373779296875,7902.0,0.00730613425925926,77.19189453125,0.5707344186865798,0.5710969600044651,12.12962962962963,17.12962962962963
20,16,40,35,75,15,0.3,0.00031479313999366624,32,75,0.0001,0.1,5,3,0.7,False,42,0.6633935181891532,0.12655972345440658,0.6355909575276573,0.7455064002395274,3.127524479252989,0.0014549476629192079,0.03353736873287443,0.10544586181640625,27642.0,0.00734230324074074,135.10986328125,0.5074119941664332,0.5761193648164655,8.12037037037037,13.12037037037037
21,18,20,35,50,15,0.5,0.00032600599154891576,32,75,0.0001,0.1,5,3,0.7,False,42,0.6627814840512039,0.13021055011020458,0.6453374635476405,0.7528292660993725,4.560602469655957,0.0014289982150162191,0.032859060253693034,0.03014373779296875,7902.0,0.01070601851851852,77.19189453125,0.5646074831637867,0.5697110209016152,16.694444444444443,21.694444444444443
22,12,40,35,75,15,0.3,0.0009757370512588005,32,75,0.0001,0.1,5,3,0.7,False,42,0.6624060432942884,0.11792445765343369,0.6372944826659345,0.7417171980725227,2.5926379044567174,0.0014478861946069326,0.03329781200137505,0.10544586181640625,27642.0,0.032552083333333336,135.10986328125,0.524637612566775,0.5849123905838272,5.972222222222222,10.972222222222221
23,19,40,35,75,15,0.3,0.00048693893644484064,32,75,0.0001,0.1,5,3,0.7,False,42,0.6621997268003599,0.1250732331488291,0.6367512069407006,0.7513118261327953,2.829977344357758,0.0014389931236143672,0.03309817620763439,0.10544586181640625,27642.0,0.010127314814814815,135.10986328125,0.5092080794783445,0.5777407620608072,6.916666666666667,11.916666666666666
24,4,60,15,75,20,0.3,0.00011173454323455712,32,75,0.0001,0.1,5,3,0.7,False,42,0.6618285238098663,0.12144067496591077,0.6275096132899537,0.7538269884450257,5.694744601070717,0.0015528111430790483,0.035732001597947614,0.21996307373046875,57662.0,0.005895543981481482,207.3681640625,0.5261133077249858,0.5689804900759532,14.555555555555555,19.555555555555557
25,11,40,35,50,15,0.3,0.0006644768983030163,32,75,0.0001,0.1,5,3,0.7,False,42,0.661292544398564,0.12811810739976104,0.6407143666749504,0.7447475978354305,2.6770578247960657,0.0014373466288412197,0.03307160841662332,0.10605621337890625,27802.0,0.011320891203703705,135.11474609375,0.5005660901075231,0.5823397363961479,6.268518518518518,11.268518518518519
26,20,40,35,75,15,0.3,0.0001098070477865375,32,75,0.0001,0.1,5,3,0.7,False,42,0.6609012001634903,0.13321327324462534,0.6285983845954979,0.7406036677226754,4.876791397522471,0.0015020344424690982,0.034544255200761285,0.10544586181640625,27642.0,0.005859375,135.10986328125,0.5115033570479952,0.5723405680722661,15.527777777777779,20.52777777777778
27,0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,0.6601057546415463,0.12728922837427759,0.6340120007754327,0.7480763890177322,5.847247127881726,0.001750489896275448,0.040726021024854925,0.22408294677734375,58742.0,4.437897858796297,200.84228515625,0.5296490563000228,0.569052376349767,15.49074074074074,20.49074074074074
28,1,60,15,75,15,0.5,0.00024243413538576798,32,75,0.0001,0.1,5,3,0.7,False,42,0.6596921251211249,0.12747499298402087,0.6288190466201047,0.7522376405790466,5.042716755886364,0.001638236480950447,0.038182812592727995,0.22316741943359375,58502.0,0.021267361111111112,207.38525390625,0.563229791665996,0.5703332797796637,12.166666666666666,17.166666666666668
29,14,20,35,50,15,0.3,0.0005886288751930588,32,75,0.0001,0.1,5,3,0.7,False,42,0.6589254749436136,0.12546762240144832,0.6303324901092496,0.7436657643272263,3.083121800019095,0.0014819561496282135,0.034062515392311796,0.03014373779296875,7902.0,0.003436053240740741,77.19189453125,0.5302571550527314,0.5729229618737728,9.63888888888889,14.63888888888889
30,28,60,35,50,15,0.3,0.0005878233104362074,32,75,0.0001,0.1,5,3,0.7,False,42,0.6579576226065768,0.11457487947357714,0.6287894266467442,0.7342188944548417,2.9945620831503117,0.001555662263719434,0.035796146232996824,0.22774505615234375,59702.0,0.008355034722222222,200.86181640625,0.4791876942403728,0.5882921799281499,5.62962962962963,10.62962962962963
