trial_number,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,1,1,0.8,0.8,0.9031620553359684,45,4.84214077598881,0.011077905015554279,0.2461756670123173,0.22408294677734375,58742,474.38671875,200.84228515625,0.5534170816342036,0.5940288476871721,0.5482429961363474,11,16
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,2,2,0.8666666666666667,0.8421052631578948,0.9624505928853756,45,4.864596321014687,0.001660551002714783,0.03690113339366184,0.22408294677734375,58742,0.01953125,200.84228515625,0.5468065020712939,0.5931018769289508,0.5379323800404866,12,17
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,3,3,0.4888888888888889,0.43902439024390244,0.391304347826087,45,4.609046309022233,0.0014932799967937171,0.03318399992874927,0.22408294677734375,58742,0.0078125,200.84228515625,0.5512145626725573,0.5985591693809538,0.5468780179818471,11,16
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,4,4,0.5555555555555556,0.6774193548387099,0.7035573122529644,45,6.6390460840193555,0.0015683589735999703,0.034852421635554895,0.22408294677734375,58742,0.01171875,200.84228515625,0.5189493386582895,0.5421844014164173,0.5481911381085713,18,23
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,5,5,0.5555555555555556,0.6428571428571429,0.5952380952380953,45,5.809109120978974,0.0014758899924345315,0.03279755538743403,0.22408294677734375,58742,0.0,200.84228515625,0.5299556029565407,0.5590613556630684,0.5619478106498719,15,20
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,6,6,0.4222222222222222,0.07142857142857142,0.5396825396825397,45,7.286216926004272,0.0017662899917922914,0.03925088870649536,0.22408294677734375,58742,0.06640625,200.84228515625,0.5180208638987758,0.5330829430710186,0.5541137456893921,20,25
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,7,7,0.9111111111111111,0.9,0.9743083003952568,45,3.837520854023751,0.0015164679498411715,0.03369928777424826,0.22408294677734375,58742,0.0,200.84228515625,0.5728103193369779,0.6426709908427615,0.5491988857587179,8,13
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,8,8,0.6888888888888889,0.7083333333333334,0.800395256916996,45,6.992332718975376,0.001477496000006795,0.03283324444459544,0.22408294677734375,58742,0.0,200.84228515625,0.5143677452296922,0.5331193800225402,0.5559194366137187,19,24
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,9,9,0.6444444444444445,0.6,0.6944444444444444,45,8.976872792001814,0.0016517500043846667,0.03670555565299259,0.22408294677734375,58742,0.0,200.84228515625,0.4932524315787084,0.5160900577902794,0.5528774400552113,26,31
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,10,10,0.6222222222222222,0.6792452830188678,0.7202380952380952,45,8.458627757034265,0.001495584030635655,0.03323520068079233,0.22408294677734375,58742,0.0,200.84228515625,0.4880028845685901,0.5199245571187048,0.5508827726046245,25,30
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,11,11,0.4666666666666667,0.39999999999999997,0.48814229249011865,45,4.2902025649673305,0.0017419150099158287,0.038709222442573965,0.22408294677734375,58742,0.0,200.84228515625,0.5437101620164785,0.5996317551894621,0.5491298735141754,10,15
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,12,12,0.6666666666666666,0.7058823529411765,0.8095238095238096,45,7.255180902953725,0.0014861559611745179,0.0330256880261004,0.22408294677734375,58742,0.0,200.84228515625,0.5173997840646541,0.5348987581603455,0.5605728248755137,20,25
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,13,13,0.7142857142857143,0.7727272727272727,0.8169934640522876,35,5.297015172021929,0.002857073035556823,0.08163065815876637,0.22408294677734375,58742,0.2421875,200.84228515625,0.534504174960382,0.5580990007429412,0.5733486493428548,14,19
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,14,14,0.7111111111111111,0.7346938775510203,0.7766798418972333,45,8.398387739027385,0.0014910440077073872,0.03313431128238638,0.22408294677734375,58742,0.0,200.84228515625,0.49173222008076584,0.523722842335701,0.5648989280064901,24,29
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,15,15,0.7555555555555555,0.8,0.9703557312252964,45,4.370214774971828,0.0017815149622038007,0.03958922138230668,0.22408294677734375,58742,0.0,200.84228515625,0.5545963640465881,0.5989769672354063,0.544011668364207,10,15
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,16,16,0.7111111111111111,0.7346938775510203,0.7984189723320159,45,6.678116419003345,0.001496492011938244,0.03325537804307209,0.22408294677734375,58742,0.0,200.84228515625,0.5115860646421259,0.5475843293648778,0.5656524141629536,19,24
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,17,17,0.5952380952380952,0.45161290322580644,0.7045454545454546,42,4.982683364010882,0.0026773709687404335,0.06374692782715319,0.22408294677734375,58742,0.3515625,200.84228515625,0.5426008441683018,0.5565381677764835,0.5811834573745728,13,18
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,18,18,0.5333333333333333,0.6037735849056605,0.5237154150197628,45,5.2648621299886145,0.001482664025388658,0.032948089453081295,0.22408294677734375,58742,0.00390625,200.84228515625,0.5278448956933889,0.5701508228525971,0.5639012316862743,14,19
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,19,19,0.6222222222222222,0.6909090909090909,0.7371541501976284,45,4.1866032389807515,0.0014749119873158634,0.03277582194035252,0.22408294677734375,58742,0.0,200.84228515625,0.5450937081918572,0.5945624939420007,0.5508913417657216,10,15
0,60,35,75,20,0.5,0.0001412840481384146,32,75,0.0001,0.1,5,3,0.7,False,42,20,20,0.4888888888888889,0.20689655172413793,0.5039525691699605,45,7.486746489012148,0.0017361880163662136,0.03858195591924919,0.22408294677734375,58742,0.0,200.84228515625,0.5011899369684133,0.5427541570229963,0.5484730720520019,21,26
