parameter_name,parameter_value,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
temporal_filters,20,20,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.8222222222222222,0.8181818181818182,0.8735177865612649,45,6.91381520871073,0.016518928110599518,0.36708729134665596,0.02922821044921875,7662,706.9375,75.5205078125,0.5398139924262509,0.5492036629355315,0.5483542203903198,25,35
temporal_filters,20,20,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.8444444444444444,0.8205128205128205,0.9565217391304348,45,4.676206212025136,0.0012798267416656017,0.02844059425923559,0.02922821044921875,7662,0.0234375,75.5205078125,0.5647680709759394,0.6125449472756097,0.5423717637856801,14,24
temporal_filters,20,20,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.5333333333333333,0.5531914893617021,0.44664031620553357,45,3.5890892441384494,0.00124333705753088,0.027629712389575112,0.02922821044921875,7662,0.015625,75.5205078125,0.5765231734875477,0.6461953177596583,0.5458628296852112,8,18
temporal_filters,20,20,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5111111111111111,0.6666666666666666,0.7984189723320159,45,6.4913831814192235,0.001153919380158186,0.02564265289240413,0.02922821044921875,7662,0.015625,75.5205078125,0.5462074117227034,0.5592381990317142,0.5361020723978679,25,35
temporal_filters,20,20,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.5111111111111111,0.6071428571428571,0.509920634920635,45,5.996651463676244,0.0011395500041544437,0.025323333425654307,0.02922821044921875,7662,0.00390625,75.5205078125,0.5286310276750362,0.5582112875400167,0.5512083133061727,23,33
temporal_filters,20,20,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4444444444444444,0.13793103448275862,0.5734126984126984,45,8.903699524700642,0.0015542819164693356,0.03453959814376301,0.02922821044921875,7662,0.01171875,75.5205078125,0.5304284398302888,0.5299116704951633,0.5460138618946075,35,45
temporal_filters,20,20,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.8666666666666667,0.8695652173913043,0.9782608695652174,45,2.778127036988735,0.001141158863902092,0.02535908586449093,0.02922821044921875,7662,0.00390625,75.5205078125,0.5866731041760156,0.6469860819704605,0.5479873955249787,6,16
temporal_filters,20,20,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.7111111111111111,0.723404255319149,0.8023715415019763,45,5.560892069712281,0.001641680020838976,0.03648177824086613,0.02922821044921875,7662,0.00390625,75.5205078125,0.5563580441203985,0.6042340790683572,0.5444798469543457,19,29
temporal_filters,20,20,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.5111111111111111,0.5769230769230769,0.611111111111111,45,12.470880989916623,0.002416815608739853,0.053707013527552284,0.02922821044921875,7662,0.0078125,75.5205078125,0.5355771389422994,0.5510039480798172,0.5533314049243927,37,47
temporal_filters,20,20,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6666666666666666,0.7169811320754716,0.753968253968254,45,17.831998920999467,0.001627311110496521,0.03616246912214491,0.02922821044921875,7662,0.015625,75.5205078125,0.5256407554402496,0.5303039573358767,0.5408155997594197,47,50
