parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,1,0.7030577343521696,0.6882855971654256,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6910893492626421,0.6748099009195964,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6718200842539469,0.6350848952929179,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,4,0.645546045718771,0.6070181131362915,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6437834546421514,0.6057604789733887,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6388218140963352,0.6061119258403778,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6338527676734057,0.5994331240653992,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6431943011103254,0.6010169903437297,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6304786584594033,0.5974252104759217,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6286158746842182,0.5976077516873678,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,11,0.621187633637226,0.5937115947405497,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,12,0.6225504249785886,0.586220939954122,0.001
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,13,0.616292192177339,0.5796377539634705,0.001
