parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.6888888888888889,0.6956521739130435,0.758893280632411,45,7.223876319825649,0.001873136032372713,0.04162524516383807,0.00611114501953125,1602,0.01953125,40.7900390625,0.6058539032484546,0.6096703974586545,0.5746019423007965,21,31
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.7333333333333333,0.6470588235294118,0.9347826086956522,45,9.377482736948878,0.001212247647345066,0.026938836607668132,0.00611114501953125,1602,0.0,40.7900390625,0.6093512114250299,0.604946484845696,0.5706298728783925,31,41
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4222222222222222,0.4090909090909091,0.3478260869565218,45,7.22430763207376,0.001238096971064806,0.02751326602366236,0.00611114501953125,1602,0.0,40.7900390625,0.6055939080137195,0.6119960002375372,0.568439229329427,21,31
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.6,0.7096774193548387,0.774703557312253,45,11.750726229976863,0.001233598217368126,0.027413293719291687,0.00611114501953125,1602,0.0,40.7900390625,0.5915243612094359,0.5915243612094359,0.5606156965096791,50,50
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.4,0.4489795918367347,0.43253968253968256,45,7.0740149281919,0.0013461657799780369,0.029914795110623043,0.00611114501953125,1602,0.0,40.7900390625,0.6119275662032041,0.6135469169327707,0.5906797885894776,20,30
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4444444444444444,0.13793103448275862,0.501984126984127,45,8.813945729285479,0.0012033679522573948,0.02674151005016433,0.00611114501953125,1602,0.0,40.7900390625,0.599968895316124,0.6103417139613267,0.5891304930051168,31,41
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.9555555555555556,0.9545454545454546,0.9920948616600791,45,11.043951069936156,0.0012195780873298645,0.02710173527399699,0.00611114501953125,1602,0.0,40.7900390625,0.607726109524568,0.6069489688132749,0.5672517677148183,47,50
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.6888888888888889,0.6666666666666666,0.7905138339920948,45,10.22819537576288,0.0012381882406771183,0.027515294237269294,0.00611114501953125,1602,0.0,40.7900390625,0.6004452143203128,0.6004452143203128,0.579711373647054,50,50
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.5777777777777777,0.4864864864864865,0.5892857142857143,45,5.546600203961134,0.0012145382352173328,0.026989738560385175,0.00611114501953125,1602,0.0,40.7900390625,0.6104447342681162,0.6214426606893539,0.5898930390675863,16,26
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6222222222222222,0.6530612244897959,0.6845238095238095,45,9.607192780356854,0.0013542859815061092,0.030095244033469092,0.00611114501953125,1602,0.0,40.7900390625,0.5975738869923534,0.6038362164840554,0.5878017385800679,31,41
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,11,11,0.5333333333333333,0.5882352941176471,0.5335968379446641,45,12.822140995878726,0.0012369980104267597,0.027488844676150218,0.00611114501953125,1602,0.0,40.7900390625,0.5994828300494136,0.5990634538007505,0.5702930827935536,40,50
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,12,12,0.7333333333333333,0.6666666666666666,0.8591269841269841,45,10.218201028183103,0.0013904846273362637,0.030899658385250307,0.00611114501953125,1602,0.0,40.7900390625,0.6110681329261173,0.6072410555048422,0.5919703483581543,32,42
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,13,13,0.6857142857142857,0.6666666666666666,0.8169934640522877,35,7.279351653996855,0.0016217408701777458,0.046335453433649886,0.00611114501953125,1602,0.02734375,40.7900390625,0.6056108070593892,0.6138785285028544,0.6117518762747447,21,31
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,14,14,0.7111111111111111,0.7346938775510204,0.7707509881422925,45,11.962786732707173,0.0012129880487918854,0.026955289973153006,0.00611114501953125,1602,0.0,40.7900390625,0.5968104273532376,0.5957671065222133,0.5828472475210825,49,50
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,15,15,0.7333333333333333,0.7857142857142857,0.9841897233201581,45,11.93410270428285,0.0013598459772765636,0.030218799495034747,0.00611114501953125,1602,0.0,40.7900390625,0.6060111292383887,0.6060111292383887,0.5720299482345581,50,50
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,16,16,0.6666666666666666,0.7457627118644068,0.8221343873517787,45,10.979119115974754,0.0012289080768823624,0.02730906837516361,0.00611114501953125,1602,0.0,40.7900390625,0.5948771299286322,0.5939678813923489,0.5888518114884694,41,50
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,17,17,0.5476190476190477,0.42424242424242425,0.6386363636363636,42,11.63954494567588,0.0017127590253949165,0.04077997679511706,0.00611114501953125,1602,0.01953125,40.7900390625,0.6007573586521726,0.6014902878439787,0.5960922360420227,41,50
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,18,18,0.5111111111111111,0.35294117647058826,0.47430830039525695,45,7.76191563019529,0.0012022792361676693,0.02671731635928154,0.00611114501953125,1602,0.0,40.7900390625,0.6041203850146496,0.6022034352927497,0.5903176049391429,24,34
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,19,19,0.6666666666666666,0.7457627118644068,0.8260869565217391,45,12.493765362072736,0.0012236381880939007,0.027191959735420018,0.00611114501953125,1602,0.0,40.7900390625,0.5989637397455446,0.600506530566649,0.5778448561827342,47,50
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,20,20,0.4222222222222222,0.35,0.4426877470355731,45,10.86022134218365,0.0012144981883466244,0.026988848629924986,0.00611114501953125,1602,0.0,40.7900390625,0.6043946221470833,0.6044467628905268,0.5712351679801941,40,50
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,21,21,0.5555555555555556,0.6774193548387096,0.9007936507936508,45,7.017918715719134,0.0011784788221120834,0.02618841826915741,0.00611114501953125,1602,0.0,40.7900390625,0.6067690287124027,0.6185167208313942,0.5923486868540446,20,30
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,22,22,0.6222222222222222,0.711864406779661,0.6264822134387351,45,7.558656448032707,0.0012305276468396187,0.027345058818658192,0.00611114501953125,1602,0.0,40.7900390625,0.6018527520425392,0.6077076533075535,0.5971703867117564,24,34
kernel_length,32,8,2,32,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,23,23,0.6363636363636364,0.7241379310344828,0.8760330578512396,44,9.109861250966787,0.0020847423002123833,0.047380506823008706,0.00611114501953125,1602,0.0234375,40.7900390625,0.6016382764686238,0.6009223368583303,0.5980404277642568,31,41
