trial_number,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
16,13,distance,euclidean,unused,6,1,1,0.5333333333333333,0.5882352941176471,0.47233201581027673,45
16,13,distance,euclidean,unused,6,2,2,0.6888888888888889,0.5625,0.8537549407114625,45
16,13,distance,euclidean,unused,6,3,3,0.37777777777777777,0.44,0.36363636363636365,45
16,13,distance,euclidean,unused,6,4,4,0.4888888888888889,0.25806451612903225,0.5612648221343873,45
16,13,distance,euclidean,unused,6,5,5,0.4222222222222222,0.4090909090909091,0.36904761904761907,45
16,13,distance,euclidean,unused,6,6,6,0.5333333333333333,0.08695652173913043,0.5,45
16,13,distance,euclidean,unused,6,7,7,0.6222222222222222,0.711864406779661,0.707509881422925,45
16,13,distance,euclidean,unused,6,8,8,0.5777777777777777,0.4864864864864865,0.6699604743083004,45
16,13,distance,euclidean,unused,6,9,9,0.4888888888888889,0.20689655172413793,0.41666666666666663,45
16,13,distance,euclidean,unused,6,10,10,0.6222222222222222,0.6222222222222222,0.6884920634920635,45
16,13,distance,euclidean,unused,6,11,11,0.5111111111111111,0.5217391304347826,0.5118577075098814,45
16,13,distance,euclidean,unused,6,12,12,0.5555555555555556,0.5,0.6884920634920635,45
16,13,distance,euclidean,unused,6,13,13,0.6571428571428571,0.6470588235294118,0.6666666666666666,35
16,13,distance,euclidean,unused,6,14,14,0.6222222222222222,0.5641025641025641,0.6146245059288538,45
16,13,distance,euclidean,unused,6,15,15,0.5333333333333333,0.6557377049180327,0.7855731225296443,45
16,13,distance,euclidean,unused,6,16,16,0.5777777777777777,0.5957446808510638,0.5750988142292489,45
16,13,distance,euclidean,unused,6,17,17,0.47619047619047616,0.26666666666666666,0.4318181818181818,42
16,13,distance,euclidean,unused,6,18,18,0.4888888888888889,0.5964912280701754,0.3932806324110672,45
16,13,distance,euclidean,unused,6,19,19,0.6,0.6538461538461539,0.6343873517786561,45
16,13,distance,euclidean,unused,6,20,20,0.6444444444444445,0.5294117647058824,0.6126482213438735,45
16,13,distance,euclidean,unused,6,21,21,0.5777777777777777,0.5957446808510638,0.6607142857142857,45
16,13,distance,euclidean,unused,6,22,22,0.4222222222222222,0.5517241379310345,0.38932806324110675,45
16,13,distance,euclidean,unused,6,23,23,0.6590909090909091,0.7169811320754716,0.75,44
16,13,distance,euclidean,unused,6,24,24,0.5,0.3076923076923077,0.5714285714285714,18
16,13,distance,euclidean,unused,6,25,25,0.6666666666666666,0.6341463414634146,0.6857707509881423,45
16,13,distance,euclidean,unused,6,26,26,0.5777777777777777,0.6122448979591837,0.6249999999999999,45
16,13,distance,euclidean,unused,6,27,27,0.4888888888888889,0.5964912280701754,0.5434782608695653,45
16,13,distance,euclidean,unused,6,28,28,0.5555555555555556,0.5454545454545454,0.541501976284585,45
16,13,distance,euclidean,unused,6,29,29,0.7777777777777778,0.8148148148148148,0.8498023715415021,45
16,13,distance,euclidean,unused,6,30,30,0.5333333333333333,0.16,0.4623015873015873,45
16,13,distance,euclidean,unused,6,31,31,0.6666666666666666,0.6938775510204082,0.7628458498023716,45
16,13,distance,euclidean,unused,6,32,32,0.6136363636363636,0.6666666666666666,0.6853002070393375,44
16,13,distance,euclidean,unused,6,33,33,0.7111111111111111,0.6486486486486487,0.7865612648221344,45
16,13,distance,euclidean,unused,6,34,34,0.7555555555555555,0.7924528301886793,0.8472222222222222,45
