parameter_name,parameter_value,cov_estimator,ts_metric,C,solver,class_weight,mean_accuracy,std_accuracy,mean_f1,mean_auc
cov_estimator,lwf,lwf,riemann,1.0,lbfgs,balanced,0.627818010076126,0.11946102466389671,0.5893955164234603,0.7102503441278496
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,0.6260688058398419,0.11990610486446356,0.5886610583077808,0.7098464658092758
