parameter_name,parameter_value,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
max_depth,5,200,gini,5,10,5,sqrt,balanced,6,0.6046946184300087,0.11859517945079222,0.5274161186189287,0.6855161104880849
max_depth,10,200,gini,10,10,5,sqrt,balanced,6,0.6030451529487153,0.11480507234512935,0.5313983569751426,0.6819520995302304
max_depth,15,200,gini,15,10,5,sqrt,balanced,6,0.598770752954031,0.12059143679126125,0.5248284864463921,0.6690591373087609
max_depth,20,200,gini,20,10,5,sqrt,balanced,6,0.5937691051914371,0.11235545460388892,0.5206282894243685,0.6610618638604161
max_depth,,200,gini,,10,5,sqrt,balanced,6,0.5933332610112235,0.1126990640883123,0.5199693830383347,0.6636120872097893
