parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
dropout_rate,0.1,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,0.6222222222222222,0.6222222222222223,0.7252964426877471,45,16.038601242995355,0.005386379023548216,0.1196973116344048,0.25977325439453125,68098,257.16796875,146.09326171875,0.45073456780025456,0.6021626250761928,0.5755500952402751,8,18
dropout_rate,0.1,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,0.7777777777777778,0.7368421052631579,0.8754940711462451,45,14.918669599981513,0.003881185024511069,0.08624855610024598,0.25977325439453125,68098,0.0390625,146.09326171875,0.45375488292087207,0.6205158344272411,0.585432215531667,7,17
dropout_rate,0.1,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,0.5111111111111111,0.4210526315789474,0.5019762845849802,45,18.388487458054442,0.0038357150042429566,0.08523811120539904,0.25977325439453125,68098,0.0,146.09326171875,0.3279021273395329,0.5427684926173904,0.569230047861735,11,21
dropout_rate,0.1,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,0.5777777777777777,0.6666666666666666,0.6007905138339921,45,14.004603315959685,0.0037046169745735824,0.08232482165719072,0.25977325439453125,68098,0.0,146.09326171875,0.43371738617618877,0.6151327023451979,0.570664115746816,6,16
dropout_rate,0.1,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,0.4888888888888889,0.5964912280701754,0.5,45,13.231530576013029,0.003681426984257996,0.08180948853906658,0.25977325439453125,68098,0.0,146.09326171875,0.45173686110612116,0.6290813887661154,0.617512567838033,5,15
dropout_rate,0.1,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,6,6,0.6,0.4,0.4821428571428572,45,17.503261363017373,0.0036768849822692573,0.08170855516153905,0.25977325439453125,68098,0.0,146.09326171875,0.389379742357767,0.5851552642204545,0.6033444384733836,10,20
dropout_rate,0.1,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,7,7,0.8222222222222222,0.7999999999999999,0.9525691699604744,45,13.12498823495116,0.003659841953776777,0.08132982119503948,0.25977325439453125,68098,0.0,146.09326171875,0.4550353087710612,0.6168582568114455,0.5867942730585735,5,15
dropout_rate,0.1,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,8,8,0.5777777777777777,0.5581395348837209,0.6541501976284585,45,15.7573614299763,0.0036638909950852394,0.0814197998907831,0.25977325439453125,68098,0.0625,146.09326171875,0.42118949939807254,0.5986436241955468,0.6104398568471273,8,18
dropout_rate,0.1,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,9,9,0.7555555555555555,0.7659574468085107,0.7718253968253967,45,19.33638123999117,0.0036629110109061003,0.08139802246458001,0.25977325439453125,68098,0.12890625,146.09326171875,0.32322582850853604,0.5591772198677063,0.5961663087209066,12,22
dropout_rate,0.1,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,10,10,0.6222222222222222,0.6530612244897959,0.6666666666666666,45,17.676558648992795,0.00384568702429533,0.08545971165100734,0.25977325439453125,68098,0.0,146.09326171875,0.33045021354249027,0.5770243306954702,0.5871850887934367,10,20
