parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,1,1,0.5111111111111111,0.0,0.5810276679841897,4.534653678001632,0.007674790998862591,0.17055091108583537,0.026459693908691406,6338,284.015625,87.15625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,2,2,0.5111111111111111,0.0,0.43675889328063244,4.351193161000992,0.0015912779999780469,0.03536173333284549,0.026459693908691406,6338,1.1640625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,3,3,0.5111111111111111,0.0,0.48023715415019763,4.351173605002259,0.001606714002264198,0.035704755605871066,0.026459693908691406,6338,0.02734375,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,4,4,0.5111111111111111,0.0,0.5879446640316206,4.538625797998975,0.0016696409984433558,0.037103133298741243,0.026459693908691406,6338,0.04296875,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,5,5,0.4666666666666667,0.0,0.45337301587301587,4.6035190830007195,0.0016132790005940478,0.03585064445764551,0.026459693908691406,6338,0.0078125,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,6,6,0.5333333333333333,0.0,0.4533730158730158,4.634234797998943,0.0016258510004263371,0.036130022231696375,0.026459693908691406,6338,0.01953125,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,7,7,0.5111111111111111,0.0,0.6541501976284585,4.689802439999767,0.0016734820019337349,0.037188488931860775,0.026459693908691406,6338,0.0234375,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,8,8,0.4888888888888889,0.0,0.6808300395256917,4.581378142000176,0.0016090880017145537,0.0357575111492123,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,9,9,0.5333333333333333,0.0,0.3938492063492064,4.486435923001409,0.0015893229974608403,0.035318288832463116,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,10,10,0.5333333333333333,0.0,0.4444444444444444,4.398775703000865,0.0016140469997480977,0.03586771110551328,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,11,11,0.5111111111111111,0.0,0.39920948616600793,4.4266591889972915,0.0015861800020502415,0.035248444490005366,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,12,12,0.4666666666666667,0.0,0.5734126984126984,4.403798036997614,0.0016284349985653535,0.036187444412563406,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,13,13,0.5142857142857142,0.0,0.49509803921568635,4.424443801999587,0.0014663309993920848,0.04189517141120242,0.026459693908691406,6338,0.0078125,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,14,14,0.4888888888888889,0.0,0.6630434782608695,4.385540657000092,0.0016067139986262191,0.03570475552502709,0.026459693908691406,6338,0.01171875,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,15,15,0.5111111111111111,0.0,0.4792490118577075,4.471442396999919,0.001620332997845253,0.03600739995211673,0.026459693908691406,6338,0.0078125,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,16,16,0.5111111111111111,0.6764705882352942,0.4891304347826087,4.430465714001912,0.0016144660003192257,0.03587702222931613,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,17,17,0.5238095238095238,0.0,0.5511363636363636,4.459108449998894,0.0015794049977557734,0.03760488089894698,0.026459693908691406,6338,0.09765625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,18,18,0.4888888888888889,0.0,0.49505928853754944,4.450923255000816,0.0016120219988806639,0.035822711086236976,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,19,19,0.5111111111111111,0.0,0.5118577075098815,4.456426869001007,0.0015877860023465473,0.035284133385478825,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,20,20,0.5111111111111111,0.0,0.4772727272727273,4.468122319998656,0.0017371089998050593,0.03860242221789021,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,21,21,0.5333333333333333,0.0,0.5734126984126985,4.469942400999571,0.0016094380007416476,0.035765288905369945,0.026459693908691406,6338,0.0078125,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,22,22,0.4888888888888889,0.0,0.5009881422924901,4.392528411997773,0.0015921160011203028,0.035380355580451175,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,23,23,0.5,0.0,0.5320247933884297,4.344619848001457,0.0015798940003151074,0.035906681825343345,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,24,24,0.3888888888888889,0.0,0.6103896103896104,4.36193966999781,0.000868136001372477,0.0482297778540265,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,25,25,0.4888888888888889,0.0,0.45948616600790515,4.391216502001043,0.001607971000339603,0.03573268889643562,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,26,26,0.5333333333333333,0.0,0.44642857142857145,4.556714930000453,0.0016670580007485114,0.03704573334996692,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,27,27,0.5111111111111111,0.0,0.4654150197628458,4.62268454900186,0.0016376540006604046,0.036392311125786767,0.026459693908691406,6338,0.05078125,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,28,28,0.4888888888888889,0.0,0.5849802371541502,4.567230261000077,0.0015953299989632796,0.035451777754739545,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,29,29,0.5111111111111111,0.0,0.45948616600790515,4.620663950998278,0.0016779530014900956,0.03728784447755768,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,30,30,0.5333333333333333,0.0,0.40476190476190477,4.60816580699975,0.0016801180026959628,0.03733595561546584,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,31,31,0.4888888888888889,0.0,0.5237154150197628,4.500431060001574,0.0016023130010580644,0.0356069555790681,0.026459693908691406,6338,0.0078125,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,32,32,0.4772727272727273,0.0,0.5207039337474121,4.418881939996936,0.001599589999386808,0.036354318167882,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,33,33,0.5111111111111111,0.0,0.4446640316205534,4.504416798998136,0.001629132999369176,0.03620295554153725,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,34,34,0.4666666666666667,0.0,0.6309523809523809,4.6569854599983955,0.001672714999585878,0.037171444435241736,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,35,35,0.4888888888888889,0.0,0.4743083003952569,4.695859760999156,0.001668105000135256,0.037069000003005684,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,36,36,0.5,0.0,0.4297520661157025,4.70045270600167,0.0016115329999593087,0.0366257499990752,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,37,37,0.5111111111111111,0.0,0.4841897233201581,4.671474449001835,0.0016268989966192748,0.03615331103598388,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,38,38,0.5111111111111111,0.0,0.3942687747035573,4.703794363002089,0.0016428919989266433,0.03650871108725874,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,39,39,0.5227272727272727,0.0,0.5041407867494824,4.680059001002519,0.001629900998523226,0.037043204511891505,0.026459693908691406,6338,0.00390625,87.63916015625
