parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.5104139100284704,0.06441215974238565,0.45788101729140257,0.5188468266360725,5.173744437051937,0.0021326018419737616,0.04905465734382086,0.20655059814453125,54146.0,3.616898148148148e-05,187.35498046875,0.5918284376748654,0.6915000936131416,3.009259259259259,13.00925925925926
dropout_rate,0.3,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.5030051202490128,0.06272871530677483,0.4889884621603417,0.511432305590098,4.94873793380059,0.0021513433721675364,0.049558756147578605,0.20655059814453125,54146.0,3.616898148148148e-05,187.35498046875,0.614252254998712,0.6915388776196373,3.25,13.25
dropout_rate,0.5,64,2,0.5,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.5090821973962869,0.06446731820100839,0.4957436153022908,0.5152025996723131,4.727860861664845,0.0021334996628057626,0.0491463352648155,0.20655059814453125,54146.0,7.233796296296296e-05,187.35498046875,0.6324139460470649,0.6911129260136758,4.166666666666667,14.166666666666666
