trial_number,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc,support
10,lwf,riemann,0.177474585048418,saga,,1,1,0.7111111111111111,0.6285714285714286,0.8399209486166008,45
10,lwf,riemann,0.177474585048418,saga,,2,2,0.7777777777777778,0.7058823529411765,0.9031620553359684,45
10,lwf,riemann,0.177474585048418,saga,,3,3,0.4666666666666667,0.4782608695652174,0.39920948616600793,45
10,lwf,riemann,0.177474585048418,saga,,4,4,0.5555555555555556,0.6774193548387096,0.8379446640316205,45
10,lwf,riemann,0.177474585048418,saga,,5,5,0.4222222222222222,0.5666666666666667,0.4027777777777778,45
10,lwf,riemann,0.177474585048418,saga,,6,6,0.5333333333333333,0.08695652173913043,0.498015873015873,45
10,lwf,riemann,0.177474585048418,saga,,7,7,0.8888888888888888,0.8717948717948718,1.0,45
10,lwf,riemann,0.177474585048418,saga,,8,8,0.6666666666666666,0.6808510638297872,0.7391304347826088,45
10,lwf,riemann,0.177474585048418,saga,,9,9,0.6222222222222222,0.5641025641025641,0.5396825396825397,45
10,lwf,riemann,0.177474585048418,saga,,10,10,0.5555555555555556,0.6666666666666666,0.6845238095238094,45
10,lwf,riemann,0.177474585048418,saga,,11,11,0.5111111111111111,0.0,0.4762845849802372,45
10,lwf,riemann,0.177474585048418,saga,,12,12,0.7777777777777778,0.7619047619047619,0.8412698412698413,45
10,lwf,riemann,0.177474585048418,saga,,13,13,0.8285714285714286,0.8,0.8725490196078431,35
10,lwf,riemann,0.177474585048418,saga,,14,14,0.6444444444444445,0.6363636363636364,0.7490118577075099,45
10,lwf,riemann,0.177474585048418,saga,,15,15,0.6222222222222222,0.7213114754098361,0.940711462450593,45
10,lwf,riemann,0.177474585048418,saga,,16,16,0.5777777777777777,0.7076923076923077,0.8063241106719367,45
10,lwf,riemann,0.177474585048418,saga,,17,17,0.5238095238095238,0.09090909090909091,0.6068181818181818,42
10,lwf,riemann,0.177474585048418,saga,,18,18,0.5111111111111111,0.65625,0.4031620553359684,45
10,lwf,riemann,0.177474585048418,saga,,19,19,0.5555555555555556,0.16666666666666666,0.6699604743083004,45
10,lwf,riemann,0.177474585048418,saga,,20,20,0.5555555555555556,0.5238095238095238,0.6205533596837944,45
10,lwf,riemann,0.177474585048418,saga,,21,21,0.6666666666666666,0.6511627906976745,0.6805555555555556,45
10,lwf,riemann,0.177474585048418,saga,,22,22,0.6666666666666666,0.6511627906976745,0.6837944664031621,45
10,lwf,riemann,0.177474585048418,saga,,23,23,0.7272727272727273,0.7692307692307693,0.8946280991735537,44
10,lwf,riemann,0.177474585048418,saga,,24,24,0.6666666666666666,0.7857142857142857,0.8181818181818181,18
10,lwf,riemann,0.177474585048418,saga,,25,25,0.5777777777777777,0.6666666666666666,0.7114624505928854,45
10,lwf,riemann,0.177474585048418,saga,,26,26,0.6888888888888889,0.75,0.876984126984127,45
10,lwf,riemann,0.177474585048418,saga,,27,27,0.4666666666666667,0.6,0.6185770750988142,45
10,lwf,riemann,0.177474585048418,saga,,28,28,0.5555555555555556,0.3333333333333333,0.5474308300395258,45
10,lwf,riemann,0.177474585048418,saga,,29,29,0.7333333333333333,0.7857142857142857,0.9901185770750989,45
10,lwf,riemann,0.177474585048418,saga,,30,30,0.6666666666666666,0.5945945945945946,0.6904761904761905,45
10,lwf,riemann,0.177474585048418,saga,,31,31,0.8,0.8163265306122449,0.9288537549407114,45
10,lwf,riemann,0.177474585048418,saga,,32,32,0.8863636363636364,0.8979591836734694,0.9689440993788818,44
10,lwf,riemann,0.177474585048418,saga,,33,33,0.7333333333333333,0.75,0.8399209486166008,45
10,lwf,riemann,0.177474585048418,saga,,34,34,0.8,0.8421052631578947,0.9662698412698413,45
10,lwf,riemann,0.177474585048418,saga,,35,35,0.6888888888888889,0.5625,0.7984189723320159,45
10,lwf,riemann,0.177474585048418,saga,,36,36,0.4318181818181818,0.3902439024390244,0.5661157024793388,44
10,lwf,riemann,0.177474585048418,saga,,37,37,0.5111111111111111,0.0,0.5158102766798418,45
10,lwf,riemann,0.177474585048418,saga,,38,38,0.5777777777777777,0.3870967741935484,0.6225296442687747,45
10,lwf,riemann,0.177474585048418,saga,,39,39,0.5681818181818182,0.5581395348837209,0.49482401656314695,44
10,lwf,riemann,0.177474585048418,saga,,40,40,0.5333333333333333,0.6181818181818182,0.501984126984127,45
10,lwf,riemann,0.177474585048418,saga,,41,41,0.5777777777777777,0.42424242424242425,0.6746031746031745,45
10,lwf,riemann,0.177474585048418,saga,,42,42,0.6666666666666666,0.5161290322580645,0.9387351778656126,45
10,lwf,riemann,0.177474585048418,saga,,43,43,0.8,0.8235294117647058,0.940711462450593,45
10,lwf,riemann,0.177474585048418,saga,,44,44,0.5862068965517241,0.4,0.8333333333333334,29
10,lwf,riemann,0.177474585048418,saga,,45,45,0.6888888888888889,0.6818181818181818,0.7134387351778656,45
10,lwf,riemann,0.177474585048418,saga,,46,46,0.5777777777777777,0.4864864864864865,0.7154150197628458,45
10,lwf,riemann,0.177474585048418,saga,,47,47,0.6,0.5,0.5595238095238095,45
10,lwf,riemann,0.177474585048418,saga,,48,48,0.5882352941176471,0.46153846153846156,0.9,17
10,lwf,riemann,0.177474585048418,saga,,49,49,0.7111111111111111,0.7719298245614035,0.9723320158102766,45
10,lwf,riemann,0.177474585048418,saga,,50,50,0.5555555555555556,0.47368421052631576,0.4980237154150198,45
10,lwf,riemann,0.177474585048418,saga,,51,51,0.4888888888888889,0.0,0.5158730158730159,45
10,lwf,riemann,0.177474585048418,saga,,52,52,0.8048780487804879,0.7647058823529411,0.8397129186602871,41
10,lwf,riemann,0.177474585048418,saga,,53,53,0.5116279069767442,0.4878048780487805,0.4913419913419914,43
10,lwf,riemann,0.177474585048418,saga,,54,54,0.6410256410256411,0.65,0.8043478260869565,39
