parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.6435041725263595,0.11307324626280127,0.6197102162397762,0.7204741711618415,17.647283279332676,0.0024900425622170724,0.05737408056499066,0.09912872314453125,25986.0,4.426576967592593,103.69091796875,0.5063302491507056,0.6081554138734016,10.722222222222221,20.72222222222222
d_model,64,64,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.6414395141381751,0.10933726994736577,0.6090251892456484,0.7158265818925356,15.016740767130008,0.002574905494434966,0.05951960153581176,0.25977325439453125,68098.0,0.003363715277777778,146.09326171875,0.41295369837513685,0.6095694096368035,7.37962962962963,17.37962962962963
d_model,128,128,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,0.624953879102961,0.11161057892704417,0.5968872375611106,0.7084970324943168,13.896394948099946,0.0025797341475953107,0.05934214540677748,0.7685623168945312,201474.0,0.001736111111111111,242.14453125,0.3699045320666985,0.6199284103365592,5.657407407407407,15.657407407407407
