parameter_name,parameter_value,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
weight_decay,0.0,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.6888888888888889,0.6956521739130435,0.7470355731225297,45,24.388091030006763,0.0057049880269914865,0.12677751171092194,0.00708770751953125,1858,0.0,24.5439453125,0.567284558532816,0.5717870780464375,0.5688223004341125,24,34
weight_decay,0.0,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.7333333333333333,0.6470588235294118,0.9525691699604744,45,25.581781667016912,0.0056773999822326005,0.12616444404961333,0.00708770751953125,1858,0.0,24.5439453125,0.5634884624318643,0.5716160700628252,0.5698880016803741,26,36
weight_decay,0.0,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4,0.30769230769230765,0.24308300395256915,45,18.736374480009545,0.004304109956137836,0.09564688791417414,0.00708770751953125,1858,0.0,24.5439453125,0.5696667100895535,0.5868122963742777,0.5704117039839427,16,26
weight_decay,0.0,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5777777777777777,0.6984126984126985,0.8043478260869565,45,27.091968526947312,0.004325758956838399,0.0961279768186311,0.00708770751953125,1858,0.0,24.5439453125,0.559345278550278,0.5690960215799736,0.5768146256605784,28,38
weight_decay,0.0,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.4444444444444444,0.5454545454545454,0.3888888888888889,45,22.181377653963864,0.004282246984075755,0.09516104409057233,0.00708770751953125,1858,0.0,24.5439453125,0.5677832227313158,0.5742264952171933,0.5911613881587983,21,31
weight_decay,0.0,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4444444444444444,0.07407407407407407,0.48611111111111105,45,19.349426719010808,0.006864558032248169,0.15254573404995933,0.00708770751953125,1858,0.0,24.5439453125,0.5689963091051939,0.5803161895636356,0.5807008564472198,17,27
weight_decay,0.0,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.9333333333333333,0.9302325581395349,0.9861660079051384,45,24.353391568001825,0.004327363974880427,0.0961636438862317,0.00708770751953125,1858,0.0,24.5439453125,0.5719527780558123,0.5843714141484463,0.5699232657750447,24,34
weight_decay,0.0,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.6,0.5714285714285715,0.7391304347826086,45,34.21953156898962,0.004321707005146891,0.09603793344770868,0.00708770751953125,1858,0.0,24.5439453125,0.5537053423397469,0.5590071007609367,0.5700956980387369,38,48
weight_decay,0.0,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6888888888888889,0.6666666666666666,0.6626984126984127,45,28.5874575409689,0.004317026003263891,0.09593391118364201,0.00708770751953125,1858,0.0,24.5439453125,0.5642972432754256,0.5655137221470024,0.5811875224113464,30,40
weight_decay,0.0,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6888888888888889,0.7200000000000001,0.7440476190476191,45,22.200418306980282,0.00658148800721392,0.14625528904919824,0.00708770751953125,1858,0.0,24.5439453125,0.5574852325247995,0.5815981621995117,0.588569970925649,21,31
